鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區景華街82巷7弄1~30號,28.67,住,,,10402,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730521,50.19,2,2,2,有,無,12000000,239091,,0.0,0,,RPQNMLSKLHKFFAA47CA
中正區,房地(土地+建物),臺北市中正區羅斯福路二段31~60號,11.45,商,,,10402,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0700623,108.19999999999999,3,2,2,有,有,17800000,164510,,0.0,0,二親等買賣,RPPOMLTKLHKFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路107巷1~30號,41.23,住,,,10401,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010919,254.37,3,2,2,有,有,37500000,147423,坡道平面,68.46,0,,RPPOMLNLLHKFFAA07CA
文山區,車位,臺北市文山區興隆路三段181巷61~90號,0.7,住,,,10402,土地0建物0車位1,,,其他,,,,35.62,0,0,0,有,有,2000000,,坡道平面,35.62,2000000,,RPUPMLNLLHKFFAA67CA
文山區,房地(土地+建物),臺北市文山區景福街54巷5弄1~30號,9.16,住,,,10401,土地1建物1車位0,十三層,16,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880119,41.29,3,1,2,有,有,2274651,55090,,0.0,0,親友間買賣,RPPNMLPJMHKFFAA07CA
文山區,土地,實踐段二小段541~570地號,4.17,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,996529,238976,,0.0,0,權利人共3人。親友、員工或其他特殊關係間之交易。,RPRNMLSJMHKFFAA57CA
文山區,土地,實踐段二小段541~570地號,2.09,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,498264,238404,,0.0,0,權利人共3人。親友、員工或其他特殊關係間之交易。,RPSNMLSJMHKFFAA67CA
文山區,土地,實踐段二小段541~570地號,6.26,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1494794,238785,,0.0,0,權利人共3人。親友、員工或其他特殊關係間之交易。,RPTNMLSJMHKFFAA77CA
文山區,土地,實踐段二小段541~570地號,2.09,商,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,498264,238404,,0.0,0,權利人共3人。親友、員工或其他特殊關係間之交易。,RPUNMLSJMHKFFAA87CA
文山區,土地,木柵段三小段211~240地號,0.32,農,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5661,0,,0.0,0,權利人共3人。親友、員工或其他特殊關係間之交易。,RPVNMLSJMHKFFAA97CA
