編號,車位類別,車位價格,車位面積平方公尺
RPPOMLNLLHKFFAA07CA,坡道平面,0,34.23
RPPOMLNLLHKFFAA07CA,坡道平面,0,34.23
RPUPMLNLLHKFFAA67CA,坡道平面,2000000,35.62
RPPPMLTJMHKFFAA67CA,坡道平面,1480000,35.69
RPQNMLKLLHKFFBA86CA,坡道平面,2480000,33.71
RPRNMLKLLHKFFBA96CA,坡道平面,2580000,33.71
RPVNMLLMLHKFFBA57CA,坡道平面,0,
RPOPMLTJMHKFFBA67CA,坡道平面,3000000,32.81
RPXNMLRKLHKFFCA28CA,坡道平面,0,
RPXNMLRKLHKFFCA28CA,坡道機械,0,
RPTNMLSKLHKFFCA97CA,升降機械,1000000,5.09
RPWOMLRKLHKFFCA28CA,坡道機械,725000,20.54
RPWOMLRKLHKFFCA28CA,坡道機械,725000,20.53
RPOQMLOLLHKFFCA47CA,升降機械,1800000,10.22
RPWQMLPLLHKFFCA38CA,升降機械,1900000,10.22
RPXQMLPLLHKFFCA48CA,升降機械,1800000,10.22
RPORMLPLLHKFFCA67CA,坡道平面,0,
RPUPMLQLLHKFFCA18CA,坡道平面,0,29.45
RPUPMLQLLHKFFCA18CA,坡道平面,0,34.98
RPUNMLQJMHKFFCA87CA,坡道平面,0,37.50
RPROMLRKLHKFFDA87CA,塔式車位,1200000,1.47
RPXOMLKLLHKFFDA87CA,坡道平面,1700000,32.59
RPXOMLKLLHKFFDA87CA,坡道平面,1600000,32.59
RPXOMLKLLHKFFDA87CA,坡道平面,1600000,32.59
RPXOMLKLLHKFFDA87CA,坡道平面,1600000,32.59
RPSOMLTJMHKFFDA18CA,坡道平面,2375000,35.52
RPSOMLTJMHKFFDA18CA,坡道平面,2375000,35.52
RPTPMLKKMHKFFDA57CA,坡道平面,0,47.16
RPTPMLKKMHKFFDA57CA,坡道平面,0,47.16
RPTPMLKKMHKFFDA57CA,坡道平面,0,47.16
RPUOMLOKMHKFFDA97CA,坡道平面,0,38.00
RPUOMLOKMHKFFDA97CA,坡道平面,0,38.00
RPUNMLLLMHKFFDA67CA,坡道平面,0,38.00
RPUNMLLLMHKFFDA67CA,坡道平面,0,38.00
RPUNMLLLMHKFFDA67CA,坡道平面,0,38.00
RPWNMLLLMHKFFDA87CA,坡道平面,0,38.00
RPWNMLLLMHKFFDA87CA,坡道平面,0,38.00
RPWNMLTKLHKFFEA58CA,坡道機械,600000,19.55
RPWNMLRJMHKFFFA48CA,塔式車位,0,
RPWNMLKKMHKFFFA87CA,坡道平面,0,
RPTPMLSKLHKFFCA28DA,坡道平面,0,27.18
RPTPMLSKLHKFFCA28DA,坡道平面,0,27.18
RPRNMLSKLHKFFDA97DA,坡道平面,0,29.92
RPXNMLTKLHKFFFA88DA,坡道平面,0,29.38
RPRNMLSKLHKFFEA08DA,坡道平面,0,
RPQOMLTKLHKFFCA97DA,坡道機械,0,
RPQOMLSKLHKFFBA77DA,升降機械,0,7.06
RPUNMLKKMHKFFFA67CA,坡道平面,0,
RPUNMLKKMHKFFFA67CA,坡道平面,0,
RPUNMLKKMHKFFFA67CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPSNMLKKMHKFFFA47CA,坡道平面,0,
RPUOMLKLLHKFFFA77CA,坡道平面,0,41.29
RPROMLKMLHKFFEA47CA,坡道平面,2300000,21.76
RPWNMLSKLHKFFEA48CA,坡道平面,0,44.96
RPWNMLSKLHKFFEA48CA,坡道平面,0,44.96
RPWNMLSKLHKFFEA48CA,坡道平面,0,44.96
RPWNMLSKLHKFFEA48CA,坡道平面,0,44.96
RPROMLSKLHKFFEA08CA,坡道平面,0,25.72
RPOQMLKLLHKFFEA27CA,坡道平面,0,
RPOOMLNLLHKFFEA37CA,坡道平面,2100000,21.76
RPVOMLSJMHKFFDA38CA,坡道平面,0,
RPRSMLTJMHKFFCA38CA,坡道平面,0,46.12
RPRSMLTJMHKFFCA38CA,坡道平面,0,46.12
RPPTMLTJMHKFFCA28CA,坡道平面,0,41.38
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,33.27
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOPMLNLLHKFFCA27CA,坡道平面,0,31.19
RPOQMLNLLHKFFCA37CA,坡道平面,0,35.44
RPSOMLOLLHKFFCA67CA,坡道機械,0,
RPSOMLOLLHKFFCA67CA,坡道機械,0,
RPUQMLTKLHKFFCA48CA,坡道平面,0,37.80
RPUQMLTKLHKFFCA48CA,坡道平面,0,37.80
RPUQMLTKLHKFFCA48CA,坡道平面,0,37.80
RPUOMLNLLHKFFBA67CA,坡道機械,0,
