¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
ªF°Ï,¤g¦a,ªF¶Õ¤l¬q61~90¦a¸¹,160.04,¨ä¥L,,,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7745859,48400,,0.0,0,Åé¨|¥Î¦a,RPPPMLQKLHKFFAB47CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï«n¥­¸ô211~240¸¹,10.73,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800917,149.11,3,1,1,¦³,¦³,5200000,34874,©Y¹D¥­­±,0.0,0,,RPVNMLRKLHKFFAB97CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï©¾©ú«n¸ô811~840¸¹,10.79,°Ó,,,10401,¤g¦a2«Øª«1¨®¦ì1,¤G¼h,18,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0931224,156.97,4,2,2,¦³,¦³,8750000,55743,©Y¹D¾÷±ñ,0.0,0,,RPVOMLRKLHKFFAB08CA
«n°Ï,¤g¦a,«H¸q¬q¤K¤p¬q1~30¦a¸¹,5.8,¨ä¥L,,,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,180000,31034,,0.0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPVNMLSKLHKFFAB08CA
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¤½¶é¨½¦¨¥\¸ô151~180¸¹,78.5,°Ó,,,10401,¤g¦a3«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,,109.32,3,2,2,¦³,µL,10100000,92389,,0.0,0,,RPRNMLTKLHKFFAB77CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï©¾©ú«n¸ô271~300¸¹,24.38,¦í,,,10209,¤g¦a2«Øª«1¨®¦ì2,¤Q¤G¼h,23,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030925,308.83,4,2,3,¦³,¦³,24600000,79655,©Y¹D¥­­±,46.64,0,,RPXOMLTKLHKFFAB48CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï©¾©ú«n¸ô271~300¸¹,21.45,¦í,,,10207,¤g¦a2«Øª«1¨®¦ì1,¤Q¤G¼h,23,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030925,257.24,4,2,2,¦³,¦³,19950000,77554,©Y¹D¥­­±,23.32,0,,RPPPMLTKLHKFFAB77CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï©¾©ú«n¸ô271~300¸¹,24.38,¦í,,,10207,¤g¦a2«Øª«1¨®¦ì2,¤Q¤T¼h,23,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030925,308.68,4,2,3,¦³,¦³,24300000,78722,©Y¹D¥­­±,46.64,0,,RPRPMLTKLHKFFAB97CA
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï¤T¥Á¸ô¤@¬q39«Ñ3§Ë1~30¸¹,3.85,°Ó,,,10402,¤g¦a3«Øª«1¨®¦ì0,¤E¼h,12,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830504,39.08,1,0,1,¦³,µL,1420000,36336,,0.0,0,,RPROMLKLLHKFFAB07CA
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°ÏªF¿³¸ô¤@¬q1~30¸¹,6.14,¦í,,,10401,¤g¦a0«Øª«1¨®¦ì0,¤Q¤K¼h,32,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0950622,133.26999999999998,3,2,2,¦³,¦³,6150000,46147,,0.0,0,,RPWOMLKLLHKFFAB57CA
