編號,車位類別,車位價格,車位面積平方公尺
RPVNMLRKLHKFFAB97CA,坡道平面,0,
RPVOMLRKLHKFFAB08CA,坡道機械,0,
RPXOMLTKLHKFFAB48CA,坡道平面,0,23.32
RPXOMLTKLHKFFAB48CA,坡道平面,0,23.32
RPPPMLTKLHKFFAB77CA,坡道平面,0,23.32
RPRPMLTKLHKFFAB97CA,坡道平面,0,23.32
RPRPMLTKLHKFFAB97CA,坡道平面,0,23.32
RPWNMLOLLHKFFAB87CA,坡道機械,0,
RPOOMLPLLHKFFAB27CA,坡道平面,0,21.96
RPPPMLRLLHKFFAB67CA,坡道平面,0,
RPPPMLRLLHKFFAB67CA,坡道平面,0,
RPQPMLRLLHKFFAB77CA,坡道平面,0,
RPQPMLRLLHKFFAB77CA,坡道平面,0,
RPRPMLRLLHKFFAB87CA,坡道平面,0,
RPRPMLRLLHKFFAB87CA,坡道機械,0,
RPRPMLRLLHKFFAB87CA,坡道機械,0,
RPSPMLRLLHKFFAB97CA,坡道機械,0,
RPSPMLRLLHKFFAB97CA,坡道機械,0,
RPTPMLRLLHKFFAB08CA,其他,0,
RPTPMLRLLHKFFAB08CA,其他,0,
RPTPMLRLLHKFFAB08CA,其他,0,
RPTPMLRLLHKFFAB08CA,其他,0,
RPTPMLRLLHKFFAB08CA,其他,0,
RPUPMLRLLHKFFAB18CA,坡道平面,0,
RPUPMLRLLHKFFAB18CA,坡道平面,0,
RPUQMLLJMHKFFAB57CA,坡道平面,0,
RPPNMLRKLHKFFBB47CA,坡道平面,0,
RPPOMLRKLHKFFBB57CA,坡道平面,0,
RPPOMLRKLHKFFBB57CA,坡道平面,0,
RPPOMLRKLHKFFBB57CA,坡道平面,0,
RPQOMLRKLHKFFBB67CA,坡道平面,0,28.10
RPQOMLRKLHKFFBB67CA,坡道平面,0,28.10
RPTOMLSKLHKFFBB08CA,坡道平面,0,
RPOPMLTKLHKFFBB77CA,坡道平面,0,35.73
RPSNMLQLLHKFFBB77CA,坡道平面,0,
RPSNMLQLLHKFFBB77CA,坡道平面,0,
RPSNMLQLLHKFFBB77CA,坡道平面,0,
RPQOMLOKMHKFFBB47CA,坡道平面,0,
RPSOMLOKMHKFFBB67CA,坡道平面,0,
RPTOMLOKMHKFFBB77CA,坡道平面,0,
RPUOMLOKMHKFFBB87CA,坡道平面,0,
RPXNMLRKLHKFFCB38CA,坡道平面,0,
RPOQMLRKLHKFFCB77CA,一樓平面,0,
RPWPMLSKLHKFFCB58CA,坡道機械,0,13.89
RPXPMLSKLHKFFCB68CA,坡道平面,0,22.28
RPPSMLOLLHKFFCB87CA,坡道平面,0,
RPTTMLOLLHKFFCB38CA,坡道平面,0,
RPVPMLRLLHKFFCB48CA,坡道平面,0,
RPQOMLKMLHKFFCB27CA,坡道平面,0,44.60
RPQOMLKMLHKFFCB27CA,坡道平面,0,44.60
RPQOMLKMLHKFFCB27CA,坡道平面,0,44.60
RPQOMLKMLHKFFCB27CA,坡道平面,0,44.60
RPQRMLLMLHKFFCB67CA,坡道機械,0,
RPUPMLLJMHKFFCB67CA,坡道平面,0,
RPUPMLLJMHKFFCB67CA,坡道平面,0,
RPTNMLPKMHKFFCB87CA,坡道機械,0,16.61
RPUNMLPKMHKFFCB97CA,坡道機械,0,16.61
RPVNMLPKMHKFFCB08CA,坡道平面,0,33.21
RPXNMLQKLHKFFAL09CA,一樓平面,0,
RPQNMLRKLHKFFBL58CA,坡道機械,0,
RPTQMLTKLHKFFFL17CA,坡道機械,0,
RPXOMLKKMHKFFFL56CA,坡道機械,0,
RPSNMLTKLHKFFGL86CA,坡道平面,0,11.58
RPRNMLRLLHKFFHL76CA,坡道機械,0,
RPSNMLRLLHKFFHL86CA,坡道機械,0,
RPPNMLSJMHKFFHL56CA,坡道平面,0,
RPSOMLTKLHKFFAB18EA,坡道平面,780000,29.39
RPQNMLLKKHKFFCB27CD,坡道平面,0,
RPSNMLSKLHKFFCB08DA,坡道平面,0,
RPSNMLSKLHKFFCB08DA,坡道平面,0,
RPSNMLSKLHKFFCB08DA,坡道平面,0,
RPSNMLSKLHKFFCB08DA,坡道平面,0,
RPUNMLSKLHKFFCB28DA,坡道機械,0,
RPVNMLSKLHKFFCB38DA,坡道平面,0,
RPVNMLSKLHKFFCB38DA,坡道平面,0,
RPVNMLSKLHKFFCB38DA,坡道平面,0,
RPVNMLSKLHKFFCB38DA,坡道平面,0,
RPWNMLSKLHKFFCB48DA,坡道平面,0,
RPWNMLSKLHKFFCB48DA,坡道平面,0,
RPWNMLSKLHKFFCB48DA,坡道平面,0,
RPWNMLSKLHKFFCB48DA,坡道平面,0,
RPOPMLSKLHKFFCB87DA,坡道平面,0,
RPOPMLSKLHKFFCB87DA,坡道平面,0,
RPOPMLSKLHKFFCB87DA,坡道平面,0,
RPQPMLSKLHKFFCB08DA,坡道平面,0,
RPQPMLSKLHKFFCB08DA,坡道平面,0,
RPQPMLSKLHKFFCB08DA,坡道平面,0,
RPRPMLSKLHKFFCB18DA,坡道平面,0,
RPRPMLSKLHKFFCB18DA,坡道平面,0,
RPRPMLSKLHKFFCB18DA,坡道平面,0,
RPSPMLSKLHKFFCB28DA,坡道平面,0,
RPSPMLSKLHKFFCB28DA,坡道平面,0,
RPSPMLSKLHKFFCB28DA,坡道平面,0,
RPOOMLNLLHKFFCB37DA,坡道平面,0,
RPOOMLNLLHKFFCB37DA,坡道平面,0,
RPOOMLNLLHKFFCB37DA,坡道平面,0,
RPXNMLKLLHKFFHL66CA,一樓平面,0,
RPRNMLSKLHKFFHL76CA,坡道機械,0,
RPVNMLMJMHKFFGL09CA,坡道機械,0,20.07
RPTNMLSKLHKFFCL09CA,坡道平面,0,
RPRNMLOLLHKFFAL38CA,坡道平面,0,
RPPNMLOKMHKFFCB37CA,坡道平面,0,
RPPNMLOKMHKFFCB37CA,坡道平面,0,
RPUPMLKKMHKFFCB67CA,升降機械,0,
RPPOMLKMLHKFFCB17CA,坡道平面,0,18.56
RPVNMLKMLHKFFCB67CA,坡道平面,0,18.56
RPVNMLKMLHKFFCB67CA,坡道平面,0,18.56
RPWNMLKMLHKFFCB77CA,坡道平面,0,21.81
RPWNMLKMLHKFFCB77CA,坡道平面,0,21.81
RPWOMLKMLHKFFCB87CA,坡道平面,0,
RPVQMLQLLHKFFCB48CA,坡道平面,0,
RPPPMLNLLHKFFCB47CA,其他,0,
RPPPMLNLLHKFFCB47CA,其他,0,
RPRNMLTKLHKFFCB97CA,坡道平面,0,22.89
RPSNMLTKLHKFFCB08CA,坡道平面,0,
RPRRMLRKLHKFFCB18CA,坡道平面,0,17.43
RPRRMLRKLHKFFCB18CA,坡道平面,0,17.43
RPRRMLRKLHKFFCB18CA,坡道平面,0,17.43
RPRRMLRKLHKFFCB18CA,坡道平面,0,17.43
RPTPMLRKLHKFFCB18CA,坡道平面,0,
RPQRMLKKMHKFFBB37CA,坡道機械,1000000,16.52
RPXPMLKKMHKFFBB87CA,坡道機械,0,8.94
RPXNNLRLLHKFFBB48CA,一樓平面,0,31.44
RPXNNLRLLHKFFBB48CA,一樓平面,0,31.44
RPTNMLRLLHKFFBB97CA,坡道平面,0,40.51
RPPQMLPLLHKFFBB67CA,坡道平面,1450000,25.43
RPQQMLPLLHKFFBB77CA,坡道平面,1350000,23.38
RPRQMLPLLHKFFBB87CA,坡道平面,1450000,25.43
RPOPMLSKLHKFFBB67CA,升降機械,70000,
RPWOMLSKLHKFFBB38CA,坡道機械,0,17.08
RPWPMLTKLHKFFBB58CA,坡道平面,0,
RPVNMLNKMHKFFAB67CA,坡道機械,0,
RPVNMLNKMHKFFAB67CA,坡道機械,0,
RPUNMLOKMHKFFAB67CA,坡道機械,0,12.96
RPOPMLKMLHKFFAB96CA,坡道平面,0,
RPPOMLKLLHKFFAB86CA,坡道平面,0,
RPOOMLTKLHKFFAB57CA,坡道機械,0,
