鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中正區,房地(土地+建物),基隆市中正區中正路691~720號,17.2,其他,,,10403,土地1建物1車位0,一層，騎樓,5,店面(店鋪),商業用,鋼筋混凝土造,0741126,77.6,0,0,0,無,無,4500000,57990,,0.0,0,,RPWNMLQKLHKFFBC18CA
信義區,房地(土地+建物),基隆市信義區培德路12巷31~60號,27.85,住,,,10401,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850521,99.86,3,2,1,有,無,2600000,26036,,0.0,0,,RPQNMLRKLHKFFBC67CA
中正區,房地(土地+建物),基隆市中正區觀海街61~90號,23.4,住,,,10403,土地2建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,114.72,3,2,3,有,有,3150000,27458,,0.0,0,,RPRNMLRKLHKFFBC77CA
中正區,房地(土地+建物),基隆市中正區正榮街77巷1~30號,25.13,住,,,10402,土地3建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720425,105.54,2,2,2,有,無,1000000,9475,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPSNMLRKLHKFFBC87CA
中正區,房地(土地+建物),基隆市中正區豐稔街1~30號,17.18,商,,,10402,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680730,75.32,0,0,1,有,無,1800000,23898,,0.0,0,,RPQNMLSKLHKFFBC77CA
中正區,建物,基隆市中正區祥豐街481~510號,0.0,,,,10312,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630529,72.16,3,1,1,有,無,500000,6929,,0.0,0,,RPVNMLSKLHKFFBC28CA
仁愛區,房地(土地+建物),基隆市仁愛區曲水街27巷31~60號,85.0,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0620103,136.3,5,2,4,有,無,7000000,51357,,0.0,0,,RPTNMLTKLHKFFBC18CA
仁愛區,房地(土地+建物),基隆市仁愛區仁二路181~210號,15.75,商,,,10402,土地2建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,見其他登記事項,,50.53,0,0,0,無,無,3560000,70453,,0.0,0,,RPSNMLKLLHKFFBC27CA
信義區,房地(土地+建物),基隆市信義區教忠街168巷91~120號,105.77,住,,,10402,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0951002,199.61,3,3,3,有,無,9000000,45088,,0.0,0,含增建或未登記建物。,RPPNMLNLLHKFFBC27CA
信義區,土地,田寮段61~90地號,63.0,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,15873,,0.0,0,(包含)公共設施保留地之交易。另有一共有人,RPOQMLMJMHKFFBC27CA
中正區,房地(土地+建物),基隆市中正區調和街226巷1~30號,26.18,住,,,10402,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850307,114.9,2,1,1,有,無,3100000,26980,,0.0,0,,RPRNMLTJMHKFFBC97CA
信義區,房地(土地+建物),基隆市信義區東光路205巷31~60號,24.37,住,,,10402,土地6建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,78.79,3,1,1,有,有,2600000,32999,,0.0,0,權利人共二位,RPSNMLRJMHKFFBC87CA
安樂區,房地(土地+建物),基隆市安樂區武隆街61~90號,35.1,商,,,10402,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790523,106.02,2,2,2,有,無,3700000,34899,,0.0,0,,RPPOMLTKLHKFFCC97CA
暖暖區,房地(土地+建物),基隆市暖暖區源遠路297巷61~90號,95.82,住,,,10403,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0980324,197.31,5,3,4,有,無,10900000,55243,,0.0,0,,RPWNMLNLLHKFFCC08CA
安樂區,房地(土地+建物),基隆市安樂區樂利三街241~270號,141.23,住,,,10401,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1000614,301.5,3,2,3,有,有,17330000,57479,,0.0,0,,RPVNMLOLLHKFFCC08CA
七堵區,房地(土地+建物),基隆市七堵區長安街212巷1~30號,37.6,,鄉村區,乙種建築用地,10402,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,57.1,3,2,1,有,無,2900000,50788,,0.0,0,,RPPOMLKKMHKFFCC17CA
七堵區,房地(土地+建物),基隆市七堵區開元路61~90號,22.25,商,,,10401,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660518,79.31,3,1,1,有,無,5650000,71239,,0.0,0,,RPQOMLKKMHKFFCC27CA
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街16巷31~60號,21.28,住,,,10403,土地3建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720310,70.96,3,1,1,有,無,1800000,25366,,0.0,0,,RPVNMLRKLHKFFCC48EA
安樂區,房地(土地+建物),基隆市安樂區基金一路151~180號,6.04,住,,,10403,土地5建物1車位0,七層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871210,38.77,1,1,1,有,有,1200000,30952,,0.0,0,,RPWNMLRKLHKFFCC58EA
安樂區,房地(土地+建物),基隆市安樂區中和路85巷31~60號,18.32,其他,,,10402,土地6建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,70.14,3,2,2,有,有,2300000,32792,,0.0,0,,RPPOMLTKLHKFFCC18EA
安樂區,房地(土地+建物),基隆市安樂區安一路331~360號,21.66,住,,,10402,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721102,96.52,3,2,2,有,無,4000000,41442,,0.0,0,,RPXNMLNLLHKFFCC28DA
七堵區,房地(土地+建物),基隆市七堵區崇孝街1~30號,27.25,住,,,10401,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650623,72.71,3,2,2,有,無,2800000,38509,,0.0,0,凶宅,RPROMLKKMHKFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區武嶺街301~330號,18.52,住,,,10402,土地4建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850216,67.84,1,1,1,有,無,2450000,36114,,0.0,0,,RPRNMLKKMHKFFCC27CA
安樂區,車位,基隆市安樂區武嶺街271~300號,0.0,,,,10402,土地0建物0車位1,,,其他,,,,36.24,0,0,0,有,無,700000,,坡道平面,36.24,700000,,RPWNMLOLLHKFFCC18CA
七堵區,房地(土地+建物)+車位,基隆市七堵區福五街1~30號,40.8,住,,,10402,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031114,176.20999999999998,3,2,2,有,有,13910000,83783,坡道平面,28.09,1500000,,RPXNMLOLLHKFFCC28CA
