編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLQKLHKFFBC18CA,港濱段,17.20,都市：其他
RPQNMLRKLHKFFBC67CA,光明段,27.85,都市：住
RPRNMLRKLHKFFBC77CA,長潭段,2.13,都市：住
RPRNMLRKLHKFFBC77CA,長潭段,21.28,都市：住
RPSNMLRKLHKFFBC87CA,港濱段,3.52,都市：其他
RPSNMLRKLHKFFBC87CA,港濱段,1.27,都市：住
RPSNMLRKLHKFFBC87CA,港濱段,20.34,都市：住
RPQNMLSKLHKFFBC77CA,中濱段,17.18,都市：商
RPTNMLTKLHKFFBC18CA,德厚段,85.00,都市：住
RPSNMLKLLHKFFBC27CA,延平段,12.50,都市：商
RPSNMLKLLHKFFBC27CA,延平段,3.25,都市：商
RPPNMLNLLHKFFBC27CA,深澳坑段槓子寮小段,105.77,都市：住
RPOQMLMJMHKFFBC27CA,田寮段,31.50,都市：其他
RPOQMLMJMHKFFBC27CA,田寮段,31.50,都市：其他
RPRNMLTJMHKFFBC97CA,調和段,26.18,都市：住
RPSNMLRJMHKFFBC87CA,光明段,24.10,都市：住
RPSNMLRJMHKFFBC87CA,光明段,.02,都市：其他
RPSNMLRJMHKFFBC87CA,光明段,.13,都市：其他
RPSNMLRJMHKFFBC87CA,光明段,.03,都市：其他
RPSNMLRJMHKFFBC87CA,光明段,.06,都市：其他
RPSNMLRJMHKFFBC87CA,光明段,.03,都市：其他
RPPOMLTKLHKFFCC97CA,大武崙段內寮小段,35.10,都市：商
RPWNMLNLLHKFFCC08CA,源遠段,90.99,都市：住
RPWNMLNLLHKFFCC08CA,源遠段,4.83,都市：住
RPVNMLOLLHKFFCC08CA,新城段,141.23,都市：住
RPPOMLKKMHKFFCC17CA,長安段,37.60,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLKKMHKFFCC27CA,大華段,22.25,都市：商
RPVNMLRKLHKFFCC48EA,八德段,12.30,都市：住
RPVNMLRKLHKFFCC48EA,八德段,5.41,都市：住
RPVNMLRKLHKFFCC48EA,八德段,3.57,都市：住
RPWNMLRKLHKFFCC58EA,新會段,2.91,都市：住
RPWNMLRKLHKFFCC58EA,新會段,.31,都市：其他
RPWNMLRKLHKFFCC58EA,新會段,.83,都市：其他
RPWNMLRKLHKFFCC58EA,新會段,.09,都市：住
RPWNMLRKLHKFFCC58EA,新會段,1.91,都市：其他
RPPOMLTKLHKFFCC18EA,代天府段,17.96,都市：其他
RPPOMLTKLHKFFCC18EA,代天府段,.11,都市：其他
RPPOMLTKLHKFFCC18EA,代天府段,.14,都市：其他
RPPOMLTKLHKFFCC18EA,代天府段,.03,都市：其他
RPPOMLTKLHKFFCC18EA,代天府段,.00,都市：住
RPPOMLTKLHKFFCC18EA,代天府段,.07,都市：住
RPXNMLNLLHKFFCC28DA,觀音段,21.66,都市：住
RPROMLKKMHKFFCC37CA,大華段,27.25,都市：住
RPRNMLKKMHKFFCC27CA,武嶺段,13.61,都市：住
RPRNMLKKMHKFFCC27CA,武嶺段,.14,都市：其他
RPRNMLKKMHKFFCC27CA,武嶺段,.01,都市：其他
RPRNMLKKMHKFFCC27CA,武嶺段,4.76,都市：住
RPXNMLOLLHKFFCC28CA,五堵段五堵北小段,40.80,都市：住
RPOOMLOLLHKFFCC47CA,五堵段五堵北小段,40.80,都市：住
RPQOMLNLLHKFFCC57CA,榮華段,28.53,都市：住
RPQOMLNLLHKFFCC57CA,榮華段,2.80,都市：其他
RPQOMLNLLHKFFCC57CA,榮華段,.67,都市：其他
RPPNMLOLLHKFFCC47CA,源遠段,34.10,都市：住
RPSOMLTKLHKFFCC28CA,過港段,42.64,都市：住
RPSOMLTKLHKFFCC28CA,過港段,.05,都市：其他
RPRNMLSKLHKFFCC97CA,新城段,22.27,都市：住
RPSNMLSKLHKFFCC08CA,新會段,34.44,都市：住
RPUNMLNLLHKFFCC87CA,大武崙段內寮小段,131.38,都市：住
RPVNMLNLLHKFFCC97CA,大武崙段內寮小段,130.10,都市：住
RPPNMLMJMHKFFCC17CA,長安段,524.44,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMJMHKFFCC17CA,長安段,208.40,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLMLLHKFFBC17CA,成功段,207.00,都市：住
RPSNMLPLLHKFFBC77CA,調和段,.00,都市：住
RPSNMLPLLHKFFBC77CA,調和段,.00,都市：其他
RPSNMLPLLHKFFBC77CA,調和段,11.54,都市：住
RPSNMLPLLHKFFBC77CA,調和段,.01,都市：其他
RPSNMLPLLHKFFBC77CA,調和段,.00,都市：住
RPXNMLTKLHKFFBC58CA,長潭段,41.38,都市：住
RPOOMLTKLHKFFBC77CA,調和段,26.81,都市：住
RPSOMLTKLHKFFBC18CA,德厚段,14.16,都市：住
RPRNMLSKLHKFFBC87CA,長潭段,64.00,都市：住
RPTNMLSKLHKFFBC08CA,調和段,1.70,都市：其他
RPTNMLSKLHKFFBC08CA,調和段,.00,都市：其他
RPTNMLSKLHKFFBC08CA,調和段,.00,都市：住
RPUNMLSKLHKFFBC18CA,調和段,96.60,都市：住
RPUNMLSKLHKFFBC18CA,調和段,.04,都市：住
RPUNMLSKLHKFFBC18CA,調和段,.66,都市：住
RPUNMLSKLHKFFBC18CA,調和段,.06,都市：住
RPUNMLSKLHKFFBC18CA,調和段,.04,都市：住
RPUNMLSKLHKFFBC18CA,調和段,.20,都市：住
RPRNMLKLLHKFFBC17CA,忠義段六小段,36.25,都市：住
RPUNMLTKLHKFFBC28CA,長潭段,2.13,都市：住
RPUNMLTKLHKFFBC28CA,長潭段,21.28,都市：住
RPWNMLSKLHKFFBC38CA,深美段,13.26,都市：住
RPWNMLSKLHKFFBC38CA,深美段,10.94,都市：住
RPQNMLPLLHKFFBC57CA,港濱段,47.50,都市：住
RPWNMLLMLHKFFBC87CA,東信段一小段,27.46,都市：商
RPWNMLQLLHKFFCC38CA,八堵段八堵北小段,56.00,都市：住
RPWNMLQLLHKFFCC38CA,八堵段八堵北小段,90.00,都市：住
RPWNMLQLLHKFFCC38CA,八堵段八堵北小段,155.00,都市：住
RPPNMLRLLHKFFCC77CA,大武崙段內寮小段,23.00,都市：住
RPRNMLKMLHKFFCC37CA,金華段,31.99,都市：住
RPOOMLKMLHKFFCC17CA,過港段,27.50,都市：住
RPTNMLNKMHKFFBC67CA,深美段,22.12,都市：住
RPTNMLNKMHKFFBC67CA,深美段,.01,都市：住
RPPNMLKLLHKFFCC07CA,大華段,46.39,都市：住
RPQNMLKLLHKFFCC17CA,新崙段,30.40,都市：住
RPRNMLKLLHKFFCC27CA,麥金段,18.04,都市：住
RPRNMLKLLHKFFCC27CA,麥金段,.52,都市：其他
RPSNMLKLLHKFFCC37CA,代天府段,20.75,都市：住
RPSNMLKLLHKFFCC37CA,代天府段,.32,都市：其他
RPSNMLKLLHKFFCC37CA,代天府段,.06,都市：住
RPSNMLKLLHKFFCC37CA,代天府段,.84,都市：住
RPOOMLNLLHKFFCC37CA,安國段,28.34,都市：住
RPUNMLKKMHKFFCC57CA,八德段,25.72,都市：住
RPROMLOKMHKFFCC77CA,新會段,13.97,都市：住
RPUNMLOLLHKFFCC18EA,新會段,41.15,都市：住
RPSNMLSKLHKFFBC08DA,東明段,.30,都市：其他
RPSNMLSKLHKFFBC08DA,東明段,27.79,都市：住
RPPNMLLLLHKFFBC17DA,港濱段,24.67,都市：住
RPQNMLKMLHKFFBC27DA,深澳段,32.41,都市：住
RPWNMLTJMHKFFCC58CA,金華段,23.13,都市：住
RPWNMLTJMHKFFCC58CA,金華段,1.66,都市：住
RPWNMLTJMHKFFCC58CA,金華段,2.67,都市：住
RPROMLNLLHKFFCC67CA,觀音段,28.19,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,21.23,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.13,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.17,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,.04,都市：其他
RPTOMLNLLHKFFCC87CA,代天府段,.00,都市：住
RPTOMLNLLHKFFCC87CA,代天府段,.08,都市：住
RPVNMLPLLHKFFCC18CA,新會段,22.26,都市：住
RPQOMLKLLHKFFCC27CA,源遠段,48.02,都市：住
RPROMLKLLHKFFCC37CA,五堵段五堵北小段,26.51,都市：住
RPTOMLKLLHKFFCC57CA,新會段,1.88,都市：其他
RPTOMLKLLHKFFCC57CA,新會段,6.54,都市：住
RPTOMLKLLHKFFCC57CA,新會段,.69,都市：其他
RPTOMLKLLHKFFCC57CA,新會段,.20,都市：住
RPTOMLKLLHKFFCC57CA,新會段,4.29,都市：其他
RPUOMLKLLHKFFCC67CA,麥金段,7.60,都市：住
RPUOMLKLLHKFFCC67CA,麥金段,.29,都市：住
