編號,車位類別,車位價格,車位面積平方公尺
RPWNMLOLLHKFFCC18CA,坡道平面,700000,36.24
RPXNMLOLLHKFFCC28CA,坡道平面,1500000,28.09
RPOOMLOLLHKFFCC47CA,坡道平面,1500000,28.09
RPPNMLOLLHKFFCC47CA,坡道平面,1200000,32.04
RPPNMLOLLHKFFCC47CA,坡道平面,0,28.62
RPSOMLTKLHKFFCC28CA,坡道平面,0,
RPPOMLTKLHKFFBC87CA,坡道平面,400000,34.99
RPPOMLTKLHKFFBC87CA,坡道平面,400000,34.99
RPPOMLTKLHKFFBC87CA,坡道平面,400000,34.99
RPTNMLSKLHKFFBC08CA,坡道平面,450000,34.17
RPUNMLSKLHKFFBC18CA,坡道平面,0,
RPUNMLSKLHKFFBC18CA,坡道平面,0,
RPUNMLTKLHKFFBC28CA,坡道平面,0,38.71
RPPNMLKLLHKFFCC07CA,坡道平面,1100000,26.50
RPUNMLOLLHKFFCC18EA,坡道平面,0,31.41
RPTNMLNLLHKFFCC77CA,坡道平面,0,31.15
RPWNMLKMLHKFFBC77CA,升降平面,0,
RPROMLMJMHKFFBC37CA,其他,0,
RPROMLMJMHKFFBC37CA,其他,0,
RPTNMLNLLHKFFBC67CA,坡道平面,400000,45.95
RPRNMLNLLHKFFCC57CA,坡道平面,1000000,22.80
RPUNMLPLLHKFFCC08CA,一樓平面,0,
RPXNMLRLLHKFFCC58CA,坡道平面,0,27.45
RPTNMLOLLHKFFBC77CA,坡道平面,900000,32.88
RPSNMLNLLHKFFBC57CA,坡道平面,400000,45.95
RPUNMLLJMHKFFBC47CA,坡道平面,1500000,20.67
RPPNMLKMLHKFFBC07CA,坡道平面,500000,34.17
RPTNMLKMLHKFFCC57CA,坡道平面,0,
RPPNMLQLLHKFFCC67CA,坡道平面,1000000,22.80
RPSNMLQLLHKFFCC97CA,坡道平面,1100000,26.48
RPTNMLQLLHKFFCC08CA,坡道平面,1100000,26.48
RPVNMLQLLHKFFCC28CA,坡道平面,0,
RPQNMLTLLHKFFBC97CA,坡道平面,0,41.38
RPUNMLLMLHKFFBC67CA,坡道平面,0,
RPPNMLKKMHKFFBC96CA,坡道平面,650000,29.85
RPPOMLKMLHKFFCC27CA,坡道機械,0,20.77
RPWNMLRLLHKFFCC48CA,坡道機械,0,20.77
RPRNMLLLMHKFFCC47CA,坡道機械,0,
RPUNMLKMLHKFFCC67CA,坡道平面,0,
RPTNMLMJMHKFFCC57CA,坡道平面,0,38.87
RPUNMLMJMHKFFCC67CA,坡道平面,0,38.87
RPWNMLMJMHKFFCC87CA,坡道平面,1500000,28.09
RPXNMLMJMHKFFCC97CA,坡道平面,1500000,28.09
RPXNMLLJMHKFFCC87CA,坡道平面,0,38.87
RPQNMLSJMHKFFBC77CA,坡道平面,0,
RPXNMLLMLHKFFBC97CA,坡道平面,0,
RPQOMLMJMHKFFBC27CA,坡道平面,0,
RPXOMLMJMHKFFCC28EA,坡道平面,0,
RPTNMLOJNHKFFBC77CA,坡道平面,0,
RPTNMLLMLHKFFCC67CA,坡道機械,0,
RPTNMLLJMHKFFBC37CA,坡道平面,0,
