¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
¥_°Ï,¨®¦ì,»O«n¥«¥_°Ïªø¥_µó121~150¸¹,28.12,¦í,,,10402,¤g¦a0«Øª«0¨®¦ì1,¤@¼h,6,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0861022,4.25,0,0,0,¦³,¦³,280000,,¤É­°¾÷±ñ,0.0,280000,,RPRNMLRKLHKFFAD77CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¼y¥­¸ô511~540¸¹,13.2,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì1,¤Q¤E¼h¡A¤G¤Q¼h¡A¨£¨Ï¥Î°õ·Ó,24,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0880211,200.29000000000002,3,2,2,¦³,¦³,7000000,34951,©Y¹D¾÷±ñ,0.0,0,,RPXNMLRKLHKFFAD38CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¦w¥­°Ï¨|¥­¤­µó61~90¸¹,11.27,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,13,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850919,98.41,3,2,2,¦³,¦³,3250000,33025,,0.0,0,,RPQNMLSKLHKFFAD77CA
¦w¥­°Ï,¤g¦a,·s«n¬q61~90¦a¸¹,200.0,¦í,,,10401,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,16032500,80163,,0.0,0,,RPUNMLKLLHKFFAD47CA
¦w¥­°Ï,¤g¦a,·s«n¬q61~90¦a¸¹,200.0,¦í,,,10401,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,16032500,80163,,0.0,0,,RPVNMLKLLHKFFAD57CA
¦w¥­°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O«n¥«¦w¥­°Ï¨|¥­¤­µó61~90¸¹,23.06,¦í,,,10402,¤g¦a3«Øª«1¨®¦ì2,¤T¼h,13,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0850919,235.20999999999998,4,2,2,¦³,¦³,8200000,34862,©Y¹D¥­­±,0.0,0,,RPOOMLNLLHKFFAD27CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¨|¼w¸ô661~690¸¹,105.58,¦í,,,10312,¤g¦a2«Øª«1¨®¦ì0,¥þ,4,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤gºc³y,0960427,233.83,4,3,6,¦³,µL,18300000,78262,,0.0,0,,RPOOMLLMLHKFFAD17CA
¤¤¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¤¤¦è°Ï¦è½å¨½¦è½å¤Gµó151~180¸¹,116.9,¦í,,,10312,¤g¦a2«Øª«1¨®¦ì0,¥þ,5,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¨£¨ä¥Lµn°O¨Æ¶µ,1031024,329.65,3,2,5,¦³,¦³,18620000,56484,,0.0,0,,RPROMLMJMHKFFAD37CA
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O«n¥«¥_°Ï¨|¼w¤@µó1~30¸¹,20.25,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤E¼h,10,µØ·H(10¼h§t¥H¤U¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0930830,80.13,2,2,1,¦³,¦³,4800000,59903,,0.0,0,,RPWNMLSJMHKFFAD38CA
¦w«n°Ï,¤g¦a,¾ÇªF¬q961~990¦a¸¹,108.77,¦í,,,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1272609,11700,,0.0,0,,RPPNMLRKLHKFFBD67CA
