編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLRKLHKFFAD77CA,17,.08,見其他登記事項,鋼筋混凝土構造,86年10月22日,006,一層
RPRNMLRKLHKFFAD77CA,17,.00,共有部分,鋼筋混凝土構造,86年10月22日,006
RPRNMLRKLHKFFAD77CA,17,4.16,見其他登記事項,鋼筋混凝土構造,86年10月22日,006
RPXNMLRKLHKFFAD38CA,16,133.02,見其他登記事項,鋼筋混凝土構造,88年2月11日,024,十九層 二十層 見使用執照
RPXNMLRKLHKFFAD38CA,16,17.94,共有部分,鋼筋混凝土構造,88年2月11日,024
RPXNMLRKLHKFFAD38CA,16,.03,見其他登記事項,鋼筋混凝土構造,88年2月11日,024,地下四層
RPXNMLRKLHKFFAD38CA,16,15.89,共有部分,鋼筋混凝土構造,88年2月11日,024
RPXNMLRKLHKFFAD38CA,16,6.03,共有部分,鋼筋混凝土構造,88年2月11日,024
RPXNMLRKLHKFFAD38CA,16,27.38,共有部分,鋼筋混凝土構造,88年2月11日,024
RPQNMLSKLHKFFAD77CA,18,77.77,住家用,鋼筋混凝土構造,85年9月19日,013,九層
RPQNMLSKLHKFFAD77CA,18,8.37,共有部分,鋼筋混凝土構造,85年9月19日,013
RPQNMLSKLHKFFAD77CA,18,12.27,共有部分,鋼筋混凝土構造,85年9月19日,013
RPOOMLNLLHKFFAD27CA,18,150.37,見其他登記事項,鋼筋混凝土構造,85年9月19日,013,三層
RPOOMLNLLHKFFAD27CA,18,15.26,共有部分,鋼筋混凝土構造,85年9月19日,013
RPOOMLNLLHKFFAD27CA,18,22.75,共有部分,鋼筋混凝土構造,85年9月19日,013
RPOOMLNLLHKFFAD27CA,18,.04,見其他登記事項,鋼筋混凝土構造,85年9月19日,013,一層
RPOOMLNLLHKFFAD27CA,18,.04,見其他登記事項,鋼筋混凝土構造,85年9月19日,013,一層
RPOOMLNLLHKFFAD27CA,18,23.62,共有部分,鋼筋混凝土構造,85年9月19日,013
RPOOMLNLLHKFFAD27CA,18,23.13,共有部分,鋼筋混凝土構造,85年9月19日,013
RPOOMLLMLHKFFAD17CA,8,233.83,見其他登記事項,鋼筋混凝土構造,96年4月27日,004,一層 二層 三層 四層 屋頂突出物
RPROMLMJMHKFFAD37CA,,329.44,見其他登記事項,見其他登記事項,103年10月24日,005,一層 二層 三層 四層 五層 屋頂突出物
RPROMLMJMHKFFAD37CA,,.21,見其他登記事項,見其他登記事項,103年10月24日,005
RPWNMLSJMHKFFAD38CA,10,62.12,見其他登記事項,鋼筋混凝土造,93年8月30日,010,九層
RPWNMLSJMHKFFAD38CA,10,7.42,共有部分,鋼筋混凝土造,93年8月30日,010
RPWNMLSJMHKFFAD38CA,10,10.59,共有部分,鋼筋混凝土造,93年8月30日,010
RPPNMLSKLHKFFBD77CA,33,89.67,見其他登記事項,鋼筋混凝土造,70年9月7日,004,二層
RPPNMLSKLHKFFBD77CA,33,8.08,共有部分,鋼筋混凝土造,70年9月7日,004
RPUNMLKLLHKFFBD57CA,10,272.95,見其他登記事項,鋼筋混凝土造,94年5月3日,003,一層 二層 三層
RPUNMLKLLHKFFBD57CA,10,4.33,見其他登記事項,鋼筋混凝土造,93年12月24日,005,一層 二層 三層 四層 五層 屋頂突出物
RPUNMLKLLHKFFBD57CA,10,.11,見其他登記事項,鋼筋混凝土造,93年12月24日,001
RPWOMLMJMHKFFBD97CA,16,187.77,住家用,鋼筋混凝土造,87年12月31日,004,一層 二層 三層 四層 屋頂突出物 騎樓
RPVNMLOKMHKFFBD08CA,35,84.61,住家用,加強磚造,69年6月3日,002,二層
RPVNMLOKMHKFFBD08CA,35,16.60,共有部分,加強磚造,69年6月3日,002
RPVNMLQKLHKFFCD28CA,41,96.26,住家用,加強磚造,63年8月14日,002,一層 二層
RPWNMLQKLHKFFCD38CA,23,20.46,住家用,鋼筋混凝土構造,80年11月2日,007,二層
RPWNMLQKLHKFFCD38CA,23,8.91,共有部分,鋼筋混凝土構造,80年11月2日,007
RPWNMLQKLHKFFCD38CA,23,19.54,住家用,鋼筋混凝土構造,80年11月2日,007,六層
RPWNMLQKLHKFFCD38CA,23,7.39,共有部分,鋼筋混凝土構造,80年11月2日,007
RPRNMLTKLHKFFCD18CA,1,491.86,住家用,鋼筋混凝土構造,102年10月18日,004,一層 二層 三層 四層 屋頂突出物
RPUNMLTKLHKFFCD48CA,20,44.12,住家用,鋼筋混凝土構造,83年8月25日,015,三層
RPUNMLTKLHKFFCD48CA,20,2.45,共有部分,鋼筋混凝土構造,83年8月25日,015
RPUNMLTKLHKFFCD48CA,20,1.39,共有部分,鋼筋混凝土構造,83年8月25日,015
RPUNMLTKLHKFFCD48CA,20,.42,共有部分,鋼筋混凝土構造,83年8月25日,015
RPUNMLTKLHKFFCD48CA,20,6.72,共有部分,鋼筋混凝土構造,83年8月25日,015
RPOOMLSKLHKFFCD87CA,10,227.70,見其他登記事項,鋼筋混凝土構造,93年10月25日,005,一層 二層 三層 四層 五層
RPVNMLKLLHKFFCD77CA,47,121.09,住家用,加強磚造,57年1月30日,002,一層 二層
RPRNMLSLLHKFFCD18CA,40,84.00,住家用,加強磚造,63年9月11日,002,一層 二層
RPPNMLRKLHKFFAR98CA,19,168.94,住商用,鋼筋混凝土造,85年2月22日,004,一層 二層 三層 四層 屋頂突出物
