編號,車位類別,車位價格,車位面積平方公尺
RPRNMLRKLHKFFAD77CA,升降機械,280000,
RPXNMLRKLHKFFAD38CA,坡道機械,0,
RPOOMLNLLHKFFAD27CA,坡道平面,0,
RPOOMLNLLHKFFAD27CA,坡道平面,0,
RPOOMLRKLHKFFHR07CA,坡道機械,0,9.85
RPQNMLQKLHKFFHR17DA,坡道平面,0,
RPOOMLRKLHKFFCD87DA,坡道平面,0,
RPTNMLTKLHKFFAD28DA,坡道機械,0,
RPPOMLTJMHKFFHR37CA,坡道平面,0,
RPPNMLRLLHKFFHR17CA,坡道平面,0,
RPUNMLSKLHKFFFR47CA,坡道平面,0,
RPUNMLRJMHKFFER27CA,坡道平面,650000,
RPSNMLKMLHKFFCD57CA,坡道平面,0,31.20
RPPNMLTKLHKFFCD97CA,坡道平面,0,
RPWNMLNLLHKFFBD08CA,坡道平面,0,
RPQPMLPLLHKFFAD77CA,坡道機械,0,
RPQPMLPLLHKFFAD77CA,坡道機械,0,
RPQPMLPLLHKFFAD77CA,坡道機械,0,
RPXNMLQLLHKFFAD38CA,坡道平面,700000,
RPVNMLLMLHKFFAD77CA,坡道平面,0,
RPRNMLMJMHKFFBD37CA,坡道機械,0,
RPVNMLTKLHKFFCD58CA,坡道平面,0,
RPWNMLSLLHKFFCD68CA,坡道平面,0,
RPXNMLPKMHKFFCD48CA,坡道平面,0,
RPPNMLTKLHKFFDR86CA,一樓平面,0,
RPPNMLTKLHKFFDR86CA,一樓平面,0,
RPVNMLRJMHKFFER37CA,坡道平面,700000,
RPQPMLPLLHKFFFR07CA,坡道平面,0,
RPROMLSLLHKFFHR57CA,坡道機械,0,
RPRNMLTKLHKFFAD08DA,坡道機械,0,
RPXNMLKLLHKFFAD87DA,坡道平面,0,
RPSNMLRKMHKFFFR37DA,坡道平面,0,
RPTNMLRKMHKFFFR47DA,坡道平面,0,
RPSNMLTKLHKFFCD38DA,坡道平面,0,
RPPNMLOLLHKFFAD47DA,坡道機械,0,
RPWNMLKLLHKFFAD77DA,坡道平面,0,
RPRPMLRLLHKFFHR57CA,坡道機械,0,
RPRPMLRLLHKFFHR57CA,坡道機械,0,
RPSNMLLMLHKFFCD67CA,坡道平面,0,
RPRNMLKMLHKFFCD47CA,坡道機械,0,
RPXOMLOLLHKFFCD48CA,坡道平面,0,
RPVNMLNLLHKFFCD08CA,坡道平面,0,
RPUNMLQLLHKFFAD08CA,坡道平面,0,
RPUNMLQLLHKFFAD08CA,坡道平面,0,
RPQNMLLMLHKFFAD27CA,坡道平面,0,
RPWNMLQLLHKFFBD38CA,坡道機械,0,
RPQOMLLJMHKFFFR09CA,一樓平面,0,
RPRNMLNLLHKFFHR96CA,坡道平面,0,
RPQNMLNJMHKFFHR76CA,坡道平面,0,
RPRNMLLKMHKFFHR76CA,坡道平面,0,16.52
RPPNMLMLLHKFFAD27DA,坡道平面,200000,39.31
RPVNMLPLLHKFFHR67DA,坡道平面,0,
RPSNMLPKMHKFFHR37DA,坡道平面,0,
RPROMLRJMHKFFCD18DA,坡道平面,0,
RPUOMLLJMHKFFER76CA,坡道平面,0,
RPUOMLPLLHKFFCD28CA,升降機械,0,
RPRNMLQLLHKFFCD97CA,坡道平面,0,
RPUNMLOLLHKFFBD97CA,一樓平面,0,
RPRNMLKMLHKFFAD27CA,坡道機械,0,
RPQNMLRLLHKFFAD77CA,坡道平面,0,
RPQOMLOLLHKFFAD57CA,坡道平面,0,
RPROMLRLLHKFFAD97CA,坡道平面,850000,30.14
RPTNMLNKMHKFFAD67CA,坡道平面,0,
RPTNMLQKMHKFFAD97CA,坡道平面,0,
RPOOMLPLLHKFFBD57CA,坡道平面,0,
RPTNMLKMLHKFFCD67CA,坡道平面,0,31.20
RPSNMLQLLHKFFDR96CA,一樓平面,0,
RPSNMLQLLHKFFDR96CA,一樓平面,0,
RPTNMLQLLHKFFDR07CA,一樓平面,0,
RPTNMLQLLHKFFDR07CA,一樓平面,0,
RPTNMLLMLHKFFHR07CA,坡道機械,0,
RPTNMLRLLHKFFHR57CA,坡道機械,0,
RPTNMLPLLHKFFAD97DA,升降機械,0,
RPRNMLLMLHKFFCD67DA,坡道機械,0,
RPWOMLLMLHKFFHR47CA,坡道機械,0,
RPXOMLLMLHKFFHR57CA,坡道平面,0,
RPOPMLLMLHKFFHR76CA,坡道機械,0,
RPPOMLRJMHKFFER86CA,坡道平面,0,
RPQNMLKMLHKFFCD37CA,坡道平面,0,
RPPOMLMJMHKFFAD17CA,坡道機械,0,
RPXNMLSJMHKFFCD68CA,坡道平面,0,
RPWNMLLJMHKFFCD87CA,坡道平面,0,
RPRNMLKKMHKFFCD37CA,坡道平面,0,
RPRNMLLKMHKFFCD47CA,坡道平面,0,
RPUOMLNKMHKFFCD08CA,升降機械,0,
RPTNMLKMLHKFFAR88CA,坡道機械,0,
RPPNMLKMLHKFFDR78CA,一樓平面,0,
RPQNMLKMLHKFFDR88CA,一樓平面,0,
RPQNMLLMLHKFFHR76CA,坡道平面,0,
RPTNMLKLMHKFFAD57DA,坡道平面,0,
RPPPMLLMLHKFFHR96DA,坡道機械,0,
RPPNMLTLLHKFFAD97DA,坡道平面,400000,39.31
RPPNMLOLMHKFFHR96CA,坡道平面,0,
RPTNMLRJMHKFFFR27CA,坡道平面,0,
RPRNMLRKMHKFFER07CA,坡道平面,0,
RPOPMLTJMHKFFCD08CA,坡道平面,0,33.29
RPUNMLKMLHKFFCD77CA,坡道平面,0,31.20
RPQNMLOKMHKFFAD47CA,坡道平面,0,
RPPOMLLJMHKFFAD07CA,坡道機械,0,
RPPNMLLMLHKFFAD17CA,坡道平面,0,
RPQNMLSLLHKFFAD87CA,升降機械,210000,
RPQOMLLJMHKFFAD17CA,坡道平面,0,
RPQOMLPKMHKFFAD67CA,升降機械,400000,
RPVPMLTJMHKFFAD58CA,坡道機械,0,23.19
RPOOMLNKMHKFFCD47CA,坡道平面,0,
RPVNMLLJMHKFFDR66CA,一樓平面,0,
RPWNMLLJMHKFFDR76CA,一樓平面,0,
RPTNMLPLMHKFFER17CA,坡道平面,0,
RPUNMLSJMHKFFER37CA,一樓平面,0,
RPOOMLNKMHKFFHR76CA,坡道機械,0,
RPTOMLSJMHKFFHR67CA,坡道平面,0,
RPXNMLMJMHKFFCD28EA,坡道機械,0,
RPVNMLKLMHKFFAD77DA,升降平面,0,
RPOOMLKMMHKFFHR66CA,坡道平面,0,
RPTNMLPLMHKFFHR47CA,坡道平面,0,
RPQOMLLMLHKFFCD67DA,坡道平面,0,
RPQOMLNKMHKFFHR96CA,坡道平面,0,
RPPNMLOJMHKFFHR76CA,坡道平面,0,
RPTNMLMJMHKFFHR96CA,坡道平面,0,
RPQPMLLMLHKFFHR96CA,一樓平面,0,
RPQPMLLMLHKFFHR96CA,坡道平面,0,
RPXNMLLJMHKFFER96CA,坡道平面,0,
RPPOMLLJMHKFFDR78CA,一樓平面,0,
RPQOMLLJMHKFFDR88CA,一樓平面,0,
RPROMLLJMHKFFDR98CA,一樓平面,0,
RPSOMLLJMHKFFDR09CA,一樓平面,0,
RPTOMLLJMHKFFDR56CA,一樓平面,0,
RPUOMLLJMHKFFDR66CA,一樓平面,0,
RPVOMLLJMHKFFDR76CA,一樓平面,0,
RPWOMLLJMHKFFDR86CA,一樓平面,0,
RPUNMLLJMHKFFDR56CA,一樓平面,0,
RPVNMLMJMHKFFAD67CA,坡道機械,0,
RPXNMLOLMHKFFAD28CA,坡道機械,0,
RPRNMLPLMHKFFAD77CA,坡道機械,0,
RPRNMLSLMHKFFAD08CA,坡道平面,0,24.86
RPVNMLSLMHKFFAD48CA,坡道平面,0,28.19
RPOPMLLMLHKFFAD27CA,坡道機械,0,
