╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
╣кдs░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╣кдs░╧дхлH╕Ї181~210╕╣,5.98,░╙,,,10402,дgжa1л╪кл1иожь1,дG╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0901008,78.58,2,1,1,ж│,ж│,4850000,61721,йY╣D╛ў▒ё,9.36,0,,RPUNMLRKLHKFFAE18CA
╣кдs░╧,иожь,░к╢пел╣кдs░╧╡╪║a╕Ї361~390╕╣,1.71,жэ,,,10403,дgжa0л╪кл0иожь1,,,ифеL,,,,26.5,0,0,0,ж│,ж│,490000,,йY╣Dенн▒,26.5,490000,,RPPNMLTKLHKFFAE87CA
╣кдs░╧,й╨жa(дgжa+л╪кл),░к╢пел╣кдs░╧дхлH╕Ї181~210╕╣,6.79,жэ,,,10403,дgжa1л╪кл1иожь0,е|╝h,11,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850320,59.629999999999995,1,1,1,ж│,ж│,3500000,58695,,0.0,0,,RPSNMLTKLHKFFAE18CA
╣кдs░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╣кдs░╧дхй╛╕Ї1~30╕╣,7.4,░╙,,,10403,дgжa1л╪кл1иожь1,дT╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0931004,86.08,2,1,1,ж│,ж│,5200000,60409,йY╣D╛ў▒ё,8.33,0,,RPUNMLOLLHKFFAE97CA
╣кдs░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пел╣кдs░╧дд╡╪д@╕Ї841~870╕╣,23.87,░╙,,,10402,дgжa2л╪кл1иожь1,дQе|╝h,18,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030403,250.25,3,2,3,ж│,ж│,23500000,93906,йY╣Dенн▒,33.37,0,,RPQNMLQLLHKFFAE77CA
╣кдs░╧,й╨жa(дgжa+л╪кл),░к╢пел╣кдs░╧дщйў╕Ї9л╤31~60╕╣,52.0,жэ,,,10402,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,,е[▒j┐j│y,0591209,66.96,3,2,2,ж│,╡L,4680000,69892,,0.0,0,,RPQOMLQLLHKFFAE87CA
лeкў░╧,дgжa,лскўмq151~180жa╕╣,279.0,░╙,,,10312,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,40000000,143369,,0.0,0,,RPXNMLRLLHKFFAE58CA
╣кдs░╧,й╨жa(дgжa+л╪кл),░к╢пел╣кдs░╧╕╬┬╫╡є1~30╕╣,159.0,жэ,,,10402,дgжa1л╪кл1иожь0,е■,5,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1030321,474.95,6,3,6,ж│,╡L,66000000,138962,,0.0,0,,RPXOMLRLLHKFFAE68CA
нd╢о░╧,й╨жa(дgжa+л╪кл)+иожь,░к╢пелнd╢о░╧╝с▓M╕Ї181~210╕╣,13.77,жэ,,,10402,дgжa1л╪кл1иожь1,дн╝h,17,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850708,133.09,3,2,2,ж│,ж│,4800000,36066,йY╣D╛ў▒ё,0.0,0,,RPQOMLQKLHKFFBE87CA
╖s┐│░╧,й╨жa(дgжa+л╪кл),░к╢пел╖s┐│░╧дн║╓дG╕Ї121~150╕╣,6.19,░╙,,,10402,дgжa1л╪кл1иожь0,дQдG╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),,┐√╡м▓V╛одg│y,0650802,44.91,1,1,1,ж│,ж│,2000000,44534,,0.0,0,,RPROMLRKLHKFFBE08CA
нd╢о░╧,й╨жa(дgжa+л╪кл),░к╢пелнd╢о░╧е┴┼vд@╕Ї84л╤1~30╕╣,64.0,жэ,,,10402,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,,е[▒j┐j│y,0610906,78.53,3,2,2,ж│,╡L,9500000,120973,,0.0,0,,RPQNMLSKLHKFFBE97CA
нd╢о░╧,й╨жa(дgжa+л╪кл),░к╢пелнd╢о░╧л╪░ъд@╕Ї328л╤31~60╕╣,56.62,░╙,,,10403,дgжa1л╪кл1иожь0,е■,2,│zд╤нэ,,е[▒j┐j│y,0590715,77.64,8,2,4,ж│,╡L,12700000,163575,,0.0,0,,RPSNMLKLLHKFFBE47CA
нd╢о░╧,й╨жa(дgжa+л╪кл),░к╢пелнd╢о░╧е|║√е|╕Ї1~30╕╣,5.6,░╙,,,10403,дgжa1л╪кл1иожь0,дQ╝h,12,оMй╨(1й╨1╞U1╜├),,┐√╡м▓V╛одg│y,0670602,48.77,1,1,1,ж│,ж│,1850000,37933,,0.0,0,,RPPNMLMLLHKFFBE37CA
нd╢о░╧,й╨жa(дgжa+л╪кл),░к╢пелнd╢о░╧кL┤╦дG╕Ї85л╤1~30╕╣,35.5,░╙,,,10403,дgжa1л╪кл1иожь0,е|╝h,4,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),,┐√╡м▓V╛одg│y,0621229,86.04,3,2,2,ж│,╡L,2800000,32543,,0.0,0,,RPQNMLMLLHKFFBE47CA
лe┬э░╧,й╨жa(дgжa+л╪кл),░к╢пеллe┬э░╧▒^дsкF╡є1~30╕╣,92.0,жэ,,,10403,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбAдT╝hбA├M╝╙,3,й▒н▒(й▒╛Q),,┐√╡м▓V╛одg│y,0660216,155.67,4,2,3,ж│,╡L,10380000,66680,,0.0,0,,RPWOMLQKLHKFFCE58CA
лe┬э░╧,дgжa,дп╖Rмq211~240жa╕╣,58.0,жэ,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3500000,60345,,0.0,0,зtе╝╡n░Oл╪клбC,RPQPMLQKLHKFFCE08CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧дджw╕Ї901~930╕╣,23.36,жэ,,,10403,дgжa1л╪кл1иожь0,дG╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1031201,153.2,3,2,2,ж│,ж│,5380000,35117,,0.0,0,н▒дджw╕Ї,RPOOMLRKLHKFFCE87CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧╝wдп╕Ї83л╤1~30╕╣,21.39,жэ,,,10402,дgжa1л╪кл1иожь0,дG╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0780828,85.96,3,2,2,ж│,╡L,2350000,27338,,0.0,0,,RPUOMLTKLHKFFCE68CA
дp┤ф░╧,й╨жa(дgжa+л╪кл),░к╢пелдp┤ф░╧з╗кL╡є31~60╕╣,17.19,жэ,,,10403,дgжa1л╪кл1иожь0,д╗╝h,7,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830906,111.97,4,2,2,ж│,ж│,3320000,29651,,0.0,0,,RPTOMLKLLHKFFCE77CA
лe┬э░╧,й╨жa(дgжa+л╪кл),░к╢пеллe┬э░╧дTжhдT╕Ї91~120╕╣,5.9,░╙,,,10402,дgжa1л╪кл1иожь0,дQдT╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0940504,82.9,2,2,1,ж│,ж│,6100000,73583,,0.0,0,,RPPNMLMLLHKFFCE47CA
