¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¤å¤Æ¸ô¤@¬q331~360¸¹,2.1,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤G¤Q¤G¼h,40,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0990715,41.019999999999996,0,0,0,µL,¦³,8700000,212092,,0.0,0,¶§¥x¥~±À,RPSOMLQKLHKFFAF08CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¹´¤¤¤Gµó116«Ñ1~30¸¹,28.23,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,,92.8,3,2,2,¦³,µL,8200000,88362,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPWOMLQKLHKFFAF48CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«ªO¾ô°Ï¤T¥Á¸ô¤@¬q1«Ñ1~30¸¹,6.25,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,4,©±­±(©±¾Q),¦í®a¥Î,¥[±j¿j³y,,14.79,0,1,1,¦³,µL,3050000,206220,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPQNMLRKLHKFFAF87CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¥Ã¹ç¸ô1~30¸¹,8.26,°Ó,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,16,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831231,110.82000000000001,3,2,2,¦³,¦³,9000000,81213,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPRNMLRKLHKFFAF97CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¥Á¥Í¸ô¤@¬q1~30¸¹,15.62,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,25,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831202,245.45999999999998,4,2,2,¦³,¦³,26750000,108975,©Y¹D¾÷±ñ,57.64,0,,RPUNMLRKLHKFFAF28CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¾Ç©²¸ô¤@¬q98«Ñ1~30¸¹,4.44,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,13,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821122,31.93,1,0,1,¦³,¦³,3420000,107109,,0.0,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPXNMLRKLHKFFAF58CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¤¤µØ¸ô¤G¬q151~180¸¹,16.9,¤u,,,10403,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,10,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í¤u¥Î,¿ûµ¬²V¾®¤g³y,,151.21,4,2,2,¦³,¦³,12500000,82666,©Y¹D¥­­±,0.0,0,,RPUOMLRKLHKFFAF38CA
ªO¾ô°Ï,¨®¦ì,·s¥_¥«ªO¾ô°Ï¤¤¤s¸ô¤@¬q1~30¸¹,1.77,°Ó,,,10403,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,40.35,0,0,0,¦³,¦³,1800000,,©Y¹D¥­­±,40.35,1800000,,RPVOMLRKLHKFFAF48CA
¤g«°°Ï,¤g¦a,¹B®Õ¬q121~150¦a¸¹,158.75,¦í,,,10312,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10080000,63496,,0.0,0,,RPOOMLSKLHKFFAF87CA
ªO¾ô°Ï,¨®¦ì,·s¥_¥«ªO¾ô°Ï¤jÆ[¸ô¤G¬q174«Ñ121~150¸¹,6.92,¦í,,,10403,¤g¦a0«Øª«0¨®¦ì1,¤G¼h,11,¨ä¥L,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950926,38.269999999999996,0,0,0,¦³,¦³,1150000,,©Y¹D¥­­±,38.11,1150000,,RPWNMLTKLHKFFAF68CA
ªO¾ô°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªO¾ô°Ï¥úµØµó13«Ñ31~60¸¹,28.8,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì1,¥|¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0880821,116.36,3,2,2,¦³,¦³,13700000,117738,©Y¹D¾÷±ñ,35.72,0,,RPSTMLLJMHKFFAF08CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«¤g«°°Ï¤¤¥¡¸ô¤G¬q181~210¸¹,3.03,°Ó,,,10402,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,13,®M©Ð(1©Ð1ÆU1½Ã),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0850203,34.19,1,1,1,¦³,¦³,4250000,124305,,0.0,0,,RPRNNLLJMHKFFAF47CA
¤g«°°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤g«°°Ï¤¤µØ¸ô¤@¬q151~180¸¹,6.13,¦í,,,10402,¤g¦a2«Øª«1¨®¦ì1,¤G¼h,16,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831110,81.18,1,1,1,¦³,¦³,3000000,36955,©Y¹D¥­­±,0.0,0,¤Gµ¥¿Ë¯S®íÃö«Y¶¡¤§¥æ©ö¡C,RPRQMLTJMHKFFAF48CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«·s²ø°Ï¥ß«H¤@µó31~60¸¹,15.53,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,13,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0941123,130.51,3,2,2,¦³,¦³,14880000,114014,©Y¹D¥­­±,16.78,0,§t¼W«Ø©Î¥¼µn°O«Øª«¡C,RPSNMLRKLHKFFBF18CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°Ï¤å¤Æ¤T¸ô¤@¬q555«Ñ1~30¸¹,17.95,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0950314,149.32,3,2,2,¦³,¦³,11000000,73667,©Y¹D¥­­±,27.38,0,,RPSNMLTKLHKFFBF38CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°Ï¤å¤Æ¤G¸ô¤@¬q20«Ñ1~30¸¹,18.15,¦í,,,10401,¤g¦a1«Øª«2¨®¦ì1,¤Q¼h,14,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830530,142.51,3,2,2,¦³,¦³,10000000,70171,©Y¹D¥­­±,0.0,0,¤G¤á¥´³q¡C,RPTNMLTKLHKFFBF48CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°Ï¥Á¥Í¸ô91~120¸¹,28.7,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì1,¤@¼h,13,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030613,130.11,2,2,2,¦³,¦³,11200000,93698,©Y¹D¥­­±,28.72,1700000,,RPXNMLTKLHKFFBF88CA
®õ¤s°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«®õ¤s°ÏÃã­×¸ô36«Ñ8§Ë1~30¸¹,30.87,¦í,,,10312,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,5,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0720825,82.68,3,2,1,¦³,µL,5400000,65312,,0.0,0,,RPQQMLSKLHKFFBF38CA
ªL¤f°Ï,¤g¦a,«ØªL¬q1291~1320¦a¸¹,752.3,¦í,,,10401,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,152472350,202675,,0.0,0,,RPWNMLKLLHKFFBF97CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«·s²ø°Ï·s¥_¤j¹D¤T¬q61~90¸¹,24.44,°Ó,,,10403,¤g¦a1«Øª«1¨®¦ì1,¤»¼h,24,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030826,226.67000000000002,0,0,0,µL,¦³,34000000,170640,©Y¹D¥­­±,39.61,2080000,,RPUOMLNLLHKFFBF18CA
ªL¤f°Ï,¤g¦a,ªL¤f¬q511~540¦a¸¹,45.99,¨ä¥L,,,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3616600,78639,,0.0,0,(¥]§t)¤½¦@³]¬I«O¯d¦a¤§¥æ©ö¡C,RPVUMLNLLHKFFBF88CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«),·s¥_¥«·s²ø°Ï©÷¥­µó82«Ñ15§Ë1~30¸¹,13.28,¦í,,,10401,¤g¦a1«Øª«1¨®¦ì0,¤»¼h,8,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821026,67.45,2,1,1,¦³,¦³,7250000,107487,,0.0,0,,RPWTMLNLLHKFFBF88CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤­ªÑ°Ï¦è¶³¸ô91~120¸¹,25.66,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,9,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0931007,180.6,4,2,2,¦³,¦³,11800000,65338,©Y¹D¥­­±,0.0,0,,RPUOMLOLLHKFFBF28CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«·s²ø°Ï·s¥_¤j¹D¤T¬q31~60¸¹,27.56,°Ó,,,10403,¤g¦a1«Øª«1¨®¦ì2,¤Q¥|¼h,25,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030826,284.53999999999996,3,1,3,¦³,¦³,40030000,175190,©Y¹D¥­­±,79.22,4060000,,RPUQMLOLLHKFFBF48CA
·s²ø°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«·s²ø°Ï·s¥_¤j¹D¤T¬q31~60¸¹,24.34,°Ó,,,10403,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,24,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030826,226.16,0,0,0,µL,¦³,28500000,142482,©Y¹D¥­­±,39.61,1920000,,RPVQMLOLLHKFFBF58CA
ªL¤f°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«ªL¤f°Ï¤å¤Æ¤T¸ô¤@¬q617«Ñ181~210¸¹,10.62,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì1,¤@¼h¡A¨£¨ä¥Lµn°O¨Æ¶µ,15,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011213,94.66999999999999,0,2,1,¦³,¦³,13900000,146826,©Y¹D¥­­±,13.12,0,,RPSOMLPLLHKFFBF18CA
¤­ªÑ°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,·s¥_¥«¤­ªÑ°Ï¦¨¬w¤@¸ô1~30¸¹,40.87,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì2,¤Q¤­¼h,18,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1040120,256.18,4,2,2,¦³,¦³,21100000,92411,©Y¹D¥­­±,62.48,3200000,,RPVOMLKMLHKFFBF08CA
