編號,車位類別,車位價格,車位面積平方公尺
RPUNMLRKLHKFFAF28CA,坡道機械,0,57.64
RPUOMLRKLHKFFAF38CA,坡道平面,0,
RPVOMLRKLHKFFAF48CA,坡道平面,1800000,40.35
RPWNMLTKLHKFFAF68CA,坡道平面,1150000,38.11
RPSTMLLJMHKFFAF08CA,坡道機械,0,35.72
RPRQMLTJMHKFFAF48CA,坡道平面,0,
RPSNMLRKLHKFFBF18CA,坡道平面,0,16.78
RPSNMLTKLHKFFBF38CA,坡道平面,0,27.38
RPTNMLTKLHKFFBF48CA,坡道平面,0,
RPXNMLTKLHKFFBF88CA,坡道平面,1700000,28.72
RPUOMLNLLHKFFBF18CA,坡道平面,2080000,39.61
RPUOMLOLLHKFFBF28CA,坡道平面,0,
RPUQMLOLLHKFFBF48CA,坡道平面,0,39.61
RPUQMLOLLHKFFBF48CA,坡道平面,0,39.61
RPVQMLOLLHKFFBF58CA,坡道平面,1920000,39.61
RPSOMLPLLHKFFBF18CA,坡道平面,0,13.12
RPVOMLKMLHKFFBF08CA,坡道平面,1600000,31.24
RPVOMLKMLHKFFBF08CA,坡道平面,1600000,31.24
RPWOMLKMLHKFFBF18CA,坡道平面,1700000,31.24
RPQNMLLMLHKFFBF57CA,坡道平面,1700000,31.24
RPRNMLLMLHKFFBF67CA,坡道平面,1700000,31.24
RPXNMLLMLHKFFBF28CA,坡道平面,1700000,31.24
RPWQMLLMLHKFFBF48CA,坡道平面,0,18.74
RPSRMLLMLHKFFBF18CA,坡道平面,0,18.74
RPTRMLLMLHKFFBF28CA,坡道平面,0,18.74
RPURMLLMLHKFFBF38CA,坡道平面,0,18.74
RPVRMLLMLHKFFBF48CA,坡道平面,0,16.17
RPWRMLLMLHKFFBF58CA,坡道平面,0,18.74
RPOSMLLMLHKFFBF87CA,坡道平面,0,16.17
RPTSMLLMLHKFFBF38CA,坡道平面,0,18.74
RPUTMLLMLHKFFBF58CA,坡道平面,0,18.74
RPPUMLLMLHKFFBF18CA,坡道平面,0,18.74
RPTUMLLMLHKFFBF58CA,坡道平面,0,18.74
RPUUMLLMLHKFFBF68CA,坡道平面,2400000,29.40
RPUUMLLMLHKFFBF68CA,坡道平面,2300000,27.28
RPWUMLLMLHKFFBF88CA,坡道平面,2200000,29.40
RPWUMLLMLHKFFBF88CA,坡道平面,2000000,27.28
RPXUMLLMLHKFFBF98CA,坡道平面,0,18.74
RPQPMLLJMHKFFBF57CA,坡道平面,0,29.02
RPUPMLTJMHKFFBF78CA,坡道平面,0,29.30
RPXOMLPLLHKFFCF78CA,坡道平面,1900000,31.69
RPUNMLRKLHKFFDF58CA,坡道平面,0,
RPQNMLSKLHKFFEF38CA,坡道平面,0,
RPVNMLSKLHKFFEF88CA,坡道平面,0,
RPVNMLSKLHKFFEF88CA,坡道平面,0,
RPWPMLSKLHKFFEF56CA,坡道平面,1100000,26.54
RPSNMLOLLHKFFEF28CA,坡道平面,0,29.84
RPRNMLTKLHKFFGF78CA,升降機械,0,22.12
RPXNMLOLLHKFFGF98CA,坡道平面,0,31.05
RPSNMLKMLHKFFGF18CA,坡道平面,0,36.03
RPSNMLKKMHKFFGF08CA,坡道平面,0,27.16
RPXUMLQKLHKFFHF27CA,坡道平面,0,37.58
RPQNMLSJMHKFFHF68CA,坡道機械,0,17.33
RPQNMLSJMHKFFHF68CA,坡道機械,0,17.33
RPSNMLOKMHKFFHF58CA,坡道平面,0,34.66
RPSNMLOKMHKFFHF58CA,坡道平面,0,34.66
RPXNMLMLMHKFFHF98CA,坡道機械,0,18.29
RPXNMLMLMHKFFHF98CA,坡道機械,0,18.29
RPQOMLKLLHKFFIF18CA,坡道機械,0,24.36
RPPPMLNLLHKFFIF48CA,坡道平面,0,32.22
RPTPMLLJMHKFFIF58CA,坡道平面,1350000,29.80
RPUPMLLJMHKFFIF68CA,坡道平面,1350000,29.80
RPVPMLLJMHKFFIF78CA,坡道平面,1350000,29.80
RPWPMLLJMHKFFIF88CA,坡道平面,1350000,29.80
RPXPMLLJMHKFFIF98CA,坡道平面,1400000,29.80
RPXPMLLJMHKFFIF98CA,坡道平面,1400000,29.80
RPOQMLLJMHKFFIF18CA,坡道平面,1350000,29.80
RPPQMLLJMHKFFIF28CA,坡道平面,1450000,29.80
RPQQMLLJMHKFFIF38CA,坡道平面,1450000,29.80
RPQQMLLJMHKFFIF38CA,坡道平面,1450000,29.80
RPRQMLLJMHKFFIF48CA,坡道平面,1450000,29.80
RPRQMLLJMHKFFIF48CA,坡道平面,1450000,29.80
RPTQMLLJMHKFFIF68CA,坡道平面,1400000,29.80
RPXNMLMJMHKFFIF88CA,坡道平面,1400000,29.80
RPOOMLMJMHKFFIF08CA,坡道平面,1450000,29.80
