鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
五結鄉,房地(土地+建物),宜蘭縣五結鄉大眾路31~60號,62.05,,特定農業區,甲種建築用地,10401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840523,121.87,4,2,3,有,無,3600000,29540,,0.0,0,,RPTOMLQKLHKFFAG28CA
五結鄉,土地,五結段601~630地號,1094.0,農,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5150000,4707,,0.0,0,,RPOPMLRKLHKFFAG97CA
冬山鄉,土地,南富段181~210地號,2799.0,,特定農業區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11430000,4084,,0.0,0,,RPWNMLSKLHKFFAG68CA
羅東鎮,土地,國華段31~60地號,205.0,住,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16300000,79512,,0.0,0,,RPOOMLSKLHKFFAG97CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路2巷1~30號,141.56,住,,,10401,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,1031126,210.61,4,3,5,有,無,6800000,32287,,0.0,0,,RPOPMLTKLHKFFAG18CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路2巷1~30號,123.18,住,,,10401,土地3建物1車位0,全,3,透天厝,住家用,見其他登記事項,1031126,202.03,4,3,5,有,無,6560000,32470,,0.0,0,,RPPPMLTKLHKFFAG28CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉五分路一段223巷1~30號,102.45,,特定農業區,甲種建築用地,10401,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0900723,215.51,4,2,3,有,無,5700000,26449,,0.0,0,,RPSOMLTKLHKFFAG48CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉行健三路一段301~330號,2497.0,,特定農業區,農牧用地,10403,土地1建物1車位0,一層，二層，三層,3,農舍,農舍,見其他登記事項,1040107,482.14,5,4,6,有,無,7553425,,,0.0,0,建築物由買方出資興建,RPPNMLLLLHKFFAG37CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結路一段469巷1~30號,119.25,,特定農業區,甲種建築用地,10312,土地7建物1車位0,全,3,透天厝,住家用,見其他登記事項,1031017,221.45,4,1,5,有,無,8550000,38609,,0.0,0,1.與其他案件合併計價。2.本案為預售案件。,RPXNMLNLLHKFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結路一段469巷1~30號,100.25,,特定農業區,甲種建築用地,10312,土地7建物1車位0,全,3,透天厝,住家用,見其他登記事項,1031017,197.77,4,1,5,有,無,8200000,41462,,0.0,0,1.與其他案件合併計價。2.本案為預售案件。,RPOOMLNLLHKFFAG57CA
