編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTOMLQKLHKFFAG28CA,20,121.87,住家用,鋼筋混凝土造,84年5月23日,003,一層 二層 三層
RPOPMLTKLHKFFAG18CA,,210.61,住家用,見其他登記事項,103年11月26日,003,一層 二層 三層 見其他登記事項
RPPPMLTKLHKFFAG28CA,,202.03,住家用,見其他登記事項,103年11月26日,003,一層 二層 三層 見其他登記事項
RPSOMLTKLHKFFAG48CA,13,215.51,住家用,鋼筋混凝土造,90年7月23日,004,一層 二層 三層 四層
RPPNMLLLLHKFFAG37CA,,482.14,農舍,見其他登記事項,104年1月7日,003,一層 二層 三層
RPXNMLNLLHKFFAG38CA,,221.45,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 見其他登記事項
RPOOMLNLLHKFFAG57CA,,197.77,住家用,見其他登記事項,103年10月17日,003,二層 三層 見其他登記事項 一層
RPPOMLNLLHKFFAG67CA,,217.03,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 見其他登記事項
RPQOMLNLLHKFFAG77CA,,212.89,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPROMLNLLHKFFAG87CA,,213.31,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPSOMLNLLHKFFAG97CA,,213.31,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPUOMLNLLHKFFAG18CA,18,37.84,住家用,鋼筋混凝土造,85年8月27日,024,八層
RPUOMLNLLHKFFAG18CA,18,5.30,見其他登記事項,鋼筋混凝土造,85年8月27日,024
RPUOMLNLLHKFFAG18CA,18,5.60,見其他登記事項,鋼筋混凝土造,85年8月27日,024
RPXOMLNLLHKFFAG48CA,,213.31,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPPPMLNLLHKFFAG77CA,,212.82,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPQPMLNLLHKFFAG87CA,,213.83,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPRPMLNLLHKFFAG97CA,,213.31,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPSPMLNLLHKFFAG08CA,,213.31,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPTPMLNLLHKFFAG18CA,,211.81,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPUPMLNLLHKFFAG28CA,,206.63,住家用,見其他登記事項,103年10月17日,003,夾層 見其他登記事項 一層 二層 三層
RPVPMLNLLHKFFAG38CA,,202.97,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPWPMLNLLHKFFAG48CA,,216.67,住家用,見其他登記事項,103年10月17日,003,一層 二層 三層 夾層 見其他登記事項
RPOOMLOLLHKFFAG67CA,,434.19,農舍,見其他登記事項,104年1月30日,004,一層 二層 三層 四層
RPOOMLOLLHKFFAG67CA,1,34.50,見其他登記事項,見其他登記事項,103年8月22日,001,一層
RPUPMLOLLHKFFAG38CA,36,127.42,住家用,鋼筋混凝土加強磚造,68年6月21日,002,一層 二層 騎樓
RPTOMLQLLHKFFAG38CA,16,106.95,住家用,鋼筋混凝土造,87年10月30日,005,三層
RPTOMLQLLHKFFAG38CA,16,29.29,見其他登記事項,鋼筋混凝土造,87年10月30日,005
RPRNMLLMLHKFFAG67CA,35,93.50,住家用,鋼筋混凝土造,69年2月13日,004,一層
RPWNMLLMLHKFFAG18CA,6,202.21,農舍,見其他登記事項,98年3月16日,003,一層 二層 三層
RPQNMLNJMHKFFAG57CA,23,157.21,見其他登記事項,鋼筋混凝土造,80年11月21日,007,七層
RPQNMLNJMHKFFAG57CA,23,42.85,見其他登記事項,鋼筋混凝土造,80年11月21日,007,地下一層
RPQNMLNJMHKFFAG57CA,23,26.37,共有部份,鋼筋混凝土造,80年11月21日,007
RPTNMLSKLHKFFBG48CA,16,80.46,住家用,鋼筋混凝土造,88年1月21日,012,一層
RPTNMLSKLHKFFBG48CA,16,5.82,共有部分,鋼筋混凝土造,88年1月21日,014
RPTNMLSKLHKFFBG48CA,16,22.79,共有部分,鋼筋混凝土造,88年1月21日,014
RPTNMLSKLHKFFBG48CA,16,15.11,共有部分,鋼筋混凝土造,88年1月21日,012
RPWNMLTKLHKFFBG88CA,6,182.49,農舍,見其他登記事項,98年3月9日,003,一層 二層 三層
RPRQMLOLLHKFFBG28CA,34,74.35,住家用,鋼筋混凝土加強磚造,70年8月19日,004,一層
RPRQMLOLLHKFFBG28CA,34,14.04,共有部分,鋼筋混凝土加強磚造,70年8月19日,004
RPRNMLLMLHKFFBG77CA,21,99.29,住家用,鋼筋混凝土造,83年6月21日,007,七層
RPRNMLLMLHKFFBG77CA,21,15.19,共有部分,鋼筋混凝土造,83年6月21日,007
RPRNMLLMLHKFFBG77CA,21,9.09,共有部分,鋼筋混凝土造,83年6月21日,007
RPROMLQLLHKFFAG28DA,34,184.97,見其他登記事項,見其他登記事項,70年4月18日,003,一層 二層 三層 騎樓
RPROMLQLLHKFFAG28DA,34,183.27,見其他登記事項,見其他登記事項,70年4月17日,003,一層 二層 三層 騎樓
RPWNMLQKLHKFFAG68EA,,198.29,見其他登記事項,見其他登記事項,103年12月25日,003,一層 二層 三層
RPOOMLQKLHKFFAG97EA,,177.66,住家用,見其他登記事項,103年12月25日,003,一層 二層 三層
RPPOMLQKLHKFFAG08EA,,182.85,見其他登記事項,見其他登記事項,103年12月25日,003,一層 二層 三層
RPQOMLQKLHKFFAG18EA,,182.85,見其他登記事項,見其他登記事項,103年12月25日,003,一層 二層 三層
RPQNMLSKLHKFFAG28EA,,196.75,見其他登記事項,見其他登記事項,103年12月25日,003,一層 二層 三層
RPORMLSKLHKFFBG48DA,19,261.28,住商用,鋼筋混凝土造,84年11月16日,004,一層 二層 三層 四層 騎樓
RPOOMLRLLHKFFBG08CA,20,40.75,住家用,鋼筋混凝土造,84年5月1日,005,四層 夾層
RPOOMLRLLHKFFBG08CA,20,4.78,共有部分,鋼筋混凝土造,84年5月1日,005
RPOOMLRLLHKFFBG08CA,20,9.00,共有部分,鋼筋混凝土造,84年5月1日,005
RPOQMLOLLHKFFBG97CA,20,89.11,住家用,鋼筋混凝土造,84年7月15日,008,三層
RPOQMLOLLHKFFBG97CA,20,46.54,共有部分,鋼筋混凝土造,84年7月15日,008
RPOQMLOLLHKFFBG97CA,20,11.85,共有部分,鋼筋混凝土造,84年7月15日,008
RPUOMLOLLHKFFBG38CA,,49.49,見其他登記事項,鋼筋混凝土造,103年11月20日,024,十三層
RPUOMLOLLHKFFBG38CA,,35.10,見其他登記事項,鋼筋混凝土造,103年11月20日,024
