編號,車位類別,車位價格,車位面積平方公尺
RPQNMLNJMHKFFAG57CA,坡道平面,0,
RPOPMLSKLHKFFAG28EA,坡道平面,0,
RPUOMLSKLHKFFBG88EA,坡道平面,0,
RPXNMLLMLHKFFAG28CA,坡道平面,0,
RPPNMLQLLHKFFAG87CA,坡道平面,0,
RPSNMLRLLHKFFAG28CA,坡道平面,0,
RPXNMLMJMHKFFAG18CA,一樓平面,0,
RPWNMLRJMHKFFAG58CA,升降機械,0,
RPPNMLKKMHKFFBG37CA,坡道平面,0,
RPQNMLRLLHKFFBG18CA,坡道機械,0,
RPPPMLQLLHKFFBG18CA,坡道平面,0,
RPUPMLQLLHKFFBG68CA,坡道平面,0,
RPUPMLQLLHKFFBG68CA,坡道平面,0,
RPUPMLQLLHKFFBG68CA,坡道平面,0,
RPRNMLOKMHKFFAG87CA,一樓平面,0,
RPOPMLOKMHKFFAG97EA,坡道平面,0,
RPVOMLLJMHKFFBG08CA,坡道平面,0,
RPUNMLMJMHKFFAG87CA,坡道平面,0,
