╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
оч╢щ░╧,дgжa,дp└╠╖╦мq181~210жa╕╣,169.5,ифеL,,,10403,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,15381000,90743,,0.0,0,,RPUQMLQKLHKFFAH68CA
└tдs░╧,й╨жa(дgжa+л╪кл),оч╢щел└tдs░╧йп║╓дQдC╡є1~30╕╣,21.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,10402,дgжa1л╪кл1иожь0,дн╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0701226,103.05,3,2,1,ж│,╡L,1400000,13586,,0.0,0,,RPPNMLRKLHKFFAH97CA
└tдs░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щел└tдs░╧дд┐│╕Ї31~60╕╣,20.75,жэ,,,10401,дgжa1л╪кл1иожь1,дK╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980924,142.07,3,2,2,ж│,ж│,8181000,57584,йY╣Dенн▒,0.0,0,,RPSNMLRKLHKFFAH28CA
оч╢щ░╧,дgжa,дT╕tмq1~30жa╕╣,218.2,ифеL,,,10403,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,990000,4537,,0.0,0,─▌д╜ж@│]мIлOпdжa,RPSOMLRKLHKFFAH38CA
└tдs░╧,дgжa,и▀дlз|мqдj┤Є│╗дpмq421~450жa╕╣,44.0,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,10401,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1064800,24200,,0.0,0,,RPUOMLRKLHKFFAH58CA
оч╢щ░╧,дgжa,дTд╕мq841~870жa╕╣,174.53,жэ,,,10312,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11784852,67523,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWOMLRKLHKFFAH78CA
└tдs░╧,дgжa,и▀дlз|мqдj┤Є│╗дpмq421~450жa╕╣,97.3,,дsйYжaлOи|░╧,╣Aкке╬жa,10402,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1470000,15108,,0.0,0,,RPXOMLRKLHKFFAH88CA
оч╢щ░╧,дgжa,░ъ╗┌мq181~210жa╕╣,409.94,╣A,,,10401,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,17236000,42045,,0.0,0,,RPTPMLRKLHKFFAH58CA
└tдs░╧,й╨жa(дgжa+л╪кл),оч╢щел└tдs░╧п∙▒M╕Ї202л╤1~30╕╣,45.67,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,10403,дgжa1л╪кл1иожь0,д@╝h,5,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0821020,97.66,3,2,2,ж│,╡L,2200000,22527,,0.0,0,,RPVPMLRKLHKFFAH78CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╕g░ъ╕Ї421~450╕╣,13.58,жэ,,,10401,дgжa1л╪кл1иожь1,дQдC╝h,22,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880111,164.32,3,2,2,ж│,ж│,11600000,70598,йY╣Dенн▒,0.0,0,,RPRNMLSKLHKFFAH28CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧е├╢╢╡є99л╤1~30╕╣,22.37,жэ,,,10312,дgжa1л╪кл1иожь1,дн╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030915,163.01,3,2,2,ж│,ж│,13680000,93542,йY╣Dенн▒,33.87,1600000,,RPXNMLTKLHKFFAH98CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧ддоHд╗╡є91~120╕╣,15.12,жэ,,,10402,дgжa1л╪кл1иожь1,дQдT╝h,13,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0880721,161.66,4,2,2,ж│,ж│,10000000,61858,йY╣Dенн▒,0.0,0,,RPVOMLSKLHKFFAH78CA
└tдs░╧,дgжa,о№╡╙мq1141~1170жa╕╣,304.41,,дsйYжaлOи|░╧,╝╚е╝╜sйw,10402,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5847336,19209,,0.0,0,,RPWOMLSKLHKFFAH88CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧└sмuд╗╡є151~180╕╣,16.52,жэ,,,10403,дgжa1л╪кл1иожь1,дн╝h,13,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020607,138.13,2,2,1,ж│,ж│,6760000,48939,йY╣Dенн▒,42.0,0,,RPXQMLKLLHKFFAH48CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧└sл░дG╡є43л╤1~30╕╣,15.33,жэ,,,10312,дgжa1л╪кл1иожь1,е|╝h,9,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0870921,121.53999999999999,3,2,2,ж│,ж│,6500000,53480,йY╣Dенн▒,0.0,0,,RPQPMLNLLHKFFAH97CA
└tдs░╧,дgжa,┐│╡╪мq781~810жa╕╣,179.0,ифеL,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,19351869,108111,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPUQMLNLLHKFFAH48CA
└tдs░╧,дgжa,┐│╡╪мq781~810жa╕╣,179.0,ифеL,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,19351869,108111,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC,RPVQMLNLLHKFFAH58CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧дjж│╕Ї511~540╕╣,10.21,жэ,,,10402,дgжa1л╪кл1иожь0,дQдн╝h,19,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840419,97.93,3,2,2,ж│,ж│,5170000,52793,,0.0,0,,RPPOMLOLLHKFFAH87CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧й°й·╕Ї1~30╕╣,12.82,жэ,,,10402,дgжa1л╪кл1иожь0,дQд@╝h,12,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0841106,80.09,2,2,2,ж│,╡L,3750000,46822,,0.0,0,е╗еєм░┐╦д═╢б╢R╜ц,RPPRMLOLLHKFFAH18CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧е┴ж│дQдG╡є1~30╕╣,37.44,жэ,,,10401,дgжa1л╪кл1иожь1,дG╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1030520,216.51,4,2,2,ж│,ж│,15600000,72052,йY╣Dенн▒,29.82,0,,RPXPMLPLLHKFFAH88CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧░ъ┬╫дT╡є1~30╕╣,18.33,жэ,,,10402,дgжa1л╪кл1иожь1,д╗╝h,7,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0820730,113.73,3,2,2,ж│,╡L,4700000,41326,д╔н░енн▒,0.0,0,,RPUNMLLMLHKFFAH08CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дддs╕Ї788л╤1~30╕╣,8.32,жэ,,,10402,дgжa1л╪кл1иожь1,дQдT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0941227,108.82,2,2,1,ж│,ж│,7380000,67818,йY╣D╛ў▒ё,0.0,0,,RPORMLLJMHKFFAH67CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧╢hкL╡є121~150╕╣,22.59,жэ,,,10401,дgжa1л╪кл1иожь1,д╗╝h,13,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0950826,145.94,3,2,2,ж│,ж│,9300000,63725,йY╣Dенн▒,0.0,0,,RPQNMLQJMHKFFAH97CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧░ъ▒jд@╡є181~210╕╣,14.56,жэ,,,10402,дgжa1л╪кл1иожь1,дE╝h,14,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980815,127.31,2,2,1,ж│,ж│,6800000,53413,йY╣Dенн▒,0.0,0,,RPQNMLOKMHKFFAH87CA
оч╢щ░╧,й╨жa(дgжa+л╪кл),оч╢щелоч╢щ░╧дj╖~╕Їд@мq91~120╕╣,30.27,жэ,,,10403,дgжa1л╪кл1иожь0,дQдT╝h,15,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1001107,202.44,3,2,2,ж│,ж│,13800000,68168,,0.0,0,,RPPRMLOKMHKFFAH18CA
оч╢щ░╧,дgжa,оHдlмqоHдlдpмq1951~1980жa╕╣,14.99,жэ,,,10312,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2179611,145404,,0.0,0,,RPORMLQKMHKFFAH28CA
оч╢щ░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелоч╢щ░╧дj┐│жш╕ЇдGмq139л╤91~120╕╣,10.05,жэ,,,10402,дgжa1л╪кл1иожь1,дC╝h,12,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0970424,86.25,1,1,1,ж│,ж│,6000000,69565,йY╣Dенн▒,0.0,0,,RPOPMLNLMHKFFAH87CA
дд├c░╧,й╨жa(дgжa+л╪кл)+иожь,оч╢щелдд├c░╧└Їе_╕Ї331~360╕╣,11.27,░╙,,,10312,дgжa1л╪кл1иожь1,дQдE╝h,22,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980629,154.95,3,2,2,ж│,ж│,16000000,103259,йY╣Dенн▒,0.0,0,,RPTOMLQKLHKFFBH48CA
дд├c░╧,дgжa,║aлnмq721~750жa╕╣,720.71,жэ,,,10402,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,76303500,105873,,0.0,0,,RPXOMLQKLHKFFBH88CA
