編號,車位類別,車位價格,車位面積平方公尺
RPSNMLRKLHKFFAH28CA,坡道平面,0,
RPRNMLSKLHKFFAH28CA,坡道平面,0,
RPXNMLTKLHKFFAH98CA,坡道平面,1600000,33.87
RPVOMLSKLHKFFAH78CA,坡道平面,0,
RPXQMLKLLHKFFAH48CA,坡道平面,0,42.00
RPQPMLNLLHKFFAH97CA,坡道平面,0,
RPXPMLPLLHKFFAH88CA,坡道平面,0,29.82
RPUNMLLMLHKFFAH08CA,升降平面,0,
RPORMLLJMHKFFAH67CA,坡道機械,0,
RPQNMLQJMHKFFAH97CA,坡道平面,0,
RPQNMLOKMHKFFAH87CA,坡道平面,0,
RPOPMLNLMHKFFAH87CA,坡道平面,0,
RPTOMLQKLHKFFBH48CA,坡道平面,0,
RPQNMLKLLHKFFBH57CA,坡道平面,0,
RPRNMLKMLHKFFBH77CA,坡道平面,0,28.23
RPSNMLKMLHKFFBH87CA,坡道平面,0,28.23
RPTNMLKMLHKFFBH97CA,坡道平面,0,28.23
RPUNMLKMLHKFFBH08CA,坡道平面,0,25.36
RPVNMLKMLHKFFBH18CA,坡道平面,0,28.23
RPUOMLKMLHKFFBH18CA,坡道平面,0,28.23
RPVOMLKMLHKFFBH28CA,坡道平面,0,28.23
RPWOMLKMLHKFFBH38CA,坡道平面,0,28.23
RPXOMLKMLHKFFBH48CA,坡道平面,0,28.23
RPPPMLKMLHKFFBH77CA,坡道平面,0,28.23
RPQPMLKMLHKFFBH87CA,坡道平面,0,25.36
RPVPMLKMLHKFFBH38CA,坡道平面,0,25.36
RPXNMLKMLHKFFBH38CA,坡道平面,0,28.23
RPQOMLKMLHKFFBH77CA,坡道平面,0,25.36
RPROMLKMLHKFFBH87CA,坡道平面,0,28.23
RPVQMLKMLHKFFBH48CA,坡道平面,0,28.23
RPWQMLKMLHKFFBH58CA,坡道平面,0,28.23
RPXQMLKMLHKFFBH68CA,坡道平面,0,28.23
RPXQMLKMLHKFFBH68CA,坡道平面,0,25.36
RPPRMLKMLHKFFBH97CA,坡道平面,0,28.23
RPSRMLKMLHKFFBH28CA,坡道平面,0,28.23
RPWRMLKMLHKFFBH68CA,坡道平面,0,28.23
RPXRMLKMLHKFFBH78CA,坡道平面,0,25.36
RPOSMLKMLHKFFBH97CA,坡道平面,0,25.36
RPPSMLKMLHKFFBH08CA,坡道平面,0,28.23
RPRSMLKMLHKFFBH28CA,坡道平面,0,28.23
RPVSMLKMLHKFFBH68CA,坡道平面,0,28.23
RPOTMLKMLHKFFBH08CA,坡道平面,0,28.23
RPOQMLLMLHKFFBH87CA,坡道平面,0,28.23
RPWPMLLMLHKFFBH58CA,坡道平面,0,28.23
RPTQMLMJMHKFFBH28CA,坡道平面,0,25.36
RPUQMLMJMHKFFBH38CA,坡道平面,0,28.23
RPORMLMJMHKFFBH87CA,坡道平面,0,28.23
RPPRMLMJMHKFFBH97CA,坡道平面,0,28.23
RPQRMLMJMHKFFBH08CA,坡道平面,0,28.23
RPSNMLNJMHKFFBH97CA,坡道平面,0,
RPVOMLTJMHKFFBH98CA,坡道平面,1300000,33.32
RPVOMLTJMHKFFBH98CA,坡道平面,1300000,33.32
RPVNMLLMLHKFFCH38CA,坡道平面,0,
RPQNMLRKLHKFFDH38CA,坡道平面,0,
RPWOMLSKLHKFFDH56CA,一樓平面,0,
RPROMLTKLHKFFDH78CA,一樓平面,0,
RPVOMLTKLHKFFDH56CA,一樓平面,0,
RPTNMLPLLHKFFDH58CA,坡道平面,0,23.21
RPPPMLLMLHKFFDH08CA,一樓平面,0,
RPPOMLTKLHKFFEH68CA,坡道平面,380000,28.00
RPRVMLTKLHKFFFH07CA,坡道平面,900000,29.37
RPRVMLTKLHKFFFH07CA,坡道平面,900000,29.37
RPOWMLTKLHKFFFH86CA,坡道平面,1000000,29.37
RPOWMLTKLHKFFFH86CA,坡道平面,1000000,29.37
RPQWMLTKLHKFFFH07CA,坡道平面,1000000,29.37
RPQWMLTKLHKFFFH07CA,坡道平面,1000000,29.37
RPXWMLTKLHKFFFH77CA,坡道平面,1000000,29.37
RPQNNLTKLHKFFFH88CA,坡道平面,1000000,29.37
RPUNNLTKLHKFFFH66CA,坡道平面,1000000,29.37
RPUONLTKLHKFFFH76CA,坡道平面,1100000,29.37
RPWONLTKLHKFFFH96CA,坡道平面,1000000,29.37
RPPPNLTKLHKFFFH98CA,坡道平面,1000000,29.37
RPRPNLTKLHKFFFH56CA,坡道平面,1000000,29.37
RPVPNLTKLHKFFFH96CA,坡道平面,900000,29.37
RPVPNLTKLHKFFFH96CA,坡道平面,900000,29.37
RPPQNLTKLHKFFFH09CA,坡道平面,1000000,29.37
RPVOMLNLLHKFFFH88CA,坡道平面,0,26.66
RPSNMLTJMHKFFFH98CA,升降機械,0,
RPPNMLRJMHKFFFH48CA,坡道平面,590000,29.69
RPRNMLKKMHKFFFH08CA,一樓平面,0,
RPRNMLKKMHKFFFH08CA,一樓平面,0,
RPVPMLRKLHKFFGH76CA,坡道平面,0,36.87
RPUNMLTKLHKFFGH66CA,坡道平面,0,
RPVNMLRLLHKFFGH66CA,一樓平面,0,
RPRNMLOJMHKFFGH48CA,坡道平面,0,
RPQQMLPLLHKFFAH38DA,坡道平面,0,
RPQNMLTKLHKFFDH78EA,坡道平面,0,
RPQNMLTKLHKFFDH78EA,坡道平面,0,
RPRNMLTKLHKFFDH88EA,坡道平面,0,
RPSOMLRKMHKFFFH56EA,坡道平面,1100000,29.37
RPSQMLLLMHKFFAH38EA,坡道平面,0,34.37
RPUOMLOKMHKFFAH48DA,坡道平面,1225000,29.99
RPUOMLOKMHKFFAH48DA,坡道平面,1225000,29.99
RPXNMLKLLHKFFAH28DA,坡道平面,0,
RPXNMLKLLHKFFAH28DA,坡道平面,0,
RPQNMLNJMHKFFGH28CA,坡道平面,0,
RPUNMLQLLHKFFFH98CA,坡道平面,0,
RPTPMLMJMHKFFEH48CA,坡道平面,1400000,45.59
RPOOMLTKLHKFFEH58CA,坡道平面,0,
RPOOMLTKLHKFFEH58CA,坡道平面,0,
RPSOMLSKLHKFFEH88CA,坡道平面,0,
RPSOMLSKLHKFFEH88CA,坡道平面,0,
RPTNMLQKMHKFFDH68CA,坡道平面,0,
RPRNMLNLLHKFFDH18CA,坡道平面,0,26.97
RPPNMLKLLHKFFDH67CA,坡道平面,0,
RPPNMLMLLHKFFCH77CA,坡道平面,0,
RPQNMLQLLHKFFCH28CA,坡道平面,0,35.93
RPRNMLQLLHKFFCH38CA,坡道平面,0,35.93
RPSNMLQLLHKFFCH48CA,坡道平面,0,35.93
RPTNMLQLLHKFFCH58CA,坡道平面,0,35.93
RPTNMLQLLHKFFCH58CA,坡道平面,0,35.93
RPPPMLSKLHKFFCH48CA,坡道平面,1200000,24.80
RPPPMLSKLHKFFCH48CA,坡道平面,1200000,24.80
RPRPMLSKLHKFFCH68CA,坡道平面,1100000,24.80
RPRPMLSKLHKFFCH68CA,坡道平面,1000000,23.23
RPSPMLSKLHKFFCH78CA,坡道平面,1100000,24.80
RPTPMLSKLHKFFCH88CA,坡道平面,1200000,24.80
RPVPMLSKLHKFFCH09CA,坡道平面,1100000,24.80
