編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSNMLTKLHKFFAI58CA,遠東段,16.80,都市：住
RPXNMLTKLHKFFAI09CA,竹圍子段,15.18,都市：住
RPRNMLNLLHKFFAI97CA,下路頭段,28.96,都市：住
RPRNMLQJMHKFFAI18CA,盧厝段,21.18,都市：住
RPQNMLOKMHKFFAI97CA,堀川段,57.00,都市：住
RPPNMLTKLHKFFAI48EA,埤子頭段,48.00,都市：住
RPRNMLTKLHKFFAI68EA,盧厝段,14.00,都市：其他
RPRNMLTKLHKFFAI68EA,盧厝段,15.19,都市：其他
RPROMLOKMHKFFAI18CA,盧厝段,93.00,都市：住
RPUOMLPKMHKFFAI58CA,埤子頭段,1098.00,都市：住
RPUOMLPKMHKFFAI58CA,埤子頭段,80.00,都市：住
RPVNMLRKLHKFFAI88EA,湖子內段湖內小段,92.00,都市：住
RPSNMLQJMHKFFAI28CA,下路頭段,50.00,都市：住
RPVNMLLMLHKFFAI28CA,太平段,18.50,都市：住
RPXNMLPLLHKFFAI78CA,埤子頭段,99.00,都市：住
RPOOMLRKLHKFFAI08CA,興村段,32.90,都市：住
RPRNMLSKLHKFFAI38CA,竹圍子段,34.88,都市：商
RPSNMLSKLHKFFAI48CA,下路頭段,7.07,都市：住
RPTNMLSKLHKFFAI58CA,北社尾段,13.98,都市：住
RPQNMLLLLHKFFAI67CA,車店段車店小段,130.00,都市：住
RPXNMLOLLHKFFAI68CA,西門段七小段,115.00,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,84.00,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,1.20,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,1.20,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,1.20,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,1.20,都市：商
RPOOMLOLLHKFFAI87CA,西門段七小段,3.00,都市：商
RPPOMLOLLHKFFAI97CA,西門段七小段,84.00,都市：商
RPPOMLOLLHKFFAI97CA,西門段七小段,1.20,都市：商
RPPOMLOLLHKFFAI97CA,西門段七小段,1.20,都市：商
