編號,車位類別,車位價格,車位面積平方公尺
RPSNMLTKLHKFFAI58CA,坡道機械,0,
RPRNMLQJMHKFFAI18CA,坡道平面,0,
RPVNMLLMLHKFFAI28CA,坡道平面,0,
RPQNMLNLLHKFFAI08EA,坡道機械,0,
RPVNMLNLLHKFFAI38CA,坡道平面,0,
RPUNMLQJMHKFFAI48CA,坡道平面,0,
RPVNMLQJMHKFFAI58CA,坡道平面,0,
RPSOMLLMLHKFFAI08CA,一樓平面,0,12.50
RPSOMLLMLHKFFAI08CA,一樓平面,0,12.50
RPVNMLRLLHKFFAI78CA,升降機械,0,
RPWNMLRLLHKFFAI88CA,坡道機械,0,
RPPNMLOKMHKFFAI87CA,坡道機械,0,
RPTNMLKMLHKFFAI97CA,坡道平面,0,
RPVNMLLMLHKFFAI48EA,坡道平面,0,
RPTOMLLMLHKFFAI18CA,一樓平面,0,12.50
RPSOMLLJMHKFFAI87CA,坡道平面,0,
