鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新埔鎮,土地,福田段301~330地號,183.48,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,39241,,0.0,0,,RPSNMLRKLHKFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段211~240號,28.39,住,,,10402,土地1建物1車位2,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,203.95,3,2,2,有,有,12200000,59816,坡道平面,0.0,0,,RPXNMLRKLHKFFBJ09CA
新埔鎮,土地,福田段301~330地號,214.57,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11030000,51405,,0.0,0,區段徵收期間以權利價值購買,RPPOMLRKLHKFFBJ38CA
新埔鎮,土地,福田段301~330地號,774.69,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34270000,44237,,0.0,0,區段徵收期間以權利價值購買,RPQOMLRKLHKFFBJ48CA
新埔鎮,土地,福田段301~330地號,22.15,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1139620,51450,,0.0,0,區段徵收期間以權利價值購買,RPSOMLRKLHKFFBJ68CA
新埔鎮,土地,福田段301~330地號,159.02,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7850000,49365,,0.0,0,區段徵收期間以權利價值購買,RPTOMLRKLHKFFBJ78CA
新埔鎮,土地,福田段301~330地號,110.57,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5340000,48295,,0.0,0,區段徵收期間以權利價值購買,RPUOMLRKLHKFFBJ88CA
新埔鎮,土地,福田段121~150地號,264.37,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11450000,43311,,0.0,0,,RPXNMLSKLHKFFBJ56CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市臺元一街1~30號,99.92,其他,,,10402,土地1建物1車位5,二層,13,廠辦,工業用,鋼筋混凝土造,0990305,457.58000000000004,0,0,0,無,有,24200000,52887,其他,0.0,5000000,,RPPNMLKLLHKFFBJ67CA
新埔鎮,土地,寶鎮段751~780地號,2564.54,,山坡地保育區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,4289,,0.0,0,,RPWNMLKLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位2,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,198.27,3,2,2,有,有,10380000,52353,坡道平面,0.0,0,,RPQOMLOLLHKFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.37,住,,,10402,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,168.29000000000002,3,2,2,有,有,8950000,53182,坡道平面,0.0,0,,RPSOMLOLLHKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,193.27,3,2,2,有,有,10200000,52776,坡道平面,0.0,0,,RPTOMLOLLHKFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,36.38,住,,,10402,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,211.99,4,2,2,有,有,12330000,58163,坡道平面,0.0,0,,RPWPMLOLLHKFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興里復興三路二段91~120號,18.88,商,,,10402,土地1建物1車位1,二十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030924,246.10000000000002,4,2,2,有,有,24150000,109090,坡道平面,33.89,1000000,,RPXPMLOLLHKFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.01,2,2,1,有,有,7850000,55278,坡道平面,0.0,0,,RPOQMLOLLHKFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.01,2,2,1,有,有,7860000,55348,坡道平面,0.0,0,,RPPQMLOLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市中興里文興路二段91~120號,27.48,商,,,10403,土地1建物1車位2,二十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030924,315.46000000000004,4,2,3,有,有,20280000,76227,坡道平面,67.78,1400000,,RPQQMLOLLHKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,137.01,2,2,1,有,有,8110000,59193,坡道平面,0.0,0,,RPRQMLOLLHKFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,30.27,住,,,10402,土地1建物1車位2,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,205.04,3,2,2,有,有,11480000,55989,坡道平面,0.0,0,,RPQPMLOLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,37.03,住,,,10402,土地1建物1車位3,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,281.94,4,2,2,有,有,14000000,49656,坡道平面,0.0,0,,RPRPMLOLLHKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.01,2,2,1,有,有,8150000,57390,坡道平面,0.0,0,,RPQNMLPLLHKFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.01,2,2,1,有,有,8190000,57672,坡道平面,0.0,0,,RPRNMLPLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,22.22,住,,,10402,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,176.98,2,2,1,有,有,8910000,50345,坡道平面,0.0,0,,RPSNMLPLLHKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,137.01,2,2,1,有,有,7760000,56638,坡道平面,0.0,0,,RPUNMLPLLHKFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,137.01,2,2,1,有,有,7760000,56638,坡道平面,0.0,0,,RPWNMLPLLHKFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.01,2,2,1,有,有,8100000,57038,坡道平面,0.0,0,,RPXNMLPLLHKFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,202.74,3,2,2,有,有,10380000,51199,坡道平面,0.0,0,,RPOOMLPLLHKFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.37,住,,,10402,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,167.77,3,2,2,有,有,9140000,54479,坡道平面,0.0,0,,RPPOMLPLLHKFFBJ28CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,168.61,3,2,2,有,有,10000000,59308,坡道平面,0.0,0,,RPQOMLPLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街181~210號,36.38,住,,,10402,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,212.66,4,2,2,有,有,12280000,57745,坡道平面,0.0,0,,RPSOMLPLLHKFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,199.4,3,2,2,有,有,10000000,50150,坡道平面,0.0,0,,RPVOMLOLLHKFFBJ78CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街181~210號,22.22,住,,,10402,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,142.38,2,2,1,有,有,8090000,56820,坡道平面,0.0,0,,RPWOMLPLLHKFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,21.9,住,,,10402,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,137.01,2,2,1,有,有,8300000,60580,坡道平面,0.0,0,,RPXOMLPLLHKFFBJ09CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街181~210號,22.22,住,,,10402,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,137.38,2,2,1,有,有,8850000,64420,坡道平面,0.0,0,,RPPPMLPLLHKFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,27.69,住,,,10402,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,198.27,3,2,2,有,有,10130000,51092,坡道平面,0.0,0,,RPQPMLPLLHKFFBJ48CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街211~240號,30.27,住,,,10402,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040119,215.03,3,2,2,有,有,11430000,53155,坡道平面,0.0,0,,RPRPMLPLLHKFFBJ58CA
關西鎮,土地,關農段751~780地號,44.17,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,681432,15427,,0.0,0,,RPPUMLPLLHKFFBJ88CA
