鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
獅潭鄉,土地,桂竹林段91~120地號,6652.0,,山坡地保育區,林業用地,10402,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3650000,549,,0.0,0,,RPTNMLTKLHKFFAK88CA
卓蘭鎮,土地,食水坑段241~270地號,135.55,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,3689,,0.0,0,,RPQNMLMJMHKFFAK87CA
卓蘭鎮,土地,食水坑段241~270地號,562.11,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1779,,0.0,0,,RPRNMLMJMHKFFAK97CA
公館鄉,房地(土地+建物),苗31~60號,125.6,其他,,,10402,土地1建物1車位0,全,,透天厝,住商用,鋼筋混凝土造,0770115,222.3,4,2,3,有,無,7750000,34863,,0.0,0,,RPQNMLRKLHKFFBK48CA
公館鄉,房地(土地+建物),苗栗縣公館鄉玉泉村4鄰玉泉91~120號,555.14,農,,,10403,土地1建物1車位0,一層，二層，三層,3,農舍,農舍,鋼筋混凝土造,1011112,198.51,5,2,3,有,無,12600000,,,0.0,0,,RPQNMLSKLHKFFBK58CA
苗栗市,房地(土地+建物),苗栗縣苗栗巿維新里7鄰新庄街332巷1~30號,101.0,,特定農業區,甲種建築用地,10401,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0920925,184.31,4,2,2,有,無,6200000,33639,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLSKLHKFFBK78CA
苗栗市,土地,南勢坑段下南勢坑小段421~450地號,2542.0,,山坡地保育區,農牧用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1967,,0.0,0,,RPQPMLRJMHKFFBK68CA
頭屋鄉,土地,明德段961~990地號,378.86,其他,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,435500,1150,,0.0,0,1.畸零地或有合併使用之交易。,RPUNMLOKMHKFFBK68CA
造橋鄉,房地(土地+建物),苗栗縣造橋鄉苗栗縣造橋鄉大龍村3鄰石椿臼1~30號,5126.0,,山坡地保育區,農牧用地,10311,土地1建物1車位0,全,2,透天厝,農舍,見其他登記事項,0860613,290.2,5,2,3,有,無,5500000,18952,,0.0,0,,RPUOMLLMLHKFFDK78CA
銅鑼鄉,土地,九湖南段1~30地號,112.83,,一般農業區,丙種建築用地,10310,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,546097,4840,,0.0,0,,RPQNMLTKLHKFFEK98CA
