編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLRKLHKFFBK48CA,27,222.30,住商用,鋼筋混凝土造,77年1月15日,,一層 二層 三層 屋頂突出物
RPQNMLSKLHKFFBK58CA,2,198.51,農舍,鋼筋混凝土造,101年11月12日,003,一層 二層 三層
RPSNMLSKLHKFFBK78CA,11,184.31,住家用,鋼筋混凝土造,92年9月25日,003,一層 二層 三層
RPUOMLLMLHKFFDK78CA,17,290.20,農舍,見其他登記事項,86年6月13日,002,一層 二層
RPUNMLSKLHKFFFK76CA,62,47.48,住家用,見其他登記事項,42年1月15日,001,一層
RPSNMLKLLHKFFFK48CA,12,214.81,農舍,鋼筋混凝土造,92年1月13日,002,一層 二層
RPRNMLKMLHKFFFK48CA,17,21.84,住家用,鋼筋混凝土造,86年8月27日,007,三層
RPSNMLKMLHKFFFK58CA,17,65.54,住家用,鋼筋混凝土造,86年8月27日,007,三層
RPOOMLLJMHKFFFK28DA,,91.07,見其他登記事項,鋼筋混凝土造,103年12月22日,005,三層
RPOOMLLJMHKFFFK28DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPPOMLLJMHKFFFK38DA,,5.52,見其他登記事項,鋼筋混凝土造,103年12月22日,005,四層
RPPOMLLJMHKFFFK38DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPQOMLLJMHKFFFK48DA,,88.32,見其他登記事項,鋼筋混凝土造,103年12月22日,005,四層
RPQOMLLJMHKFFFK48DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPSOMLLJMHKFFFK68DA,,91.07,見其他登記事項,鋼筋混凝土造,103年12月22日,005,四層
RPSOMLLJMHKFFFK68DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPUOMLLJMHKFFFK88DA,,88.32,見其他登記事項,鋼筋混凝土造,103年12月22日,005,五層
RPUOMLLJMHKFFFK88DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPVOMLLJMHKFFFK98DA,,91.07,見其他登記事項,鋼筋混凝土造,103年12月22日,005,五層
RPVOMLLJMHKFFFK98DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPQNMLLJMHKFFFK38DA,,88.32,見其他登記事項,鋼筋混凝土造,103年12月22日,005,二層
RPQNMLLJMHKFFFK38DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPSNMLLJMHKFFFK58DA,,91.07,見其他登記事項,鋼筋混凝土造,103年12月22日,005,二層
RPSNMLLJMHKFFFK58DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPTNMLLJMHKFFFK68DA,,91.07,見其他登記事項,鋼筋混凝土造,103年12月22日,005,二層
RPTNMLLJMHKFFFK68DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPUNMLLJMHKFFFK78DA,,88.32,見其他登記事項,鋼筋混凝土造,103年12月22日,005,三層
RPUNMLLJMHKFFFK78DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPVNMLLJMHKFFFK88DA,,88.32,見其他登記事項,鋼筋混凝土造,103年12月22日,005,三層
RPVNMLLJMHKFFFK88DA,,41.55,見其他登記事項,鋼筋混凝土造,103年12月22日,005
RPRNMLRKLHKFFFK98CA,,80.14,見其他登記事項,鋼筋混凝土造,103年11月4日,009,四層
RPRNMLRKLHKFFFK98CA,,49.89,見其他登記事項,鋼筋混凝土造,103年11月4日,009
RPPNMLTKLHKFFFK98CA,18,82.94,住家用,鋼筋混凝土造,86年1月29日,009,二層
RPPNMLTKLHKFFFK98CA,18,16.90,見其他登記事項,鋼筋混凝土造,86年1月29日,
RPPNMLTKLHKFFFK98CA,18,2.82,見其他登記事項,鋼筋混凝土造,86年1月29日,009
RPQNMLSKLHKFFFK98CA,1,102.56,見其他登記事項,鋼筋混凝土造,103年7月4日,011,二層
RPQNMLSKLHKFFFK98CA,1,20.11,見其他登記事項,鋼筋混凝土造,103年7月4日,011
RPQNMLSKLHKFFFK98CA,1,17.84,見其他登記事項,鋼筋混凝土造,103年7月4日,011
RPQNMLSKLHKFFFK98CA,1,.30,見其他登記事項,鋼筋混凝土造,103年7月4日,011,一層
RPQNMLSKLHKFFFK98CA,1,30.87,見其他登記事項,鋼筋混凝土造,103年7月4日,011
RPRNMLSKLHKFFFK09CA,4,170.25,住家用,見其他登記事項,100年7月12日,004,一層 二層 三層 四層 騎樓
RPUNMLSKLHKFFCK09CA,1,216.35,見其他登記事項,鋼筋混凝土造,103年6月12日,003,一層 二層 三層 屋頂突出物
RPXNMLTKLHKFFBK76CA,20,96.37,住家用,鋼筋混凝土造,84年1月15日,012,十層
RPWNMLOLLHKFFBK88CA,,202.90,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPOOMLOLLHKFFBK18CA,,204.10,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPQNMLTKLHKFFAK58CA,26,119.12,住商用,鋼筋混凝土造,78年7月4日,002,一層 二層
RPTNMLPLLHKFFBK68CA,,198.27,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPUNMLPLLHKFFBK78CA,,197.12,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPWNMLPLLHKFFBK98CA,,218.92,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPOOMLPLLHKFFBK28CA,,199.04,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPQOMLPLLHKFFBK48CA,,199.60,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPSOMLPLLHKFFBK68CA,,219.01,住家用,鋼筋混凝土造,103年12月30日,003,一層 二層 三層 屋頂突出物
RPPNMLTKLHKFFCK68CA,,148.46,住家用,鋼筋混凝土造,,002,一層 二層 騎樓
RPRNMLSKLHKFFDK88CA,17,114.10,住家用,鋼筋混凝土造,87年1月23日,003,一層 二層 三層
RPWNMLKLLHKFFDK68CA,,98.58,住家用,鋼筋混凝土造,103年11月3日,003,一層 二層 三層 見其他登記事項
