鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
南投市,房地(土地+建物),南投縣南投巿三和二路82巷1~30號,137.0,住,,,10402,土地3建物1車位0,全,2,透天厝,住家用,見其他登記事項,0501018,109.43,3,2,2,有,無,4600000,42036,,0.0,0,,RPQNMLRKLHKFFAM58CA
南投市,土地,茄苳腳段751~780地號,1775.0,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3536800,1993,,0.0,0,,RPRNMLRKLHKFFAM68CA
南投市,土地,草尾嶺段31~60地號,638.11,,山坡地保育區,農牧用地,10403,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,784,,0.0,0,共有土地，持分買賣。,RPUNMLNLLHKFFAM68CA
名間鄉,房地(土地+建物),南投縣名間鄉名松路二段495巷1~30號,77.18,,一般農業區,丙種建築用地,10403,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0691210,113.41,0,0,1,無,無,1300000,11463,,0.0,0,,RPXNMLRLLHKFFAM76CA
南投市,房地(土地+建物),南投縣南投巿彰南路二段596巷56弄1~30號,87.0,住,,,10401,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1031218,189.68,5,2,3,有,無,8100000,42704,,0.0,0,,RPROMLMJMHKFFAM28CA
草屯鎮,土地,北投埔段1651~1680地號,2000.0,,特定農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14190000,7095,,0.0,0,,RPRNMLRKLHKFFBM78CA
草屯鎮,土地,北投埔段1651~1680地號,2026.0,,特定農業區,農牧用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13550000,6688,,0.0,0,,RPSNMLRKLHKFFBM88CA
草屯鎮,土地,復興段391~420地號,69.12,,鄉村區,乙種建築用地,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,21701,,0.0,0,,RPPNMLPLLHKFFBM48CA
埔里鎮,土地,桃米坑段391~420地號,17282.0,,山坡地保育區,林業用地,10312,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,1042,,0.0,0,含為保存建築物一戶,RPPNMLTKLHKFFCM88CA
埔里鎮,土地,麒麟段361~390地號,661.15,,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,4538,,0.0,0,權利人二名,RPVNMLKLLHKFFCM68CA
魚池鄉,土地,鹿篙段1~30地號,3167.0,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,855090,270,,0.0,0,,RPXNMLQLLHKFFCM86CA
鹿谷鄉,土地,初鄉段811~840地號,15469.0,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3189700,206,,0.0,0,,RPPOMLQKLHKFFDM78CA
鹿谷鄉,土地,初鄉段631~660地號,10108.0,,山坡地保育區,農牧用地,10402,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,940,,0.0,0,,RPPNMLRKLHKFFDM78CA
竹山鎮,土地,東鄉段211~240地號,1584.78,,一般農業區,農牧用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720000,454,,0.0,0,4個共有人,RPSNMLRKLHKFFDM09CA
竹山鎮,土地,嶺頂段421~450地號,1005.0,,森林區,林業用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,100,,0.0,0,,RPQNMLTKLHKFFDM09CA
竹山鎮,土地,嶺頂段421~450地號,1005.0,,森林區,林業用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,90,,0.0,0,,RPRNMLTKLHKFFDM56CA
中寮鄉,土地,先驅段481~510地號,7066.14,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,170,,0.0,0,,RPPNMLKLLHKFFAM97DA
埔里鎮,土地,忠義段961~990地號,1919.3,農,,,10401,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17460000,9097,,0.0,0,,RPXNMLTKLHKFFCM17DA
埔里鎮,土地,中峰段湳興小段31~60地號,294.61,,鄉村區,乙種建築用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8730000,29632,,0.0,0,,RPPNMLKLLHKFFCM18DA
竹山鎮,房地(土地+建物),南投縣竹山鎮建國二路61~90號,132.0,住,,,10403,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1031013,202.65,5,2,4,有,無,7500000,37010,,0.0,0,,RPQNMLSJMHKFFDM98CA
草屯鎮,土地,新豐段961~990地號,1074.01,,特定農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,3724,,0.0,0,,RPRNMLTKLHKFFBM09DA
名間鄉,土地,新�岸U段961~990地號,211.53,,鄉村區,乙種建築用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,465375,2200,,0.0,0,,RPPNMLSKLHKFFAM68DA
竹山鎮,土地,田子段151~180地號,1005.0,,山坡地保育區,林業用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,75000,75,,0.0,0,,RPSNMLTKLHKFFDM66CA
竹山鎮,土地,嶺頂段31~60地號,5251.07,,森林區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,381,,0.0,0,,RPTNMLTKLHKFFDM76CA
鹿谷鄉,土地,大丘園段91~120地號,2832.14,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3115200,1100,,0.0,0,,RPQOMLTKLHKFFDM56CA
竹山鎮,土地,桂北段361~390地號,212.69,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,15045,,0.0,0,,RPPNMLSKLHKFFDM88CA
竹山鎮,土地,安平段31~60地號,17.96,其他,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,8352,,0.0,0,公共設施道路用地,RPRNMLSKLHKFFDM09CA
竹山鎮,土地,圳頭段331~360地號,206.2,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2720000,13191,,0.0,0,,RPVNMLSKLHKFFDM86CA
埔里鎮,土地,南興段601~630地號,61.81,住,,,10401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,16179,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSOMLKKMHKFFCM48CA
竹山鎮,土地,大坑段大坑小段1~30地號,1311.17,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,76,,0.0,0,,RPQNMLOLLHKFFDM68CA
竹山鎮,房地(土地+建物),南投縣竹山鎮和育巷151~180號,84.66,住,,,10403,土地2建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0681219,108.36,3,2,2,有,無,1700000,15688,,0.0,0,,RPRNMLQLLHKFFDM98CA
竹山鎮,房地(土地+建物),南投縣竹山鎮集山路三段1350巷1~30號,118.13,,一般農業區,甲種建築用地,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0691231,117.0,3,1,2,有,無,1100000,9402,,0.0,0,,RPPNMLSLLHKFFDM98CA
埔里鎮,土地,牛眠段931~960地號,378.98,,鄉村區,乙種建築用地,10402,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,15832,,0.0,0,,RPUNMLQLLHKFFCM56CA
國姓鄉,土地,北山坑段211~240地號,4197.0,,山坡地保育區,農牧用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7700000,1835,,0.0,0,含鹿舍及鹿17頭,RPSNMLRJMHKFFCM98CA
埔里鎮,土地,愛蘭段991~1020地號,340.17,,鄉村區,乙種建築用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,17638,,0.0,0,,RPPNMLSKLHKFFCM78CA
埔里鎮,土地,水尾段241~270地號,2550.0,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3840000,1506,,0.0,0,,RPSNMLSKLHKFFCM09CA
埔里鎮,土地,麒麟段601~630地號,1089.02,,特定農業區,甲種建築用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6250000,5739,,0.0,0,,RPUNMLSKLHKFFCM66CA
草屯鎮,房地(土地+建物),南投縣草屯鎮玉屏路北新巷10弄1~30號,84.0,,特定農業區,甲種建築用地,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0691231,120.29,2,1,2,有,無,2330000,19370,,0.0,0,,RPRNMLKMLHKFFBM28CA
草屯鎮,土地,坪頂段1111~1140地號,3396.0,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6790000,1999,,0.0,0,1.共有人共3人,RPUNMLSJMHKFFBM56CA
草屯鎮,土地,坪頂段1111~1140地號,2936.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4405000,1500,,0.0,0,1.共有人共2人,RPWNMLSJMHKFFBM76CA
草屯鎮,土地,坪頂段1111~1140地號,2936.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4405000,1500,,0.0,0,,RPXNMLSJMHKFFBM86CA
草屯鎮,土地,坪頂段1111~1140地號,2936.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4405000,1500,,0.0,0,,RPOOMLSJMHKFFBM68CA
草屯鎮,土地,坪頂段1111~1140地號,2937.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4406000,1500,,0.0,0,,RPPOMLSJMHKFFBM78CA
草屯鎮,土地,坪頂段1111~1140地號,2936.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5873000,2000,,0.0,0,,RPQOMLSJMHKFFBM88CA
草屯鎮,土地,坪頂段1111~1140地號,2936.71,,山坡地保育區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5873000,2000,,0.0,0,,RPROMLSJMHKFFBM98CA
草屯鎮,房地(土地+建物),南投縣草屯鎮御史里玉屏路長壽巷1~30號,206.23,,鄉村區,乙種建築用地,10402,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0680626,84.94,3,2,1,有,無,2600000,30610,,0.0,0,,RPPNMLSKLHKFFBM68CA
草屯鎮,土地,日新段1261~1290地號,1698.0,農,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13200000,7774,,0.0,0,,RPQNMLSKLHKFFBM78CA
草屯鎮,土地,新南坪段181~210地號,662.0,,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,3927,,0.0,0,,RPSNMLTKLHKFFBM09CA
中寮鄉,土地,龍眼林段421~450地號,212.0,,山坡地保育區,丙種建築用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1246542,5880,,0.0,0,權利人共二人,RPPNMLSJMHKFFAM58CA
中寮鄉,土地,龍眼林段421~450地號,73.0,,山坡地保育區,丙種建築用地,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,441650,6050,,0.0,0,,RPRNMLSJMHKFFAM78CA
南投市,土地,福德段181~210地號,1676.12,,山坡地保育區,農牧用地,10310,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1900000,1134,,0.0,0,,RPTNMLOKMHKFFAM68CA
南投市,房地(土地+建物),南投縣南投巿仁政街1~30號,105.64,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0790608,166.59,3,3,3,有,無,11400000,68431,,0.0,0,,RPSNMLPLLHKFFAM68CA
名間鄉,土地,新大庄段421~450地號,3577.78,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8660000,2420,,0.0,0,,RPSNMLQLLHKFFAM78CA
名間鄉,房地(土地+建物),南投縣名間鄉名山路一段137巷1~30號,2017.76,農,,,10402,土地6建物1車位0,一層，二層，三層,3,農舍,農舍,鋼筋混凝土造,0791024,383.25,6,2,4,有,無,13800000,,,0.0,0,,RPOOMLKLLHKFFAM87CA
名間鄉,土地,名山段361~390地號,3231.64,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,3249,,0.0,0,,RPXNMLNLLHKFFAM98CA
名間鄉,土地,新民段931~960地號,3133.46,,特定農業區,農牧用地,10401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11200000,3574,,0.0,0,不動產之共有人數為３人,RPQNMLSKLHKFFAM68CA
南投市,土地,三塊厝段1~30地號,99.0,商,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8535037,86212,,0.0,0,,RPTNMLSKLHKFFAM98CA
南投市,房地(土地+建物),南投縣南投巿千秋路303巷31~60號,80.56,,鄉村區,乙種建築用地,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0691225,99.12,4,2,2,有,無,4000000,40355,,0.0,0,,RPUNMLSKLHKFFAM09CA
中寮鄉,土地,先驅段1591~1620地號,4916.83,,山坡地保育區,農牧用地,10402,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,814,,0.0,0,,RPWNMLSKLHKFFAM66CA
南投市,房地(土地+建物),南投縣南投巿營北路166巷1~30號,106.23,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0680531,107.68,3,2,2,有,無,6400000,59435,,0.0,0,,RPSOMLTKLHKFFAM09CA
南投市,房地(土地+建物),南投縣南投巿中興路629巷1~30號,76.0,住,,,10403,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0950118,165.9,4,2,3,有,無,4680000,28210,,0.0,0,,RPOOMLNLLHKFFAM18CA
南投市,車位,南投縣南投巿彰南路三段61~90號,0.0,,,,10403,土地0建物0車位1,地下一層,9,其他,見其他登記事項,鋼筋混凝土造,,7.33,0,0,0,有,無,190000,,坡道機械,0.0,190000,,RPVNMLQLLHKFFAM09CA
南投市,土地,嘉和段91~120地號,137.5,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6320000,45964,,0.0,0,,RPWNMLRJMHKFFAM56CA
南投市,土地,牛運堀段91~120地號,38.0,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,370000,9737,,0.0,0,畸零地或有合併使用之交易。(賣清),RPUNMLOKMHKFFAM78CA
南投市,土地,三塊厝段181~210地號,2291.0,住,,,10312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50400000,21999,,0.0,0,,RPPNMLNKMHKFFAM18CA
草屯鎮,房地(土地+建物),南投縣草屯鎮儒林街91~120號,17.68,住,,,10402,土地1建物2車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820527,93.59,3,2,2,有,有,2600000,27781,,0.0,0,,RPUNMLTKLHKFFBM66CA
