編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLRKLHKFFAM58CA,53,109.43,住家用,見其他登記事項,50年10月18日,002,一層 二層
RPXNMLRLLHKFFAM76CA,34,113.41,住商用,鋼筋混凝土加強磚造,69年12月10日,002,一層 二層 騎樓
RPROMLMJMHKFFAM28CA,,189.68,見其他登記事項,鋼筋混凝土造,103年12月18日,003,一層 二層 三層 屋頂突出物
RPQNMLSJMHKFFDM98CA,,202.65,見其他登記事項,鋼筋混凝土造,103年10月13日,003,一層 二層 三層 屋頂突出物
RPRNMLQLLHKFFDM98CA,35,108.36,住商用,鋼筋混凝土加強磚造,68年12月19日,002,一層 二層 騎樓
RPPNMLSLLHKFFDM98CA,34,117.00,住家用,鋼筋混凝土加強磚造,69年12月31日,002,一層 二層
RPRNMLKMLHKFFBM28CA,34,120.29,住家用,鋼筋混凝土加強磚造,69年12月31日,002,二層 騎樓 一層
RPPNMLSKLHKFFBM68CA,36,84.94,住家用,鋼筋混凝土加強磚造,68年6月26日,001,一層
RPSNMLPLLHKFFAM68CA,25,166.59,住家用,鋼筋混凝土造,79年6月8日,003,三層 屋頂突出物 騎樓 一層 二層
RPOOMLKLLHKFFAM87CA,24,383.25,農舍,鋼筋混凝土造,79年10月24日,003,一層 二層 三層
RPUNMLSKLHKFFAM09CA,34,99.12,住家用,鋼筋混凝土加強磚造,69年12月25日,002,一層 二層
RPSOMLTKLHKFFAM09CA,36,107.68,住家用,鋼筋混凝土加強磚造,68年5月31日,002,一層 二層
RPOOMLNLLHKFFAM18CA,9,165.90,住家用,鋼筋混凝土造,95年1月18日,003,一層 二層 三層 屋頂突出物
RPVNMLQLLHKFFAM09CA,,.21,見其他登記事項,鋼筋混凝土造,,009,地下一層
RPVNMLQLLHKFFAM09CA,17,7.09,見其他登記事項,鋼筋混凝土造,87年3月6日,009
RPVNMLQLLHKFFAM09CA,17,.03,見其他登記事項,鋼筋混凝土造,87年3月6日,009
RPUNMLTKLHKFFBM66CA,22,70.79,住家用,鋼筋混凝土造,82年5月27日,007,六層
RPUNMLTKLHKFFBM66CA,22,14.92,見其他登記事項,鋼筋混凝土造,82年5月27日,007
