鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
彰化市,土地,茄苳段841~870地號,2799.03,,特定農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34004293,12149,,0.0,0,,RPQNMLSKLHKFFAN78CA
彰化市,土地,茄苳段841~870地號,4517.04,,特定農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54875707,12149,,0.0,0,,RPSNMLSKLHKFFAN98CA
花壇鄉,土地,福岩段151~180地號,781.0,,山坡地保育區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,2817,,0.0,0,,RPUNMLSKLHKFFAN56CA
彰化市,土地,香山段391~420地號,31.88,,特定農業區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,286000,8971,,0.0,0,,RPVNMLTKLHKFFAN76CA
彰化市,房地(土地+建物),彰化縣彰化巿永康街61巷1弄1~30號,139.0,住,,,10402,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030822,200.51,4,2,3,有,無,10500000,52366,,0.0,0,,RPXNMLRJMHKFFAN76CA
和美鎮,房地(土地+建物),彰化縣和美鎮和善路61~90號,392.0,住,,,10312,土地1建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,1030605,418.66,9,2,4,有,無,22000000,52549,,0.0,0,,RPQNMLTJMHKFFBN98CA
福興鄉,土地,秀安段1321~1350地號,3158.0,,特定農業區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6189680,1960,,0.0,0,,RPPNMLRKLHKFFCN78CA
鹿港鎮,房地(土地+建物),彰化縣鹿港鎮鹿東路64巷1~30號,64.91,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660611,74.44,3,2,2,有,無,3200000,42988,,0.0,0,,RPXNMLSKLHKFFCN07CA
員林鎮,土地,復興段1171~1200地號,178.3,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11326518,63525,,0.0,0,,RPPNMLRKLHKFFDN88CA
員林鎮,土地,復興段1171~1200地號,173.11,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10996818,63525,,0.0,0,,RPQNMLRKLHKFFDN98CA
