編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLRJMHKFFAN76CA,,200.51,住家用,鋼筋混凝土造,103年8月22日,004,一層 二層 三層 四層
RPQNMLTJMHKFFBN98CA,1,418.66,見其他登記事項,鋼筋混凝土造,103年6月5日,002,一層 二層 見其他登記事項
RPXNMLSKLHKFFCN07CA,38,74.44,住家用,鋼筋混凝土加強磚造,66年6月11日,002,一層 二層
RPRNMLRKLHKFFDN09CA,18,99.26,見其他登記事項,鋼筋混凝土造,86年4月11日,015,四層
RPRNMLRKLHKFFDN09CA,18,24.05,見其他登記事項,鋼筋混凝土造,86年4月11日,016
RPRNMLRKLHKFFDN09CA,18,18.88,見其他登記事項,鋼筋混凝土造,86年4月11日,015
RPUNMLRKLHKFFDN76CA,,150.32,見其他登記事項,鋼筋混凝土造,103年10月2日,003,一層 二層 三層 屋頂突出物
RPVNMLRKLHKFFDN86CA,,164.40,見其他登記事項,鋼筋混凝土造,103年10月2日,003,一層 二層 三層 屋頂突出物 騎樓
RPSNMLRLLHKFFDN66CA,9,150.60,見其他登記事項,鋼筋混凝土造,95年2月15日,003,一層 二層 三層 電梯樓梯間
RPTNMLRLLHKFFDN76CA,41,159.45,住家用,鋼筋混凝土加強磚造,63年5月28日,003,一層 二層 三層 騎樓
RPQNMLKMLHKFFDN48CA,20,143.08,工業用,鋼筋混凝土造,83年9月17日,011,四層
RPQNMLKMLHKFFDN48CA,20,19.49,共有部分,鋼筋混凝土造,83年9月17日,011
RPQNMLKMLHKFFDN48CA,20,22.36,見其他登記事項,鋼筋混凝土造,83年9月17日,011
RPQOMLKKMHKFFDN48CA,6,54.79,見其他登記事項,鋼筋混凝土造,97年11月25日,007
RPQOMLKKMHKFFDN48CA,6,257.44,見其他登記事項,鋼筋混凝土造,97年11月25日,004,一層 二層 三層 四層 見其他登記事項
RPQOMLKKMHKFFDN48CA,6,6.60,見其他登記事項,鋼筋混凝土造,97年11月25日,007,一層
RPXNMLQKLHKFFHN37CA,,56.40,農舍,見其他登記事項,104年1月14日,001,一層
RPSNMLSKLHKFFCN66DA,10,200.00,見其他登記事項,見其他登記事項,93年8月10日,001,一層
RPSNMLLJMHKFFFN88DA,1,178.85,住宅,鋼筋混凝土造,103年6月6日,003,一層 二層 三層 見其他登記事項
RPTNMLPLLHKFFCN56DA,,142.38,見其他登記事項,鋼筋混凝土造,103年11月5日,003,一層 二層 三層 見其他登記事項
RPQNMLPLLHKFFDN98DA,39,63.72,住家用,鋼筋混凝土加強磚造,65年7月9日,003,一層 二層 三層
RPQNMLPLLHKFFDN98DA,39,63.72,住家用,鋼筋混凝土加強磚造,65年7月9日,003,一層 二層 三層
RPQNMLTKLHKFFGN96DA,22,158.37,見其他登記事項,鋼筋混凝土造,82年3月12日,004,一層 二層 三層 四層
RPSNMLTKLHKFFHN17CA,,175.54,住家用,鋼筋混凝土造,103年10月29日,004,一層 二層 三層 四層
RPUNMLTKLHKFFHN37CA,,158.01,見其他登記事項,鋼筋混凝土造,103年10月29日,003,一層 二層 三層 屋頂突出物
RPPNMLLJMHKFFAN08DA,33,156.00,住商用,鋼筋混凝土造,71年3月30日,003,一層 二層 三層 騎樓
RPTOMLSKLHKFFFN07CA,34,88.64,住商用,加強磚造,69年10月4日,002,一層 二層
RPQNMLKLLHKFFFN58CA,20,132.97,住家用,鋼筋混凝土造,83年11月1日,003,一層 二層 三層
RPQNMLNJMHKFFDN58CA,33,156.20,住商用,鋼筋混凝土造,70年9月2日,003,一層 二層 三層 騎樓
RPWNMLRKLHKFFDN96CA,19,20.68,住家用,鋼筋混凝土造,85年2月12日,013,十二層
RPOOMLRKLHKFFDN88CA,17,20.66,住家用,鋼筋混凝土造,87年3月16日,014,十四層
RPOOMLRKLHKFFDN88CA,17,9.38,見其他登記事項,鋼筋混凝土造,87年3月16日,014
RPOOMLRKLHKFFDN88CA,17,2.79,見其他登記事項,鋼筋混凝土造,87年3月16日,014
RPPOMLRKLHKFFDN98CA,17,19.94,住家用,鋼筋混凝土造,87年3月16日,014,十二層
RPPOMLRKLHKFFDN98CA,17,9.05,見其他登記事項,鋼筋混凝土造,87年3月16日,014
RPPOMLRKLHKFFDN98CA,17,2.68,見其他登記事項,鋼筋混凝土造,87年3月16日,014
RPVNMLSKLHKFFDN96CA,37,131.40,住家用,鋼筋混凝土加強磚造,67年7月8日,003,一層 二層 三層 騎樓
RPPOMLRJMHKFFAN68CA,39,78.40,住家用,鋼筋混凝土加強磚造,65年5月11日,002,一層 二層
RPUNMLTKLHKFFAN66CA,38,86.40,住家用,鋼筋混凝土加強磚造,66年3月31日,002,一層 二層
RPXNMLQLLHKFFAN76CA,20,.07,見其他登記事項,鋼筋混凝土造,84年8月24日,008,一層
RPXNMLQLLHKFFAN76CA,20,16.70,見其他登記事項,鋼筋混凝土造,84年8月24日,008
RPXNMLQLLHKFFAN76CA,20,25.38,見其他登記事項,鋼筋混凝土造,84年8月24日,008
RPXNMLQLLHKFFAN76CA,20,170.01,住商用,鋼筋混凝土造,84年8月24日,008,一層 二層 三層 騎樓
RPSNMLPLLHKFFAN78CA,40,69.63,住商用,鋼筋混凝土加強磚造,63年11月19日,004,一層 二層 三層 四層 騎樓
RPVNMLOLLHKFFAN98CA,,189.06,見其他登記事項,鋼筋混凝土造,103年10月21日,004,一層 二層 三層 四層
RPOOMLKLLHKFFAN97CA,35,114.85,住家用,鋼筋混凝土造,69年4月9日,003,一層 二層 三層
RPOOMLNKMHKFFAN28CA,23,107.06,住家用,鋼筋混凝土造,80年12月17日,009,八層
RPOOMLNKMHKFFAN28CA,23,10.37,住家用,鋼筋混凝土造,80年12月17日,010
RPOOMLNKMHKFFAN28CA,23,13.22,見其他登記事項,鋼筋混凝土造,80年12月17日,010
RPOOMLNKMHKFFAN28CA,23,8.49,見其他登記事項,鋼筋混凝土造,80年12月17日,010,地下層
RPQNMLPKMHKFFBN68CA,,182.24,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPRNMLPKMHKFFBN78CA,,213.49,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPSNMLPKMHKFFBN88CA,,182.24,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
