鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
新竹市,房地(土地+建物),新竹市新竹巿金山六街6巷1~30號,83.0,住,,,10401,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0961108,245.17,30,0,30,有,無,23000000,93812,,0.0,0,,RPWOMLQKLHKFFAO76CA
新竹市,土地,虎山段31~60地號,547.27,,鄉村區,乙種建築用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44698500,81675,,0.0,0,,RPOPMLRKLHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路211~240號,29.09,商,,,10402,土地1建物1車位2,二十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021115,303.76,3,2,2,有,有,20000000,80120,坡道平面,76.6,1800000,,RPPNMLSKLHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿關新路19巷1~30號,16.89,其他,,,10402,土地3建物1車位1,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971022,152.49,3,2,2,有,有,11000000,72136,坡道平面,0.0,0,,RPQNMLSKLHKFFAO88CA
新竹市,房地(土地+建物),新竹市新竹巿文雅街118巷31~60號,109.0,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0630716,114.24,3,2,2,有,無,6450000,56460,,0.0,0,,RPSNMLSKLHKFFAO09CA
新竹市,房地(土地+建物),新竹市新竹巿埔頂路121~150號,10.08,住,,,10402,土地4建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,60.019999999999996,2,1,1,有,無,3900000,64978,,0.0,0,,RPPPMLSKLHKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿金竹路91~120號,43.44,住,,,10401,土地1建物1車位3,一層，騎樓,8,店面(店鋪),商業用,鋼筋混凝土造,0871015,407.68,0,0,0,無,有,23500000,57643,坡道機械,0.0,0,格局樓下為開放空間.樓上隔間,RPUNMLTKLHKFFAO76CA
新竹市,房地(土地+建物),新竹市新竹巿光復路二段367巷1~30號,11.4,住,,,10402,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800521,48.06,1,0,1,有,無,2300000,47857,,0.0,0,,RPWOMLTKLHKFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿中央路151~180號,8.91,住,,,10312,土地1建物1車位1,十三層,29,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961101,180.10000000000002,3,2,2,有,有,12880000,71516,坡道平面,0.0,0,,RPPPMLKLLHKFFAO28CA
新竹市,房地(土地+建物),新竹市新竹巿建功一路70巷1~30號,35.26,住,,,10402,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,85.97,3,1,3,有,有,6600000,76771,,0.0,0,,RPSPMLKLLHKFFAO58CA
新竹市,房地(土地+建物),新竹市新竹巿湳中街54巷1~30號,4.12,住,,,10402,土地1建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800328,16.32,1,1,1,有,有,550000,33701,,0.0,0,,RPXNMLLLLHKFFAO98CA
新竹市,房地(土地+建物),新竹市新竹巿牛埔路301~330號,22.86,住,,,10403,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880310,132.94,4,2,3,有,無,9500000,71461,,0.0,0,,RPTOMLNLLHKFFAO88CA
新竹市,房地(土地+建物),新竹市新竹巿長安街91~120號,10.28,商,,,10403,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890105,53.05,1,1,1,有,有,2400000,45240,,0.0,0,,RPQPMLOLLHKFFAO78CA
新竹市,房地(土地+建物),新竹市新竹巿林森路301~330號,51.03,商,,,10403,土地5建物1車位0,一層，二層，騎樓,12,辦公商業大樓,商業用,鋼筋混凝土造,0800528,499.09000000000003,4,0,2,有,有,13800000,27650,,0.0,0,,RPQNMLPLLHKFFAO68CA
新竹市,房地(土地+建物),新竹市新竹巿武陵路70巷1~30號,53.35,住,,,10402,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930215,176.34,3,2,2,有,有,5200000,29488,,0.0,0,,RPXPMLQLLHKFFAO07CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿牛埔北路181~210號,30.78,,鄉村區,乙種建築用地,10402,土地1建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840118,126.94999999999999,3,2,2,有,有,4550000,35841,坡道平面,0.0,0,,RPVNMLQLLHKFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿世界街31~60號,32.65,住,,,10401,土地1建物1車位2,三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0980617,274.34,4,2,2,有,有,17880000,65175,坡道平面,67.16,0,,RPRUMLPLLHKFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿民族路178巷1~30號,27.07,住,,,10401,土地2建物1車位1,九層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961024,148.45,3,2,2,有,有,9180000,61839,坡道平面,43.14,0,,RPXPNLQLLHKFFAO17CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿光復路一段531巷61~90號,20.88,商,,,10312,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860120,176.25,4,2,2,有,有,10200000,57872,坡道平面,0.0,0,,RPTNMLRLLHKFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿科學園路107巷1~30號,14.69,住,,,10402,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0891016,145.2,3,2,2,有,有,9800000,67493,坡道平面,26.47,0,,RPTPMLRLLHKFFAO76CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿埔頂路241~270號,29.3,住,,,10401,土地1建物1車位1,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860805,156.45,5,2,2,有,有,10200000,65197,坡道機械,0.0,0,,RPUPMLRLLHKFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.7,住,,,10403,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.05,3,2,2,有,有,7610000,52640,坡道平面,37.43,1050000,,RPUOMLMJMHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.7,住,,,10403,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.05,3,2,2,有,有,7950000,55368,坡道平面,37.43,1050000,,RPVOMLMJMHKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.7,住,,,10403,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.05,3,2,2,有,有,7880000,54807,坡道平面,37.43,1050000,,RPWOMLMJMHKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.32,3,2,2,有,有,7680000,52686,坡道平面,37.43,1100000,,RPOPMLMJMHKFFAO28CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.32,3,2,2,有,有,7880000,54688,坡道平面,37.43,1050000,,RPPPMLMJMHKFFAO38CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.32,3,2,2,有,有,7950000,55249,坡道平面,37.43,1050000,,RPQPMLMJMHKFFAO48CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.32,3,2,2,有,有,7950000,54048,坡道平面,37.43,1200000,,RPRPMLMJMHKFFAO58CA
新竹市,土地,東橋段151~180地號,97.52,住,,,10311,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15716950,161166,,0.0,0,,RPSPMLMJMHKFFAO68CA
新竹市,土地,東橋段121~150地號,41.99,住,,,10311,土地17建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6778807,161439,,0.0,0,,RPUPMLMJMHKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,162.32,3,2,2,有,有,7900000,54448,坡道平面,37.43,1100000,,RPVPMLMJMHKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,16.57,住,,,10403,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,147.62,2,2,1,有,有,7030000,52909,坡道平面,37.43,1200000,,RPVNMLMJMHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,14.96,住,,,10403,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,136.91,2,2,1,有,有,6630000,56092,坡道平面,37.43,1050000,,RPWNMLMJMHKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,13.96,住,,,10403,土地1建物1車位2,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,167.98000000000002,2,2,1,有,有,7000000,51546,坡道平面,74.86,2200000,,RPQRMLMJMHKFFAO68CA
新竹市,房地(土地+建物),新竹市新竹巿建功路51巷1~30號,26.8,住,,,10401,土地1建物1車位0,一層，二層,5,店面(店鋪),住商用,鋼筋混凝土造,0840515,96.83000000000001,2,2,2,有,無,14100000,145616,,0.0,0,,RPSNMLQJMHKFFAO88CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,13.92,住,,,10403,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,130.56,2,2,1,有,有,6200000,55299,坡道平面,37.43,1050000,,RPQNMLRJMHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,13.92,住,,,10403,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,130.56,2,2,1,有,有,6280000,56158,坡道平面,37.43,1050000,,RPSNMLRJMHKFFAO98CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,13.92,住,,,10403,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,130.56,2,2,1,有,有,6300000,55299,坡道平面,37.43,1150000,,RPUNMLRJMHKFFAO56CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,7800000,53079,坡道平面,37.43,1050000,,RPVNMLRJMHKFFAO66CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,8050000,55044,坡道平面,37.43,1050000,,RPXNMLRJMHKFFAO86CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,8000000,54651,坡道平面,37.43,1050000,,RPOOMLRJMHKFFAO68CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,8000000,54258,坡道平面,37.43,1100000,,RPPOMLRJMHKFFAO78CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,161.67,3,2,2,有,有,7850000,54733,坡道平面,37.43,1050000,,RPSOMLRJMHKFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹巿東華路1~30號,18.66,住,,,10403,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030829,161.67,3,2,2,有,有,8350000,57952,坡道平面,37.43,1150000,,RPUOMLRJMHKFFAO66CA
