編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWOMLQKLHKFFAO76CA,7,245.17,見其他登記事項,鋼筋混凝土造,96年11月8日,005,一層 二層 三層 四層 五層 見其他登記事項
RPPNMLSKLHKFFAO78CA,1,155.09,見其他登記事項,鋼筋混凝土造,102年11月15日,024,二十三層
RPPNMLSKLHKFFAO78CA,1,148.67,共有部分,鋼筋混凝土造,102年11月15日,024
RPQNMLSKLHKFFAO88CA,6,.03,見其他登記事項,鋼筋混凝土造,97年10月22日,014,一層
RPQNMLSKLHKFFAO88CA,6,17.69,見其他登記事項,鋼筋混凝土造,97年10月22日,014
RPQNMLSKLHKFFAO88CA,6,88.37,見其他登記事項,鋼筋混凝土造,97年10月22日,014,四層
RPQNMLSKLHKFFAO88CA,6,19.88,見其他登記事項,鋼筋混凝土造,97年10月22日,014
RPQNMLSKLHKFFAO88CA,6,.00,見其他登記事項,鋼筋混凝土造,97年10月22日,014
RPQNMLSKLHKFFAO88CA,6,26.51,見其他登記事項,鋼筋混凝土造,97年10月22日,014
RPSNMLSKLHKFFAO09CA,41,114.24,住家用,加強磚造,63年7月16日,002,一層 二層
RPPPMLSKLHKFFAO98CA,19,45.00,住家用,鋼筋混凝土造,84年12月8日,008,六層
RPPPMLSKLHKFFAO98CA,19,8.34,共有部分,鋼筋混凝土造,84年12月8日,008
RPPPMLSKLHKFFAO98CA,19,6.69,共有部分,鋼筋混凝土造,84年12月8日,008
RPUNMLTKLHKFFAO76CA,16,147.84,商業用,鋼筋混凝土造,87年10月15日,008,一層 騎樓
RPUNMLTKLHKFFAO76CA,16,65.20,住家用,鋼筋混凝土造,87年10月15日,008,二層
RPUNMLTKLHKFFAO76CA,16,3.33,商業用,鋼筋混凝土造,87年10月15日,008,一層
RPUNMLTKLHKFFAO76CA,16,32.01,共有部分,鋼筋混凝土造,87年10月15日,008
RPUNMLTKLHKFFAO76CA,16,17.66,共有部分,鋼筋混凝土造,87年10月15日,008
RPUNMLTKLHKFFAO76CA,16,6.47,共有部分,鋼筋混凝土造,87年10月15日,008
RPUNMLTKLHKFFAO76CA,16,11.19,共有部分,鋼筋混凝土造,87年10月15日,008
RPUNMLTKLHKFFAO76CA,16,123.44,共有部分,鋼筋混凝土造,87年10月15日,008
RPUNMLTKLHKFFAO76CA,16,.53,共有部分,鋼筋混凝土造,87年10月15日,008
RPWOMLTKLHKFFAO07CA,24,34.85,住家用,鋼筋混凝土造,80年5月21日,005,四層
RPWOMLTKLHKFFAO07CA,24,13.21,共有部分,鋼筋混凝土造,80年5月21日,005
RPPPMLKLLHKFFAO28CA,7,.30,見其他登記事項,鋼筋混凝土造,96年11月1日,029,二層
RPPPMLKLLHKFFAO28CA,7,.00,見其他登記事項,鋼筋混凝土造,96年11月1日,029
RPPPMLKLLHKFFAO28CA,7,5.17,見其他登記事項,鋼筋混凝土造,96年11月1日,029,一層 三層 騎樓 四層 二層
RPPPMLKLLHKFFAO28CA,7,2.95,見其他登記事項,鋼筋混凝土造,96年11月1日,029
RPPPMLKLLHKFFAO28CA,7,99.20,見其他登記事項,鋼筋混凝土造,96年11月1日,029,十三層
RPPPMLKLLHKFFAO28CA,7,56.91,見其他登記事項,鋼筋混凝土造,96年11月1日,029
RPPPMLKLLHKFFAO28CA,7,15.57,見其他登記事項,鋼筋混凝土造,96年11月1日,029
RPSPMLKLLHKFFAO58CA,,72.68,住家用,鋼筋混凝土造,,005,二層
RPSPMLKLLHKFFAO58CA,,.77,共有部分,鋼筋混凝土造,,005
RPSPMLKLLHKFFAO58CA,,12.52,共有部分,鋼筋混凝土造,,005
RPXNMLLLLHKFFAO98CA,24,11.11,住家用,鋼筋混凝土造,80年3月28日,005,五層
RPXNMLLLLHKFFAO98CA,24,1.49,共有部分,鋼筋混凝土造,80年3月28日,005
RPXNMLLLLHKFFAO98CA,24,3.71,共有部分,鋼筋混凝土造,80年3月28日,005
RPTOMLNLLHKFFAO88CA,16,99.79,住家用,鋼筋混凝土造,88年3月10日,008,四層
RPTOMLNLLHKFFAO88CA,16,22.49,見其他登記事項,鋼筋混凝土造,88年3月10日,008
RPTOMLNLLHKFFAO88CA,16,10.66,見其他登記事項,鋼筋混凝土造,88年3月10日,008
RPQPMLOLLHKFFAO78CA,15,40.43,住家用,鋼筋混凝土造,89年1月5日,008,四層
RPQPMLOLLHKFFAO78CA,15,12.42,見其他登記事項,鋼筋混凝土造,89年1月5日,008
RPQPMLOLLHKFFAO78CA,15,.20,見其他登記事項,鋼筋混凝土造,89年1月5日,008
RPQNMLPLLHKFFAO68CA,24,412.49,商業用,鋼筋混凝土造,80年5月28日,012,一層 二層 騎樓
RPQNMLPLLHKFFAO68CA,24,54.53,共有部分,鋼筋混凝土造,80年5月28日,012
RPQNMLPLLHKFFAO68CA,24,32.07,共有部分,鋼筋混凝土造,80年5月28日,012
RPXPMLQLLHKFFAO07CA,11,113.73,見其他登記事項,鋼筋混凝土造,93年2月15日,011,二層
RPXPMLQLLHKFFAO07CA,11,62.61,見其他登記事項,鋼筋混凝土造,93年2月15日,011
RPVNMLQLLHKFFAO66CA,20,85.46,住家用,鋼筋混凝土造,84年1月18日,009,四層
RPVNMLQLLHKFFAO66CA,20,3.19,共有部分,鋼筋混凝土造,84年1月18日,009
RPVNMLQLLHKFFAO66CA,20,38.30,共有部分,鋼筋混凝土造,84年1月18日,009
