¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
Ûl®ä¶m,¤g¦a,·sÉÜ¤l¬q2551~2580¦a¸¹,4155.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10312,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6600000,1588,,0.0,0,,RPQNMLRKLHKFFAP88CA
¤æ¤»¥«,¤g¦a,®üÂ×±[¬q®üÂ×±[¤p¬q271~300¦a¸¹,2461.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10401,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2500000,1016,,0.0,0,,RPWNMLRKLHKFFAP86CA
¥j§|¶m,¤g¦a,°ª­íªL¤lÀY¬q451~480¦a¸¹,771.5,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,10403,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1200000,1555,,0.0,0,,RPVOMLRKLHKFFAP86CA
¤æ¤»¥«,¤g¦a,¥ú©ú¬q361~390¦a¸¹,760.09,,¤u·~°Ï,¤BºØ«Ø¿v¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,13795620,18150,,0.0,0,,RPVNMLSKLHKFFAP86CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥««Oªø¸ô42«Ñ1~30¸¹,100.73,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0660803,64.26,4,2,2,¦³,µL,2100000,32680,,0.0,0,,RPUOMLTKLHKFFAP96CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«©ú¼w¥_¸ô¤T¬q359«Ñ1~30¸¹,144.42,¤u,,,10207,¤g¦a3«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030618,193.81,4,2,4,¦³,µL,7170000,36995,,0.0,0,,RPQPMLLLLHKFFAP58CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«©ú¼w¥_¸ô¤T¬q359«Ñ1~30¸¹,143.78,¤u,,,10206,¤g¦a3«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030618,193.81,5,2,5,¦³,µL,7170000,36995,,0.0,0,,RPSPMLLLLHKFFAP78CA
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«©ú¼w¥_¸ô¤T¬q359«Ñ1~30¸¹,149.75,¤u,,,10301,¤g¦a3«Øª«1¨®¦ì0,¥þ,3,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1030618,193.81,5,3,5,¦³,µL,7200000,37150,,0.0,0,,RPXPMLLLLHKFFAP66CA
¤g®wÂí,¤g¦a,¾Ä°_¬q121~150¦a¸¹,3428.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4764920,1390,,0.0,0,,RPQOMLRKLHKFFDP66CA
½Ç©¾¶m,¤g¦a,ÀsªL¬q271~300¦a¸¹,899.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,750000,834,,0.0,0,,RPROMLRKLHKFFDP76CA
