編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLTKLHKFFAP96CA,38,64.26,住家用,加強磚造,66年8月3日,002,一層 二層
RPQPMLLLLHKFFAP58CA,1,193.81,見其他登記事項,鋼筋混凝土造,103年6月18日,003,一層 二層 三層 屋頂突出物
RPSPMLLLLHKFFAP78CA,1,193.81,見其他登記事項,鋼筋混凝土造,103年6月18日,003,一層 二層 三層 屋頂突出物
RPXPMLLLLHKFFAP66CA,,193.81,見其他登記事項,鋼筋混凝土造,103年6月18日,003,一層 二層 三層 屋頂突出物
RPWNMLSKLHKFFDP27CA,20,166.17,住家用,鋼筋混凝土造,83年8月23日,003,一層 二層 三層
RPXOMLLLLHKFFDP86CA,1,257.30,見其他登記事項,鋼筋混凝土造,103年10月29日,002,一層 二層
RPOPMLLLLHKFFDP68CA,,257.30,見其他登記事項,鋼筋混凝土造,103年10月29日,002,一層 二層
RPPPMLLLLHKFFDP78CA,1,253.15,見其他登記事項,鋼筋混凝土造,103年10月29日,002,一層 二層
RPRPMLLLLHKFFDP98CA,1,335.50,見其他登記事項,鋼筋混凝土造,103年10月29日,002,一層 二層 見其他登記事項
RPVNMLNLLHKFFDP76CA,1,257.30,見其他登記事項,鋼筋混凝土造,103年10月29日,002,一層 二層
RPQNMLSJMHKFFCP56CA,,169.56,見其他登記事項,鋼筋混凝土造,103年9月15日,003,一層 二層 三層 見其他登記事項
RPPPMLLMLHKFFDP88CA,,178.44,住家用,鋼筋混凝土造,103年10月27日,003,一層 二層 三層
RPRPMLLMLHKFFDP09CA,,178.44,住家用,鋼筋混凝土造,103年10月27日,003,一層 二層 三層
RPTPMLLMLHKFFDP66CA,,181.17,住家用,鋼筋混凝土造,103年10月27日,003,一層 二層 三層
RPQNMLSLLHKFFEP86CA,22,116.16,住商用,鋼筋混凝土造,81年10月16日,005,一層 二層 騎樓
RPVNMLNKMHKFFAP56DA,19,251.73,住商用,鋼筋混凝土造,84年8月25日,004,一層 二層 三層 四層 騎樓 電梯樓梯間
RPWNMLRKLHKFFEP37DA,26,224.36,住商用,鋼筋混凝土造,78年8月23日,003,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLSKLHKFFAP76EA,20,180.20,住家用,鋼筋混凝土造,84年3月22日,004,一層 二層 三層 四層
RPSNMLOKMHKFFAP98DA,1,269.65,見其他登記事項,鋼筋混凝土造,102年9月2日,004,一層 二層 三層 四層
RPTNMLQLLHKFFFP07CA,,220.49,見其他登記事項,鋼筋混凝土造,103年12月3日,002,一層 二層
RPUNMLQLLHKFFFP17CA,,158.46,見其他登記事項,鋼筋混凝土造,103年12月3日,002,一層 二層
