編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLRKLHKFFBQ66CA,8,15.06,住家用,鋼筋混凝土造,95年8月28日,008,五層
RPVNMLSKLHKFFBQ07CA,20,89.24,住家用,鋼筋混凝土加強磚造,84年8月22日,002,一層 二層
RPTNMLMJMHKFFBQ88CA,,294.25,見其他登記事項,鋼筋混凝土造,103年10月24日,003,一層 二層 三層
RPQNMLKKMHKFFBQ48CA,,294.25,見其他登記事項,鋼筋混凝土造,103年10月24日,003,一層 二層 三層
RPPNMLLLLHKFFCQ58CA,21,204.42,住商用,鋼筋混凝土造,83年1月7日,004,一層 二層 三層 四層
RPPNMLPLLHKFFCQ98CA,,216.00,見其他登記事項,鋼筋混凝土造,104年1月20日,003,一層 二層 三層 見其他登記事項
RPQNMLPLLHKFFCQ09CA,,185.62,見其他登記事項,鋼筋混凝土造,104年1月20日,003,一層 二層 三層 見其他登記事項
RPRNMLPLLHKFFCQ56CA,,182.02,見其他登記事項,鋼筋混凝土造,104年1月20日,003,一層 二層 三層 見其他登記事項
RPSNMLPLLHKFFCQ66CA,,185.13,見其他登記事項,鋼筋混凝土造,104年1月20日,003,一層 二層 三層 見其他登記事項
RPVNMLRJMHKFFCQ07CA,34,100.33,住家用,鋼筋混凝土加強磚造,70年7月10日,002,一層 二層 電梯樓梯間
RPSNMLOKMHKFFCQ56CA,20,188.31,住家用,鋼筋混凝土造,83年10月29日,003,一層 二層 三層 電梯樓梯間
RPXNMLKMLHKFFEQ96CA,,174.72,見其他登記事項,鋼筋混凝土造,103年12月22日,004,一層 二層 三層 四層
RPTNMLKMLHKFFDQ09CA,19,117.95,見其他登記事項,鋼筋混凝土造,85年2月7日,009,一層 二層 三層
RPTNMLKMLHKFFDQ09CA,19,25.00,見其他登記事項,鋼筋混凝土造,85年2月7日,009
RPTNMLKMLHKFFDQ09CA,19,16.99,見其他登記事項,鋼筋混凝土造,85年2月7日,009
RPSNMLLJMHKFFCQ78CA,20,136.04,住家用,鋼筋混凝土造,83年11月2日,003,一層 二層 三層
RPPNMLTKLHKFFBQ56CA,26,179.37,住家用,鋼筋混凝土加強磚造,78年3月13日,003,一層 二層 三層 騎樓
RPTNMLLMLHKFFCQ09CA,,176.56,住家用,鋼筋混凝土造,103年8月15日,003,一層 二層 三層
RPSNMLOKMHKFFDQ66CA,21,83.07,住家用,鋼筋混凝土造,82年12月29日,003,一層 二層 三層
RPSNMLOLLHKFFDQ76DA,10,13.60,見其他登記事項,鋼筋混凝土造,94年8月15日,005,四層
RPTNMLNLLHKFFEQ96EA,36,92.05,住家用,鋼筋混凝土加強磚造,68年7月25日,002,一層 二層 騎樓
RPWNMLOKMHKFFDQ07CA,33,220.20,住商用,鋼筋混凝土加強磚造,71年3月25日,003,一層 二層 三層 騎樓
RPOOMLKLLHKFFDQ58CA,27,212.34,住商用,鋼筋混凝土造,77年1月8日,003,一層 二層 三層 騎樓
RPQNMLLLLHKFFDQ78CA,16,124.21,住家用,鋼筋混凝土造,87年11月24日,003,一層 二層 三層
RPTOMLNLLHKFFDQ76CA,22,167.49,見其他登記事項,鋼筋混凝土造,82年1月9日,004,一層 二層 三層 四層
RPUOMLKMLHKFFCQ56CA,13,99.21,見其他登記事項,鋼筋混凝土造,91年7月25日,005,五層
RPUOMLKMLHKFFCQ56CA,13,12.74,見其他登記事項,鋼筋混凝土造,91年7月25日,005
RPUOMLKMLHKFFCQ56CA,13,33.34,停車空間,鋼筋混凝土造,91年7月25日,005
RPRNMLKLLHKFFCQ68CA,19,80.31,見其他登記事項,鋼筋混凝土造,85年2月9日,005,三層
RPRNMLKLLHKFFCQ68CA,19,.89,共有部份,鋼筋混凝土造,85年2月9日,005
RPRNMLKLLHKFFCQ68CA,19,2.89,共有部份,鋼筋混凝土造,85年2月9日,005
RPRNMLKLLHKFFCQ68CA,19,2.89,共有部份,鋼筋混凝土造,85年2月9日,005
RPRNMLKLLHKFFCQ68CA,19,2.65,共有部份,鋼筋混凝土造,85年2月9日,005
RPPNMLNLLHKFFCQ78CA,35,101.40,住家用,鋼筋混凝土加強磚造,69年6月20日,002,一層 二層
RPQNMLOLLHKFFBQ88CA,7,284.31,見其他登記事項,鋼筋混凝土造,97年4月8日,004,一層 二層 三層 四層 地下一層
RPQNMLOLLHKFFBQ88CA,7,4.62,見其他登記事項,鋼筋混凝土造,97年4月8日,003
RPQNMLOLLHKFFBQ88CA,7,28.89,停車空間,鋼筋混凝土造,97年4月8日,004
RPUNMLPLLHKFFCQ86CA,21,204.42,住商用,鋼筋混凝土造,83年1月5日,004,一層 二層 三層 四層
RPUNMLOKMHKFFCQ76CA,23,132.90,住家用,鋼筋混凝土造,81年7月31日,003,一層 二層 三層
RPPNMLTLLHKFFDQ86CA,,172.64,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPQNMLTLLHKFFDQ96CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPRNMLTLLHKFFDQ07CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPPNMLNLLHKFFDQ98DA,22,186.90,住家用,鋼筋混凝土造,82年4月22日,004,一層 二層 三層 四層
RPPNMLPLLHKFFDQ56DA,13,148.71,住家用,鋼筋混凝土造,91年8月16日,003,一層 二層 三層
RPQNMLQJMHKFFDQ56CA,18,159.49,住家用,鋼筋混凝土造,86年1月3日,003,一層 二層 三層
RPSNMLTLLHKFFDQ17CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPTNMLTLLHKFFDQ27CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPUNMLPLLHKFFDQ96CA,1,171.12,見其他登記事項,鋼筋混凝土造,103年4月21日,004,一層 二層 三層 四層
RPTNMLKMLHKFFCQ98CA,20,19.15,住家用,鋼筋混凝土造,84年8月15日,005,四層
RPPNMLOLLHKFFBQ78CA,22,207.25,住商用,鋼筋混凝土加強磚造,81年12月24日,004,一層 二層 三層 四層
RPVNMLMJMHKFFBQ09CA,,420.46,見其他登記事項,鋼筋混凝土造,104年1月6日,003,一層 二層 三層
RPVNMLMJMHKFFBQ09CA,,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,001,一層
RPWNMLMJMHKFFBQ56CA,,430.25,見其他登記事項,鋼筋混凝土造,104年1月6日,003,一層 二層 三層
RPWNMLMJMHKFFBQ56CA,,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,001,一層
RPXNMLMJMHKFFBQ66CA,,294.25,見其他登記事項,鋼筋混凝土造,103年10月24日,003,一層 二層 三層
RPROMLLMLHKFFCQ98CA,,250.21,住家用,鋼筋混凝土造,103年11月18日,004,一層 二層 三層 四層
RPPNMLRLLHKFFCQ56CA,22,196.17,住家用,鋼筋混凝土造,82年4月17日,003,一層 二層 三層 電梯樓梯間
RPWNMLOLLHKFFDQ07CA,23,147.38,住商用,鋼筋混凝土造,81年2月26日,003,一層 二層 三層
RPUNMLTLLHKFFDQ37CA,,169.31,見其他登記事項,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPVNMLTLLHKFFDQ47CA,,158.31,見其他登記事項,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPWNMLTLLHKFFDQ57CA,,184.67,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPXNMLTLLHKFFDQ67CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPOOMLTLLHKFFDQ86CA,,169.32,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPPOMLTLLHKFFDQ96CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPQOMLTLLHKFFDQ07CA,,169.31,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPROMLTLLHKFFDQ17CA,,178.14,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPUNMLKKMHKFFDQ09CA,9,1.59,見其他登記事項,鋼筋混凝土造,94年8月26日,003,一層 二層 三層
RPUNMLKKMHKFFDQ09CA,9,5.08,見其他登記事項,鋼筋混凝土造,94年8月26日,002,一層 二層 地下一層 地下二層
RPUNMLKKMHKFFDQ09CA,7,265.65,見其他登記事項,鋼筋混凝土造,96年9月29日,004,一層 二層 三層 四層 地下一層
RPQNMLPLLHKFFDQ66DA,7,262.22,見其他登記事項,鋼筋混凝土造,97年5月16日,004,一層 二層 三層 四層 地下一層
RPPNMLQLLHKFFDQ66DA,32,106.64,住家用,鋼筋混凝土加強磚造,72年6月1日,002,一層 二層
RPXNMLQLLHKFFDQ47DA,10,166.97,住家用,鋼筋混凝土造,94年1月27日,003,一層 二層 三層
RPPNMLKLMHKFFBQ58DA,13,19.37,住家用,鋼筋混凝土造,91年4月23日,004,三層
RPPNMLKLMHKFFBQ58DA,13,1.83,共有部份,鋼筋混凝土造,91年4月23日,004
RPPNMLKLMHKFFBQ58DA,13,4.85,共有部份,鋼筋混凝土造,91年4月23日,004
RPRNMLQLLHKFFBQ66DA,30,112.51,住家用,鋼筋混凝土加強磚造,73年11月30日,002,騎樓 一層 二層
RPUNMLTJMHKFFDQ37DA,32,97.00,住家用,鋼筋混凝土加強磚造,71年9月10日,002,一層 二層
RPRNMLQLLHKFFDQ86DA,34,122.16,住商用,鋼筋混凝土加強磚造,70年1月14日,002,一層 二層
RPSPMLRJMHKFFCQ96CA,,149.96,住家用,鋼筋混凝土造,104年1月16日,003,一層 二層 三層
RPQOMLTJMHKFFCQ86CA,21,91.81,見其他登記事項,鋼筋混凝土造,83年8月8日,011,四層
RPQOMLTJMHKFFCQ86CA,21,15.71,共有部份,鋼筋混凝土造,83年8月8日,011
RPQOMLTJMHKFFCQ86CA,21,19.30,共有部份,鋼筋混凝土造,83年8月8日,011
RPUPMLRJMHKFFCQ17CA,,148.53,住家用,鋼筋混凝土造,104年1月16日,003,一層 二層 三層
RPVNMLQLLHKFFDQ17CA,8,285.21,見其他登記事項,鋼筋混凝土造,95年12月5日,004,一層 二層 三層 四層 地下層 見其他登記事項
RPUNMLKMLHKFFCQ09CA,20,21.08,住家用,鋼筋混凝土造,84年8月15日,005,四層
RPVNMLKMLHKFFCQ56CA,,189.05,見其他登記事項,鋼筋混凝土造,104年1月20日,003,一層 二層 三層 見其他登記事項
RPSNMLLMLHKFFCQ98CA,22,153.94,住商用,見使用執照,81年10月30日,003,一層 二層 三層 電梯樓梯間
RPTNMLLJMHKFFBQ78CA,1,38.80,見其他登記事項,鋼筋混凝土造,103年6月25日,005,四層
RPTNMLLJMHKFFBQ78CA,1,11.09,見其他登記事項,鋼筋混凝土造,103年6月25日,005
RPPNMLNKMHKFFBQ68CA,41,85.92,住家用,見其他登記事項,63年1月15日,001,一層
RPUNMLRLLHKFFCQ07CA,9,156.98,見其他登記事項,鋼筋混凝土造,94年8月24日,003,一層 二層 三層 電梯樓梯間
RPTNMLMJMHKFFCQ98CA,20,219.50,住商用,鋼筋混凝土造,83年9月16日,004,二層 三層 一層 電梯樓梯間
RPPNMLKLMHKFFCQ58CA,9,228.34,見其他登記事項,鋼筋混凝土造,95年8月14日,004,一層 二層 三層 四層
RPQOMLRLLHKFFDQ86CA,18,160.25,住家用,鋼筋混凝土造,86年4月25日,003,一層 二層 三層
RPPNMLRJMHKFFCQ09CA,13,125.47,住家用,鋼筋混凝土造,91年1月14日,003,一層 二層 三層
RPPOMLPKMHKFFCQ09CA,8,1071.05,見其他登記事項,鋼筋混凝土造,96年3月13日,005,一層 二層 三層 四層 五層 電梯樓梯間
RPRNMLLMLHKFFEQ09CA,1,186.10,住家用,鋼筋混凝土造,103年6月4日,004,一層 二層 三層 四層
RPPNMLRJMHKFFDQ56CA,16,124.21,住家用,鋼筋混凝土造,87年11月24日,003,一層 二層 三層
RPXNMLOKMHKFFDQ17CA,18,75.61,住家用,鋼筋混凝土造,86年5月24日,005,四層
RPXNMLOKMHKFFDQ17CA,18,10.31,見其他登記事項,鋼筋混凝土造,86年5月24日,005
RPXNMLOKMHKFFDQ17CA,18,24.40,見其他登記事項,鋼筋混凝土造,86年5月24日,005
RPQNMLRJMHKFFDQ66CA,35,90.10,住家用,鋼筋混凝土加強磚造,69年4月1日,002,一層 二層
RPWNMLQKMHKFFEQ37CA,,173.92,住家用,鋼筋混凝土造,103年12月22日,004,一層 二層 三層 四層
RPRNMLLJMHKFFCQ68CA,22,79.76,住家用,鋼筋混凝土造,81年11月30日,005,三層
RPRNMLLJMHKFFCQ68CA,22,8.04,共有部份,鋼筋混凝土造,81年11月30日,B00
RPRNMLLJMHKFFCQ68CA,22,6.94,共有部份,鋼筋混凝土造,81年11月30日,005
RPVNMLTKMHKFFCQ37CA,35,109.14,住商用,鋼筋混凝土加強磚造,68年9月24日,002,一層 二層 電梯樓梯間 夾層
RPTPMLRJMHKFFCQ07CA,,149.18,住家用,鋼筋混凝土造,104年1月16日,003,一層 二層 三層
RPQNMLLJMHKFFDQ68CA,19,175.39,住家用,鋼筋混凝土造,84年10月2日,003,一層 二層 三層
RPQOMLMJMHKFFBQ68CA,,294.25,見其他登記事項,鋼筋混凝土造,103年10月24日,003,一層 二層 三層
RPQNMLLJMHKFFBQ48CA,40,84.00,住家用,鋼筋混凝土加強磚造,64年8月21日,002,一層 二層
RPQNMLLMLHKFFBQ68CA,7,244.44,見其他登記事項,鋼筋混凝土造,97年4月8日,004,一層 二層 三層 四層 地下一層
RPQNMLLMLHKFFBQ68CA,7,4.52,見其他登記事項,鋼筋混凝土造,97年4月8日,003
RPQNMLLMLHKFFBQ68CA,7,28.24,停車空間,鋼筋混凝土造,97年4月8日,004
RPPNMLLJMHKFFBQ38CA,21,109.10,住家用,鋼筋混凝土造,83年5月12日,007,三層
RPTNMLLLMHKFFBQ98CA,86,66.51,住家用,木造,18年3月20日,001,一層
RPQNMLMJMHKFFCQ68CA,21,134.90,住家用,鋼筋混凝土造,83年1月20日,003,一層 二層 三層 電梯樓梯間
RPQNMLLJMHKFFCQ58CA,18,105.97,見其他登記事項,鋼筋混凝土造,85年11月15日,005,五層
RPQNMLLJMHKFFCQ58CA,18,.52,共有部份,鋼筋混凝土造,85年11月15日,B02
RPQNMLLJMHKFFCQ58CA,18,9.83,共有部份,鋼筋混凝土造,85年11月5日,005
RPWNMLLMLHKFFDQ86CA,36,48.80,住家用,加強磚造,68年7月20日,002,一層 二層
RPWNMLLMLHKFFDQ86CA,36,48.80,住家用,加強磚造,68年7月20日,002,一層 二層
RPWNMLRJMHKFFCQ17CA,21,92.92,見其他登記事項,鋼筋混凝土造,83年8月8日,011,五層
RPWNMLRJMHKFFCQ17CA,21,15.71,共有部分,鋼筋混凝土造,83年8月8日,011
RPWNMLRJMHKFFCQ17CA,21,19.30,共有部分,鋼筋混凝土造,83年8月8日,011
RPSNMLSJMHKFFDQ07DA,10,11.52,見其他登記事項,鋼筋混凝土造,94年8月15日,005,四層
RPTNMLSLMHKFFBQ27EA,18,87.82,住家用,鋼筋混凝土造,85年8月15日,014,十三層 十四層
RPTNMLMJMHKFFDQ09CA,20,171.37,住商用,鋼筋混凝土造,84年6月20日,003,一層 二層 三層
RPPNMLKKMHKFFDQ58CA,34,63.27,住家用,磚造,70年6月5日,001,一層
RPRNMLSKMHKFFDQ96CA,23,152.45,住家用,鋼筋混凝土造,81年7月4日,003,一層 二層 三層
RPRNMLTJMHKFFDQ07DA,16,121.04,住家用,鋼筋混凝土造,88年7月16日,003,一層 二層 三層
RPPNMLSKMHKFFCQ66CA,21,163.83,住商用,鋼筋混凝土造,83年8月8日,011,一層 二層 三層 騎樓
RPPNMLSKMHKFFCQ66CA,21,17.82,共有部份,鋼筋混凝土造,83年8月8日,011
RPPNMLSKMHKFFCQ66CA,21,19.30,共有部份,鋼筋混凝土造,83年8月8日,011
RPVPMLRJMHKFFCQ27CA,,149.34,住家用,鋼筋混凝土造,104年1月16日,003,一層 二層 三層
RPWNMLNKMHKFFCQ86CA,9,228.34,見其他登記事項,鋼筋混凝土造,95年8月23日,004,一層 二層 三層 四層
