¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸,³Æµù,½s¸¹
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¤Ñ¬zµó59«Ñ1~30¸¹,62.0,¦í,,,10402,¤g¦a1«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0600702,66.96,2,2,2,¦³,µL,1300000,19415,,0.0,0,,RPPOMLQKLHKFFAT56CA
«ÌªFÉ],¤g¦a,ºÖ¥¿¬q211~240¦a¸¹,2803.94,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6900000,2461,,0.0,0,,RPROMLQKLHKFFAT76CA
«ÌªFÉ],¤g¦a,´µ¤å¬q211~240¦a¸¹,41.0,¦í,,,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2000000,48780,,0.0,0,,RPXNMLSKLHKFFAT47CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¤jªZ¸ô271~300¸¹,12.04,¦í,,,10403,¤g¦a3«Øª«1¨®¦ì0,¤C¼h,7,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830827,76.45,3,1,2,¦³,¦³,1650000,21583,,0.0,0,,RPOOMLSKLHKFFAT66CA
ªøªv¶m,¤g¦a,¨óµØ¬q271~300¦a¸¹,5638.54,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,11000000,1951,,0.0,0,,RPWOMLTKLHKFFAT57CA
ªøªv¶m,©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤ªøªv¶mªø¿³¸ô481~510¸¹,70.44,¦í,,,10402,¤g¦a2«Øª«1¨®¦ì0,¥þ,2,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0670617,99.76,3,2,2,¦³,µL,2900000,29070,,0.0,0,,RPXOMLTKLHKFFAT67CA
«ÌªFÉ],¤g¦a,³»¬h¬q751~780¦a¸¹,5908.96,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10309,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,10041000,1699,,0.0,0,,RPPNMLLLLHKFFAT68CA
«ÌªFÉ],©Ð¦a(¤g¦a+«Øª«),«ÌªF¿¤«ÌªFÉ]¥ÁÅv¸ô61~90¸¹,96.0,°Ó,,,10403,¤g¦a1«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡AÃM¼Ó,2,©±­±(©±¾Q),°Ó·~¥Î,¿j³y,,124.56,2,2,2,¦³,µL,8120000,65189,,0.0,0,,RPTNMLOLLHKFFAT76CA
°ª¾ð¶m,¤g¦a,¤j¸ôÃö¬qÂÂ¤j¸ôÃö¤p¬q121~150¦a¸¹,7349.75,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10403,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,7122380,969,,0.0,0,,RPRNMLOLLHKFFBT66CA
fa72®H¶m,¤g¦a,®¶¥_¬q61~90¦a¸¹,4848.44,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10402,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3700000,763,,0.0,0,,RPRNMLSJMHKFFBT96CA
