編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPOMLQKLHKFFAT56CA,44,66.96,住家用,鋼筋混凝土加強磚造,60年7月2日,002,一層 二層
RPOOMLSKLHKFFAT66CA,21,64.08,住家用,鋼筋混凝土造,83年8月27日,007,七層
RPOOMLSKLHKFFAT66CA,21,12.37,見其他登記事項,鋼筋混凝土造,83年8月27日,007
RPXOMLTKLHKFFAT67CA,37,99.76,住商用,加強磚造,67年6月17日,002,一層 二層 騎樓
RPTNMLOLLHKFFAT76CA,,124.56,商業用,磚造,,002,一層 二層 騎樓
RPQNMLRKLHKFFCT86CA,33,110.93,住家用,加強磚造,71年2月15日,002,一層 二層
RPPPMLSKLHKFFCT07CA,24,120.50,住家用,加強磚造,79年9月27日,002,一層 二層
RPPNMLSJMHKFFCT86CA,20,110.08,住家用,鋼筋混凝土造,83年11月9日,008,五層 電梯樓梯間
RPPNMLSJMHKFFCT86CA,20,19.84,見其他登記事項,鋼筋混凝土造,83年11月9日,008
RPQNMLSKLHKFFDT07CA,33,88.95,店舖、住宅,加強磚造,71年7月12日,002,一層 二層
RPXNMLKLLHKFFDT07CA,21,187.77,店舖,鋼筋混凝土造,83年6月25日,005,一層 地下層
RPRNMLSKLHKFFAT96DA,29,105.30,住家用,加強磚造,74年9月10日,002,一層 二層
RPRNMLNKMHKFFAT56DA,19,142.04,見其他登記事項,鋼筋混凝土造,84年11月25日,007,一層 二層 騎樓
RPRNMLNKMHKFFAT56DA,19,38.80,見其他登記事項,鋼筋混凝土造,84年11月25日,007
RPPNMLSKLHKFFAT76DA,22,205.92,住家用,鋼筋混凝土造,82年4月9日,004,一層 二層 三層 四層
RPSNMLMJMHKFFCT56CA,17,261.05,住商用,鋼筋混凝土造,87年1月7日,003,一層 二層 三層 騎樓
RPOPMLSKLHKFFCT96CA,20,200.96,見其他登記事項,鋼筋混凝土造,83年11月2日,004,一層 二層 三層 四層 停車場
RPVNMLTKLHKFFCT57CA,20,165.27,住家用,鋼筋混凝土造,83年12月14日,003,一層 二層 三層
RPPNMLRLLHKFFCT86CA,1,145.80,見其他登記事項,見其他登記事項,103年6月17日,003,一層 二層 三層 見其他登記事項
RPWNMLKMLHKFFCT96CA,1,174.32,見其他登記事項,見其他登記事項,103年6月11日,003,見其他登記事項 一層 二層 三層
RPOOMLKMLHKFFCT88CA,,214.14,見其他登記事項,見其他登記事項,103年10月20日,003,一層 二層 三層 見其他登記事項
RPXOMLLJMHKFFCT07CA,11,414.99,見使用執照,見使用執照,92年11月13日,001,一層 騎樓 見其他登記事項
RPSNMLOKMHKFFAT66CA,15,99.38,見其他登記事項,鋼筋混凝土造,88年12月4日,014,三層
RPSNMLOKMHKFFAT66CA,15,28.81,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPPOMLLJMHKFFAT68CA,20,186.45,住家用,鋼筋混凝土造,84年1月12日,004,一層 二層 三層 四層
RPRNMLTJMHKFFAT96CA,1,250.86,住家用,鋼筋混凝土造,103年8月18日,003,一層 二層 三層 屋頂突出物
RPUNMLKKMHKFFAT09CA,21,142.49,住家用,鋼筋混凝土造,83年6月23日,003,一層 二層 三層
RPSNMLNLLHKFFAT56CA,10,188.51,見其他登記事項,鋼筋混凝土造,94年6月1日,004,一層 二層 三層 四層 騎樓
RPTOMLTKLHKFFAT27CA,,78.40,住家用,鋼筋混凝土加強磚造,,002,一層 二層
RPROMLSKLHKFFAT96CA,34,84.46,住家用,加強磚造,69年9月3日,002,一層 二層
RPQNMLSKLHKFFAT76CA,1,204.32,住家用,鋼筋混凝土造,103年3月24日,003,一層 二層 三層 屋頂突出物
RPWNMLSKLHKFFAT37CA,34,77.30,住家用,鋼筋混凝土造,70年4月20日,005,五層
RPWNMLSKLHKFFAT37CA,34,132.16,見其他登記事項,鋼筋混凝土造,70年4月20日,005
RPPOMLSKLHKFFAT76CA,15,46.99,見其他登記事項,鋼筋混凝土造,88年12月4日,014,二層
RPPOMLSKLHKFFAT76CA,15,14.40,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPQOMLSKLHKFFAT86CA,8,239.24,住家用,鋼筋混凝土造,96年7月31日,003,一層 二層 三層
