鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
花蓮市,房地(土地+建物),花蓮縣花蓮巿德安一街1~30號,172.0,住,,,10402,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1031219,352.46,5,2,5,有,無,24600000,69795,,0.0,0,,RPQOMLSKLHKFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國興里介禮街1~30號,151.0,商,,,10312,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,1031006,459.2,6,2,7,有,無,20500000,44643,,0.0,0,,RPUOMLSKLHKFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉海岸路645巷42弄1~30號,134.0,,特定農業區,甲種建築用地,10403,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0920516,274.54,6,2,5,有,無,12000000,43709,,0.0,0,,RPPOMLTKLHKFFAU96CA
花蓮市,土地,民勤段1621~1650地號,1975.0,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13741000,6957,,0.0,0,,RPQPMLKLLHKFFAU98CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛三街12巷1~30號,16.2,住,,,10403,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780603,58.89,1,1,1,有,無,1020000,17320,,0.0,0,,RPUNMLNLLHKFFAU86CA
壽豐鄉,房地(土地+建物)+車位,花蓮縣壽豐鄉志學新?61~90號,52.84,住,,,10402,土地1建物1車位1,三層，四層，見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,167.86,4,2,2,有,有,2800000,16681,坡道平面,14.25,0,,RPVNMLNLLHKFFAU96CA
壽豐鄉,土地,平和段601~630地號,2634.2,農,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,2581,,0.0,0,,RPOOMLOLLHKFFAU09CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路391~420號,97.0,商,,,10402,土地1建物1車位0,一層，二層，三層，四層，屋頂突出物，地下層，見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0761217,349.18,7,2,4,有,無,21000000,60141,,0.0,0,,RPPOMLOLLHKFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛四街91~120號,6.36,住,,,10403,土地1建物1車位0,五層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840919,32.7,1,1,1,有,有,1600000,48930,,0.0,0,,RPXNMLPLLHKFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中央路三段271~300號,131.59,住,,,10402,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0800103,237.19,0,0,3,有,無,11500000,48484,,0.0,0,,RPQPMLQLLHKFFAU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛四街31~60號,8.51,住,,,10403,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830811,36.0,1,1,1,有,有,980000,27222,,0.0,0,,RPQOMLRLLHKFFAU96CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉全民街121~150號,54.36,,鄉村區,乙種建築用地,10401,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880414,142.13,4,2,2,有,無,3100000,21811,,0.0,0,,RPSOMLKMLHKFFAU56CA
光復鄉,土地,大和段751~780地號,64.94,,鄉村區,乙種建築用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,4620,,0.0,0,,RPUNMLPLLHKFFBU17CA
壽豐鄉,土地,豐南段1681~1710地號,3454.08,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5850000,1694,,0.0,0,,RPWPMLRKLHKFFAU77EA
秀林鄉,土地,德布克段991~1020地號,2029.2,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,419,,0.0,0,,RPOQMLRKLHKFFAU07EA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉中興街163巷1~30號,203.31,,一般農業區,甲種建築用地,10402,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0680115,90.45,5,2,4,有,無,3000000,33167,,0.0,0,,RPRNMLTKLHKFFAU27EA
秀林鄉,土地,加灣段181~210地號,96.87,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,7226,,0.0,0,,RPUQMLOLLHKFFAU37DA
壽豐鄉,土地,吳全段751~780地號,607.83,農,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1645,,0.0,0,親友、員工或其他特殊關係間之交易;與104年花資登字第59450關連件,RPQNMLPLLHKFFAU76DA
秀林鄉,土地,德布克段781~810地號,2004.55,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,299,,0.0,0,,RPOPMLRKLHKFFAU96EA
玉里鎮,房地(土地+建物),花蓮縣玉里鎮主權街50巷1~30號,67.0,住,,,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0680301,82.48,3,1,2,有,無,2450000,29704,,0.0,0,本買賣價金包含奢侈稅稅金(367500元),RPRNMLSKLHKFFCU17CA
瑞穗鄉,土地,溫泉段751~780地號,3082.93,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18200000,5903,,0.0,0,,RPQNMLTKLHKFFCU17CA
萬榮鄉,土地,馬遠段91~120地號,12375.0,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,73,,0.0,0,親友、員工或其他特殊關係間之交易。權利人三位。,RPPNMLTKLHKFFBU96CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿富強路31~60號,10.41,住,,,10403,土地1建物1車位0,六層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840608,69.47,1,1,1,有,有,2600000,37426,,0.0,0,,RPQNMLKLMHKFFAU88CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中和街211~240號,8.63,住,,,10403,土地2建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890807,65.88,1,1,1,有,有,2500000,37948,,0.0,0,,RPPNMLPKMHKFFAU56CA
新城鄉,房地(土地+建物),花蓮縣新城鄉大方街1~30號,107.24,,鄉村區,乙種建築用地,10402,土地3建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0700409,101.02,3,2,2,有,無,2400000,23758,,0.0,0,,RPQNMLQKMHKFFAU76CA
秀林鄉,土地,上崇德段631~660地號,899.62,住,,,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,2668,,0.0,0,,RPTOMLKMLHKFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中興路1~30號,9.59,商,,,10401,土地1建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,95.94999999999999,2,2,1,有,無,3600000,37520,,0.0,0,,RPXNMLLMLHKFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕七街1~30號,94.0,商,,,10402,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0931027,206.53,5,1,4,有,無,14000000,67787,,0.0,0,,RPOOMLRLLHKFFAU76CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿豐村91~120號,203.17,農,,,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0960518,244.62,3,1,3,有,無,13500000,55188,,0.0,0,,RPPOMLRLLHKFFAU86CA
壽豐鄉,土地,政明段631~660地號,267.4,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2970000,11107,,0.0,0,,RPSQMLOLLHKFFAU07CA
花蓮市,土地,民心段451~480地號,1430.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20763600,14520,,0.0,0,,RPSOMLLMLHKFFAU66CA
花蓮市,土地,民心段451~480地號,115.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1669800,14520,,0.0,0,,RPTOMLLMLHKFFAU76CA
花蓮市,土地,民心段451~480地號,1466.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21286320,14520,,0.0,0,,RPUOMLLMLHKFFAU86CA
花蓮市,土地,民心段451~480地號,79.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1147080,14520,,0.0,0,,RPVOMLLMLHKFFAU96CA
吉安鄉,土地,廣賢段421~450地號,762.83,,一般農業區,農牧用地,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2530000,3317,,0.0,0,,RPROMLKMLHKFFAU09CA
花蓮市,土地,民心段451~480地號,1544.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22418880,14520,,0.0,0,,RPVPMLLMLHKFFAU07CA
花蓮市,土地,民心段451~480地號,95.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1379400,14520,,0.0,0,,RPWPMLLMLHKFFAU17CA
花蓮市,土地,民心段451~480地號,956.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13881120,14520,,0.0,0,,RPXPMLLMLHKFFAU27CA
花蓮市,土地,民心段451~480地號,294.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4268880,14520,,0.0,0,,RPRNMLLJMHKFFAU88CA
花蓮市,土地,民心段451~480地號,551.0,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000520,14520,,0.0,0,,RPTNMLLJMHKFFAU09CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿富安路121~150號,25.45,住,,,10403,土地3建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850123,120.03,2,1,1,有,無,5500000,45822,,0.0,0,屋內有重新整理裝潢,RPVOMLMJMHKFFAU86CA
吉安鄉,房地(土地+建物)+車位,花蓮縣吉安鄉舊村四街12巷1~30號,96.0,住,,,10312,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,0940719,155.96,4,2,3,有,無,3020000,19364,一樓平面,0.0,0,本不動產交易係屬近親間之買賣行為。,RPQNMLQJMHKFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛四街91~120號,6.48,住,,,10403,土地1建物1車位0,六層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840919,23.37,1,1,1,有,無,1580000,67608,,0.0,0,,RPTNMLQJMHKFFAU96CA
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里二街91~120號,175.67,住,,,10402,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1040109,215.31,3,2,4,有,無,9800000,45516,,0.0,0,,RPSOMLNLLHKFFAU76CA
壽豐鄉,土地,潭北段1~30地號,55.99,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25196,450,,0.0,0,,RPUOMLNLLHKFFAU96CA
吉安鄉,房地(土地+建物),花蓮縣花蓮巿仁光91~120號,164.9,,特定農業區,甲種建築用地,10403,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0710227,97.1,3,2,1,有,無,3800000,39135,,0.0,0,,RPSPMLKLLHKFFAU56CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海十街181~210號,758.85,農,,,10303,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1031229,276.5,5,2,5,有,無,21500000,77758,,0.0,0,,RPWNMLTKLHKFFAU57CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東昌村東海十一街1~30號,63.0,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660914,87.78,3,2,2,有,無,1600000,18227,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLSKLHKFFAU47CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉大坑61~90號,469.0,,風景區,農牧用地,10403,土地1建物1車位0,一層，二層，三層,3,農舍,農舍,鋼筋混凝土造,1040211,129.12,6,1,1,有,無,2400000,,,0.0,0,農地配蓋房地交易總價不含建物,RPPNMLTKLHKFFAU86CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉大學路二段63巷31~60號,998.14,農,,,10402,土地2建物1車位0,一層，二層,2,農舍,農舍,鋼骨鋼筋混凝土造,0930728,195.69,15,1,15,有,無,15000000,,,0.0,0,,RPSOMLRKLHKFFAU07CA
吉安鄉,土地,光英段631~660地號,4066.88,,一般農業區,農牧用地,10401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12915000,3176,,0.0,0,,RPTNMLSKLHKFFAU17CA
花蓮市,土地,主權段661~690地號,166.0,商,,,10401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29800000,179518,,0.0,0,,RPOOMLSKLHKFFAU76CA
花蓮市,土地,功學段421~450地號,5139.06,農,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32600000,6344,,0.0,0,,RPPOMLSKLHKFFAU86CA
壽豐鄉,土地,平和段1381~1410地號,34566.53,農,,,10402,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62500000,1808,,0.0,0,,RPUNMLTKLHKFFAU37CA
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉四維路1~30號,112.62,,一般農業區,甲種建築用地,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0831115,223.98,4,2,3,有,無,4000000,17859,,0.0,0,,RPOOMLTKLHKFFAU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國聯五路1~30號,12.27,商,,,10402,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761104,48.220000000000006,2,1,1,有,有,1010000,20946,,0.0,0,,RPPNMLKLLHKFFAU68CA
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉里三街91~120號,94.0,住,,,10403,土地1建物1車位0,一層，二層，三層，騎樓,3,店面(店鋪),住商用,鋼筋混凝土造,0820107,189.01,4,2,3,有,無,6300000,33332,,0.0,0,,RPPOMLNLLHKFFAU09CA
吉安鄉,土地,光英段721~750地號,3507.67,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12700000,3621,,0.0,0,,RPXNMLKLLHKFFAU86CA
壽豐鄉,土地,豐南段1681~1710地號,2997.6,,一般農業區,農牧用地,10309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5889000,1965,,0.0,0,,RPRNMLNLLHKFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富十五街1~30號,99.0,住,,,10402,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0810127,292.28,5,1,4,有,無,10800000,36951,,0.0,0,,RPSPMLPLLHKFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿長安街1~30號,10.1,住,,,10403,土地1建物1車位0,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,71.61,2,1,1,有,有,2770000,38682,,0.0,0,,RPRQMLPLLHKFFAU07CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美十三街31~60號,9.37,住,,,10403,土地2建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830202,49.59,1,1,1,有,有,2330000,46985,,0.0,0,,RPQPMLOLLHKFFAU76CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿長安街1~30號,2.0,住,,,10403,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851029,71.61,2,1,1,有,無,2600000,36308,,0.0,0,,RPUOMLMJMHKFFAU76CA
壽豐鄉,土地,下月段151~180地號,16259.98,,森林區,林業用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2459000,151,,0.0,0,,RPQPMLLMLHKFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿建國路二段811~840號,215.09,住,,,10401,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030724,314.06,5,2,5,有,無,17650000,56199,,0.0,0,,RPPNMLQKMHKFFAU66CA
壽豐鄉,土地,忠孝段1051~1080地號,2632.74,農,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8200000,3115,,0.0,0,,RPUOMLSJMHKFFAU37CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉明仁二街211~240號,93.0,住,,,10401,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660627,108.46,4,2,2,有,無,5800000,53476,,0.0,0,含增建。,RPRPMLRJMHKFFAU07CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南昌北路1~30號,10.98,住,,,10403,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840414,37.04,1,1,1,有,有,1650000,44546,,0.0,0,,RPVNMLSJMHKFFAU37CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿建國路二段811~840號,223.1,住,,,10401,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1030724,315.15,5,2,5,有,無,17650000,56005,,0.0,0,,RPUNMLKLMHKFFAU66CA
秀林鄉,土地,格督尚段271~300地號,2501.21,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3650000,1459,,0.0,0,,RPROMLKLMHKFFAU09CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉豐路三段667巷2弄1~30號,139.74,,鄉村區,乙種建築用地,10402,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0730528,139.7,4,1,3,有,無,5700000,40802,,0.0,0,,RPSPMLRKMHKFFAU27CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿國興五街121~150號,82.0,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1020110,180.61,4,3,5,有,無,11500000,63673,,0.0,0,,RPSOMLOLLHKFFAU96DA
花蓮市,房地(土地+建物),花蓮縣花蓮巿沙基拉雅街39巷30弄91~120號,85.75,,一般農業區,甲種建築用地,10402,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0860429,187.08,5,2,4,有,無,4200000,22450,,0.0,0,,RPTNMLTKLHKFFAU47EA
壽豐鄉,房地(土地+建物)+車位,花蓮縣壽豐鄉志學新?1~30號,56.27,住,,,10403,土地4建物1車位1,四層，五層，見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,152.85,4,2,2,有,有,3200000,20936,坡道平面,13.4,0,,RPOOMLTKLHKFFAU07EA
花蓮市,土地,主商段1351~1380地號,130.0,住,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5269000,40531,,0.0,0,,RPSNMLKLLHKFFAU56EA
新城鄉,土地,嘉平段271~300地號,103.0,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3068889,29795,,0.0,0,國有地買賣,RPOOMLKLLHKFFAU88EA
富里鄉,土地,�肮q211~240地號,6882.0,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,727,,0.0,0,,RPPNMLPLLHKFFCU76CA
新城鄉,房地(土地+建物),花蓮縣新城鄉康樂路168巷1~30號,54.63,,鄉村區,乙種建築用地,10403,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660331,69.6,2,2,2,有,無,1600000,22989,,0.0,0,,RPVOMLOKMHKFFAU17CA
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路61~90號,104.0,住,,,10312,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0831003,226.39,4,1,3,有,無,7700000,34012,,0.0,0,,RPPOMLKMLHKFFAU88CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿化道路89巷1~30號,15.37,住,,,10402,土地1建物1車位0,一層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830401,110.11,2,1,1,有,有,3780000,34329,,0.0,0,,RPPPMLOLLHKFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿華興街1~30號,25.3,住,,,10402,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820305,100.06,3,2,1,有,無,3700000,36978,,0.0,0,,RPPNMLQLLHKFFAU66CA
花蓮市,房地(土地+建物),花蓮縣花蓮巿忠孝街61~90號,24.41,住,,,10401,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850305,101.77,3,1,1,有,無,3850000,37830,,0.0,0,,RPUOMLPLLHKFFAU17CA
