編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLSKLHKFFAU96CA,,352.46,住家用,鋼筋混凝土造,103年12月19日,004,一層 二層 三層 四層 見其他登記事項
RPUOMLSKLHKFFAU37CA,,459.20,住家用,鋼筋混凝土造,103年10月6日,005,三層 四層 一層 二層 五層 騎樓 見其他登記事項
RPPOMLTKLHKFFAU96CA,12,274.54,住家用,鋼筋混凝土造,92年5月16日,004,見其他登記事項 一層 二層 三層 四層
RPUNMLNLLHKFFAU86CA,26,49.04,住家用,鋼筋混凝土造,78年6月3日,005,五層
RPUNMLNLLHKFFAU86CA,26,4.72,共有部份,鋼筋混凝土造,78年6月3日,005
RPUNMLNLLHKFFAU86CA,26,5.13,共有部份,鋼筋混凝土造,78年6月3日,005
RPVNMLNLLHKFFAU96CA,16,113.78,住家用,鋼筋混凝土造,88年5月20日,004,三層 四層 見其他登記事項
RPVNMLNLLHKFFAU96CA,16,18.77,共有部份,鋼筋混凝土造,88年5月20日,004
RPVNMLNLLHKFFAU96CA,16,14.25,停車空間,鋼筋混凝土造,88年5月20日,004
RPVNMLNLLHKFFAU96CA,16,21.05,共有部份,鋼筋混凝土造,88年5月20日,004
RPPOMLOLLHKFFAU56CA,27,349.18,住商用,鋼筋混凝土造,76年12月17日,004,一層 二層 三層 四層 屋頂突出物 地下層 見其他登記事項
RPXNMLPLLHKFFAU37CA,19,22.98,住家用,鋼筋混凝土造,84年9月19日,006,五層
RPXNMLPLLHKFFAU37CA,19,9.72,共有部份,鋼筋混凝土造,84年9月19日,006
RPQPMLQLLHKFFAU96CA,24,237.19,見其他登記事項,鋼筋混凝土造,80年1月3日,003,一層 二層 三層 屋頂突出物 見其他登記事項
RPQOMLRLLHKFFAU96CA,21,22.99,住家用,鋼筋混凝土造,83年8月11日,008,四層
RPQOMLRLLHKFFAU96CA,21,13.01,共有部份,鋼筋混凝土造,83年8月11日,008
RPSOMLKMLHKFFAU56CA,16,120.96,住家用,鋼筋混凝土造,88年4月14日,005,五層
RPSOMLKMLHKFFAU56CA,16,12.91,共有部份,鋼筋混凝土造,88年4月14日,005
RPSOMLKMLHKFFAU56CA,16,8.26,共有部份,鋼筋混凝土造,88年4月14日,005
RPRNMLTKLHKFFAU27EA,36,90.45,住家用,鋼筋混凝土加強磚造,68年1月15日,001,一層 騎樓
RPRNMLSKLHKFFCU17CA,36,82.48,住家用,鋼筋混凝土造,68年3月1日,002,一層 二層
RPQNMLKLMHKFFAU88CA,20,39.38,住家用,鋼筋混凝土造,84年6月8日,007,六層
RPQNMLKLMHKFFAU88CA,20,8.32,共有部份,鋼筋混凝土造,84年6月8日,007
RPQNMLKLMHKFFAU88CA,20,7.80,共有部份,鋼筋混凝土造,84年6月8日,007
RPQNMLKLMHKFFAU88CA,20,13.97,停車空間,鋼筋混凝土造,84年6月8日,007
RPPNMLPKMHKFFAU56CA,15,45.75,住家用,鋼筋混凝土造,89年8月7日,012,五層
RPPNMLPKMHKFFAU56CA,15,11.80,共有部份,鋼筋混凝土造,89年8月7日,015
RPPNMLPKMHKFFAU56CA,15,.40,共有部份,鋼筋混凝土造,89年8月7日,015
RPPNMLPKMHKFFAU56CA,15,7.94,共有部份,鋼筋混凝土造,89年8月7日,012
RPQNMLQKMHKFFAU76CA,34,101.02,住商用,鋼筋混凝土加強磚造,70年4月9日,002,一層 二層 騎樓
RPXNMLLMLHKFFAU07CA,18,19.90,共有部份,鋼筋混凝土造,86年7月18日,012
RPXNMLLMLHKFFAU07CA,18,76.05,住家用,鋼筋混凝土造,86年7月18日,012,九層
RPOOMLRLLHKFFAU76CA,10,206.53,住家用,鋼筋混凝土造,93年10月27日,004,一層 二層 三層 四層
RPPOMLRLLHKFFAU86CA,8,244.62,住家用,鋼筋混凝土造,96年5月18日,003,二層 一層 三層
RPVOMLMJMHKFFAU86CA,19,85.43,住家用,鋼筋混凝土造,85年1月23日,007,三層
RPVOMLMJMHKFFAU86CA,19,34.60,共有部份,鋼筋混凝土造,85年1月23日,007
RPQNMLQJMHKFFAU66CA,9,155.96,住家用,鋼筋混凝土造,94年7月19日,003,一層 二層 三層
RPTNMLQJMHKFFAU96CA,19,23.37,住家用,鋼筋混凝土造,84年9月19日,006,六層
RPSOMLNLLHKFFAU76CA,,215.31,住家用,鋼筋混凝土造,104年1月9日,003,一層 二層 三層 見其他登記事項
RPSPMLKLLHKFFAU56CA,33,97.10,住家用,鋼筋混凝土加強磚造,71年2月27日,001,一層 夾層
RPWNMLTKLHKFFAU57CA,1,261.68,住家用,鋼筋混凝土造,103年12月29日,004,一層 二層 三層 四層 見其他登記事項
RPWNMLTKLHKFFAU57CA,1,14.82,共有部份,鋼筋混凝土造,103年12月29日,004
RPVOMLSKLHKFFAU47CA,37,87.78,住家用,鋼筋混凝土加強磚造,66年9月14日,002,一層 二層 騎樓
RPPNMLTKLHKFFAU86CA,,129.12,農舍,鋼筋混凝土造,104年2月11日,003,一層 二層 三層
RPSOMLRKLHKFFAU07CA,11,195.69,農舍,鋼骨鋼筋混凝土造,93年7月28日,002,一層 二層
RPOOMLTKLHKFFAU86CA,20,223.98,住家用,鋼筋混凝土造,83年11月15日,003,三層 屋頂突出物 一層 二層
RPPNMLKLLHKFFAU68CA,27,36.59,住家用,鋼筋混凝土造,76年11月4日,007,五層
RPPNMLKLLHKFFAU68CA,27,11.63,共有部份,鋼筋混凝土造,76年11月4日,007
RPPOMLNLLHKFFAU09CA,22,189.01,住商用,鋼筋混凝土造,82年1月7日,003,一層 二層 三層 騎樓
RPSPMLPLLHKFFAU07CA,23,292.28,見其他登記事項,鋼筋混凝土造,81年1月27日,004,一層 二層 三層 四層 儲藏室 見其他登記事項
RPRQMLPLLHKFFAU07CA,18,49.93,住家用,鋼筋混凝土造,85年10月29日,016,七層
RPRQMLPLLHKFFAU07CA,18,8.46,共有部份,鋼筋混凝土造,85年10月29日,016
RPRQMLPLLHKFFAU07CA,18,13.21,共有部份,鋼筋混凝土造,85年10月29日,016
RPQPMLOLLHKFFAU76CA,21,37.75,住家用,鋼筋混凝土造,83年2月2日,007,六層
RPQPMLOLLHKFFAU76CA,,11.84,共有部份,鋼筋混凝土造,,007
RPUOMLMJMHKFFAU76CA,18,49.93,住家用,鋼筋混凝土造,85年10月29日,016,六層
