鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
卑南鄉,土地,龍過脈段301~330地號,1479.17,,山坡地保育區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1014,,0.0,0,,RPQNMLRKLHKFFAV86CA
台東市,房地(土地+建物),臺東縣臺東巿仁五街31~60號,12.75,住,,,10402,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0821019,74.43,3,2,2,有,無,2320000,31170,,0.0,0,,RPXNMLRKLHKFFAV57CA
台東市,土地,馬蘭段1531~1560地號,122.0,住,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6640000,54426,,0.0,0,,RPOOMLRKLHKFFAV76CA
台東市,房地(土地+建物),臺東縣臺東巿正氣北路104巷22弄1~30號,80.0,住,,,10403,土地1建物1車位0,全,2,透天厝,住家用,見其他登記事項,0621105,93.98,4,2,1,有,無,3350000,35646,,0.0,0,,RPQNMLSKLHKFFAV96CA
台東市,房地(土地+建物),臺東縣臺東巿大同路76巷1~30號,71.0,住,,,10402,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0680108,81.03,3,2,2,有,無,2320000,28631,,0.0,0,,RPRNMLSKLHKFFAV07CA
台東市,房地(土地+建物),臺東縣臺東巿新站路14巷1~30號,115.95,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,1030814,193.34,5,2,5,有,無,8500000,43964,,0.0,0,,RPQNMLTKLHKFFAV07CA
台東市,土地,建國段631~660地號,232.82,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,3651,,0.0,0,,RPQNMLQKLHKFFAV76CA
台東市,房地(土地+建物),臺東縣臺東巿仁昌街61~90號,16.99,住,,,10403,土地1建物1車位0,九層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0871216,135.13,3,2,2,有,無,3130000,23163,,0.0,0,,RPTNMLRLLHKFFAV27CA
台東市,房地(土地+建物),臺東縣臺東巿更生北路709巷31~60號,100.85,住,,,10401,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0770513,124.64,3,1,2,有,無,3200000,25674,,0.0,0,,RPRNMLMJMHKFFAV09CA
太麻里鄉,土地,泰德段271~300地號,3835.5,農,,,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,704,,0.0,0,,RPQNMLSKLHKFFDV27CA
成功鎮,土地,沙泥灣段1~30地號,6591.85,,風景區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,683,,0.0,0,,RPUNMLRKLHKFFBV47DA
池上鄉,土地,萬福段1081~1110地號,4770.67,,特定農業區,農牧用地,10101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6350000,1331,,0.0,0,,RPPNMLPKMHKFFCV96DA
關山鎮,土地,電光段661~690地號,129.06,,鄉村區,乙種建築用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,1550,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLSKLHKFFCV17DA
池上鄉,土地,新興段241~270地號,1986.03,,特定農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4660000,2346,,0.0,0,,RPQNMLSKLHKFFCV27DA
關山鎮,土地,水井段1141~1170地號,2567.07,,特定農業區,農牧用地,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,1948,,0.0,0,,RPSNMLSKLHKFFCV47DA
台東市,土地,石川段241~270地號,704.51,,風景區,丙種建築用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2770000,3932,,0.0,0,,RPTNMLTKLHKFFAV47DA
池上鄉,土地,慶福段481~510地號,517.89,住,,,10310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6149970,11875,,0.0,0,土地交換,RPPNMLNKMHKFFCV66CA
