編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLRKLHKFFAV86CA,龍過脈段,1479.17,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLRKLHKFFAV57CA,馬蘭段,12.75,都市：住
RPOOMLRKLHKFFAV76CA,馬蘭段,122.00,都市：住
RPQNMLSKLHKFFAV96CA,自強段,80.00,都市：住
RPRNMLSKLHKFFAV07CA,台東段,71.00,都市：住
RPQNMLTKLHKFFAV07CA,岩灣段,115.95,都市：住
RPQNMLQKLHKFFAV76CA,建國段,232.82,都市：住
RPTNMLRLLHKFFAV27CA,常德段,16.99,都市：住
RPRNMLMJMHKFFAV09CA,普優瑪段,100.85,都市：住
RPQNMLSKLHKFFDV27CA,泰德段,2051.25,都市：農
RPQNMLSKLHKFFDV27CA,泰德段,1784.25,都市：農
RPUNMLRKLHKFFBV47DA,沙泥灣段,1161.92,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLRKLHKFFBV47DA,沙泥灣段,3002.95,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLRKLHKFFBV47DA,沙泥灣段,1330.98,非都市：風景區 ; 非都市編定：農牧用地
RPUNMLRKLHKFFBV47DA,沙泥灣段,1096.00,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLPKMHKFFCV96DA,萬福段,2238.83,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPKMHKFFCV96DA,萬福段,2531.84,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLSKLHKFFCV17DA,電光段,129.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSKLHKFFCV27DA,新興段,1986.03,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLSKLHKFFCV47DA,水井段,2567.07,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLTKLHKFFAV47DA,石川段,704.51,非都市：風景區 ; 非都市編定：丙種建築用地
RPPNMLNKMHKFFCV66CA,慶福段,517.89,都市：住
RPQNMLNKMHKFFBV66CA,忠勇段,146.28,都市：住
RPPNMLRKLHKFFAV76CA,豐年段,63.09,都市：住
RPTNMLSKLHKFFAV27CA,自強段,143.94,都市：住
RPXNMLTKLHKFFAV77CA,利家段,1000.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLKLLHKFFAV78CA,下賓朗段,79.19,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLKLLHKFFAV78CA,下賓朗段,165.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLKLLHKFFAV98CA,台東段,11.77,都市：住
RPVNMLKLLHKFFAV76CA,射馬干段,5035.85,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLTKLHKFFAV17CA,岩灣段,134.97,都市：住
RPOOMLMJMHKFFAV88CA,馬蘭段,120.00,都市：住
RPPNMLNKMHKFFBV56CA,東柄段,3368.52,非都市：風景區 ; 非都市編定：農牧用地
RPPNMLNKMHKFFBV56CA,東柄段,3368.51,非都市： ; 非都市編定：
RPPNMLNKMHKFFBV56CA,東柄段,3368.52,非都市： ; 非都市編定：
RPPNMLNKMHKFFBV56CA,東柄段,3368.52,非都市： ; 非都市編定：
RPPNMLTKLHKFFBV07CA,忠智段,54.26,都市：住
RPPNMLLJMHKFFDV09CA,大鳥段,7370.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
