鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
金城鎮,土地,北一段121~150地號,1000.15,農,,,10402,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,17997,,0.0,0,,RPPNMLRKLHKFFAW96DA
金沙鎮,土地,蔡厝劃測段301~330地號,500.03,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,3200,,0.0,0,,RPPNMLSKLHKFFAW07DA
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉安岐121~150號,125.5,住,,,10403,土地1建物1車位2,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030829,324.89,5,1,4,有,無,13200000,40629,坡道平面,0.0,0,,RPQNMLMJMHKFFAW09CA
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉安岐121~150號,108.16,住,,,10312,土地1建物1車位2,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030829,298.27,5,1,4,有,無,11860000,39763,坡道平面,0.0,0,,RPUNMLRKLHKFFAW37CA
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后481~510號,96.03,住,,,10403,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030623,222.88,3,2,3,有,無,13800000,61917,,0.0,0,,RPSNMLOLLHKFFAW96CA
金沙鎮,土地,蔡厝劃測段211~240地號,615.36,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,4550,,0.0,0,,RPQNMLKMLHKFFAW09CA
金沙鎮,土地,浯坑劃測段121~150地號,600.0,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3650000,6083,,0.0,0,,RPPNMLKLLHKFFAW88CA
金城鎮,土地,山前段1051~1080地號,200.0,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,15000,,0.0,0,,RPQNMLKLLHKFFAW98CA
金湖鎮,土地,中四劃段61~90地號,322.0,農,,,10310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,1615,,0.0,0,親友間之交易。,RPRNMLNLLHKFFAW76CA
金湖鎮,土地,中四劃段151~180地號,674.06,農,,,10310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1080000,1602,,0.0,0,親友間之交易。,RPSNMLNLLHKFFAW86CA
金城鎮,房地(土地+建物),金門縣金城鎮民權路70巷11弄1~30號,19.0,住,,,10403,土地1建物1車位0,三層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1010509,38.08,1,1,1,有,無,3000000,78782,,0.0,0,,RPUNMLPLLHKFFAW27CA
金寧鄉,土地,寧安四劃段481~510地號,860.0,農,,,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,5233,,0.0,0,,RPQNMLOKMHKFFAW76CA
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后481~510號,96.03,住,,,10403,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1030623,222.88,3,2,3,有,無,13500000,60571,,0.0,0,,RPUNMLRKMHKFFAW47CA
金城鎮,房地(土地+建物),金門縣金城鎮夏墅1~30號,42.0,其他,,,10403,土地0建物1車位0,一層,3,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040105,77.14999999999999,2,1,2,有,無,3500000,45366,,0.0,0,,RPVNMLLMLHKFFAW17DA
金城鎮,房地(土地+建物),金門縣金湖鎮西海路三段22巷6弄61~90號,74.88,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0840906,207.82,3,1,2,有,無,4000000,19247,,0.0,0,,RPPNMLPLLHKFFAW76CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下埔下121~150號,91.84,其他,,,10403,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1031124,145.57,5,2,4,有,無,11000000,75565,,0.0,0,,RPSNMLPLLHKFFAW07CA
金湖鎮,土地,夏興段1261~1290地號,303.0,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,33003,,0.0,0,,RPQOMLPLLHKFFAW96CA
金寧鄉,土地,湖下村段241~270地號,284.0,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,26408,,0.0,0,另有買受人、土地增值稅：1031925元由買方支付。,RPQNMLQLLHKFFAW96CA
金城鎮,土地,水頭段541~570地號,488.89,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,7977,,0.0,0,,RPVNMLPLLHKFFAW37CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下埔下1~30號,245.88,其他,,,10401,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0980420,297.71,5,4,5,有,無,15000000,50385,,0.0,0,,RPWNMLPLLHKFFAW47CA
烈嶼鄉,土地,楊厝測段721~750地號,492.04,農,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3125600,6352,,0.0,0,,RPWNMLOLMHKFFAW57DA
金湖鎮,房地(土地+建物),金門縣金湖鎮黃海路1021~1050號,85.89,商,,,10403,土地2建物1車位0,一層，二層，三層，四層，屋頂突出物，地下層,4,其他,見其他登記事項,鋼筋混凝土造,0850509,245.12,50,2,50,有,無,12900000,52627,,0.0,0,,RPXNMLLLMHKFFAW37DA
