編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLMJMHKFFAW09CA,1,231.24,見其他登記事項,鋼筋混凝土造,103年8月29日,003,一層 二層 三層 地下一層
RPQNMLMJMHKFFAW09CA,1,93.65,見其他登記事項,鋼筋混凝土造,103年8月29日,003
RPUNMLRKLHKFFAW37CA,,205.29,見其他登記事項,鋼筋混凝土造,103年8月29日,003,一層 二層 三層 地下一層
RPUNMLRKLHKFFAW37CA,,92.98,見其他登記事項,鋼筋混凝土造,103年8月29日,003
RPSNMLOLLHKFFAW96CA,1,222.88,見其他登記事項,鋼筋混凝土造,103年6月23日,003,一層 二層 三層 地下一層 見其他登記事項
RPUNMLPLLHKFFAW27CA,3,38.08,見其他登記事項,鋼筋混凝土造,101年5月9日,004,三層
RPUNMLRKMHKFFAW47CA,1,222.88,見其他登記事項,鋼筋混凝土造,103年6月23日,003,一層 二層 三層 地下一層 見其他登記事項
RPVNMLLMLHKFFAW17DA,,66.71,見其他登記事項,鋼筋混凝土造,104年1月5日,003,一層
RPVNMLLMLHKFFAW17DA,,10.44,見其他登記事項,鋼筋混凝土造,104年1月5日,003
RPPNMLPLLHKFFAW76CA,19,207.82,住家用,鋼筋混凝土加強磚造,84年9月6日,003,一層 二層 三層
RPSNMLPLLHKFFAW07CA,,145.57,住家用,鋼筋混凝土造,103年11月24日,003,一層 二層 三層
RPWNMLPLLHKFFAW47CA,6,297.71,見其他登記事項,鋼筋混凝土造,98年4月20日,003,一層 二層 三層
RPXNMLLLMHKFFAW37DA,19,245.12,見其他登記事項,鋼筋混凝土造,85年5月9日,004,一層 二層 三層 四層 屋頂突出物 地下層
