鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
馬公市,房地(土地+建物),澎湖縣馬公巿鎖管港61~90號,135.64,住,,,10401,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1011214,235.42,5,1,5,有,無,7200000,30584,,0.0,0,,RPUNMLQKLHKFFAX37CA
馬公市,土地,山水東段661~690地號,446.41,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,5152,,0.0,0,,RPPNMLRKLHKFFAX07DA
馬公市,土地,海堤段541~570地號,7.26,住,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,87800,12094,,0.0,0,,RPWNMLRKLHKFFAX77DA
湖西鄉,土地,許家段31~60地號,1605.92,,一般農業區,農牧用地,10402,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,3020,,0.0,0,,RPQNMLMLLHKFFAX76DA
馬公市,房地(土地+建物),澎湖縣馬公巿信義路31~60號,68.0,住,,,10312,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0780706,170.8,4,1,3,有,無,8800000,51522,,0.0,0,,RPPNMLNLLHKFFAX76DA
馬公市,土地,安宅段1711~1740地號,1111.42,,一般農業區,農牧用地,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4049,,0.0,0,,RPRNMLTKLHKFFAX37CA
馬公市,土地,文化段331~360地號,34.81,住,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,696168,19999,,0.0,0,,RPTNMLTKLHKFFAX57CA
馬公市,房地(土地+建物),澎湖縣馬公巿朝陽路61~90號,26.64,住,,,10403,土地4建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,149.68,3,2,2,有,無,4220000,28193,,0.0,0,,RPWNMLMLLHKFFAX27CA
馬公市,土地,國宅段361~390地號,1363.51,,一般農業區,農牧用地,10403,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,2200,,0.0,0,,RPSNMLTKLHKFFAX47CA
馬公市,土地,五福段931~960地號,285.11,農,,,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1709093,5995,,0.0,0,權利人等7人親友、員工或其他特殊關係間之交易。,RPPNMLKLLHKFFAX09DA
