編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLQKLHKFFAX37CA,2,235.42,住家用,鋼筋混凝土造,101年12月14日,003,一層 二層 三層 見其他登記事項
RPPNMLNLLHKFFAX76DA,25,170.80,住家用,鋼筋混凝土造,78年7月6日,003,一層 二層 三層 電梯樓梯間 地下層
RPWNMLMLLHKFFAX27CA,21,113.85,住家用,鋼筋混凝土造,83年5月9日,007,二層
RPWNMLMLLHKFFAX27CA,21,1.86,見其他登記事項,鋼筋混凝土造,83年5月9日,007
RPWNMLMLLHKFFAX27CA,21,11.37,見其他登記事項,鋼筋混凝土造,83年5月9日,007
RPWNMLMLLHKFFAX27CA,21,22.60,見其他登記事項,鋼筋混凝土造,83年5月9日,007
RPQNMLOLLHKFFAX86CA,39,81.68,住家用,鋼筋混凝土加強磚造,65年8月7日,002,一層 二層
RPSNMLPLLHKFFAX27DA,37,74.04,住家用,鋼筋混凝土加強磚造,66年10月4日,002,一層 二層 電梯樓梯間
RPQNMLLMLHKFFAX66CA,40,43.60,住家用,鋼筋混凝土加強空心磚造,64年7月24日,002,一層 二層
RPRNMLQKMHKFFAX17CA,9,112.45,見其他登記事項,鋼筋混凝土造,95年7月10日,014,五層
RPRNMLQKMHKFFAX17CA,9,72.68,共用部份,鋼筋混凝土造,95年7月10日,014
RPQOMLKMLHKFFAX66CA,19,207.19,住家用,鋼筋混凝土造,84年12月30日,004,一層 二層 三層 四層
