編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUNMLQKLHKFFAX37CA,國宅段,135.64,都市：住
RPPNMLRKLHKFFAX07DA,山水東段,446.41,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLRKLHKFFAX77DA,海堤段,7.26,都市：住
RPQNMLMLLHKFFAX76DA,許家段,1605.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNLLHKFFAX76DA,馬公段,68.00,都市：住
RPRNMLTKLHKFFAX37CA,安宅段,1111.42,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLTKLHKFFAX57CA,文化段,34.81,都市：住
RPWNMLMLLHKFFAX27CA,埕東段,7.15,都市：住
RPWNMLMLLHKFFAX27CA,埕東段,.12,都市：住
RPWNMLMLLHKFFAX27CA,埕東段,2.18,都市：住
RPWNMLMLLHKFFAX27CA,埕東段,17.18,都市：住
RPSNMLTKLHKFFAX47CA,國宅段,1319.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLTKLHKFFAX47CA,國宅段,44.51,都市：住
RPPNMLKLLHKFFAX09DA,四維段,86.24,都市：農
RPPNMLKLLHKFFAX09DA,四維段,107.88,都市：農
RPPNMLKLLHKFFAX09DA,五福段,90.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLMLLHKFFAX86DA,七美二段,996.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLLHKFFAX07DA,五德東段,692.46,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOLLHKFFAX07DA,五德東段,19.21,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLOLLHKFFAX07DA,五德東段,15.49,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLOLLHKFFAX07DA,五德東段,31.14,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLOLLHKFFAX86CA,埕中段,70.05,都市：住
RPQNMLPLLHKFFAX96CA,安宅段,206.64,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQNMLPLLHKFFAX96CA,安宅段,39.64,非都市：一般農業區 ; 非都市編定：交通用地
RPWNMLPLLHKFFAX57CA,鐵線段,172.32,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRLLHKFFAX27CA,外垵一段,171.94,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLRLLHKFFAX27CA,外垵一段,63.41,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLRJMHKFFAX17CA,五福段,224.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,224.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,225.73,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLRJMHKFFAX17CA,五福段,226.26,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLRJMHKFFAX37CA,光榮段,282.04,都市：住
RPPNMLPLLHKFFAX96DA,竹篙灣段,103.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLPLLHKFFAX96DA,竹篙灣段,649.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLPLLHKFFAX27DA,埕東段,65.80,都市：住
RPUNMLSJMHKFFAX57CA,吉貝西段,72.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLQLLHKFFAX07DA,興崁段,4692.24,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLKMLHKFFAX07DA,二崁南段,39.16,都市：其他
RPUNMLKMLHKFFAX07DA,二崁南段,50.86,都市：其他
RPVNMLKMLHKFFAX17DA,二崁南段,.20,都市：其他
RPVNMLKMLHKFFAX17DA,二崁南段,.20,都市：其他
RPVNMLKMLHKFFAX17DA,二崁南段,.84,都市：其他
RPVNMLKMLHKFFAX17DA,二崁南段,11.67,都市：其他
RPVNMLKMLHKFFAX17DA,二崁南段,47.41,都市：其他
RPXNMLKMLHKFFAX37DA,二崁南段,.20,都市：其他
RPXNMLKMLHKFFAX37DA,二崁南段,.20,都市：其他
RPOOMLKMLHKFFAX56DA,二崁南段,.20,都市：其他
